#-------------------
#Schmidt-Kaler 1982
#-------------------
      ST    (U-B)o   (B-V)o     Mv
      O4    -1.20    -0.33    -5.20
    O9.5    -1.10    -0.30    -3.60
      B0    -1.08    -0.30    -3.25
    B0.5    -1.00    -0.28    -2.60
    B1.5    -0.90    -0.25    -2.10
    B2.5    -0.80    -0.22    -1.50
      B3    -0.69    -0.20    -1.10
      B5    -0.50    -0.15    -0.20
      B8    -0.30    -0.10     0.60
    B9.5    -0.10    -0.05     1.10
    A0.5     0.01     0.00     1.50
      A2     0.05     0.05     1.70
      A4     0.08     0.10     1.90
      A5     0.09     0.15     2.10
      A7     0.10     0.20     2.40
      A8     0.07     0.25     2.55
      F0     0.03     0.30     2.80
      F2     0.00     0.35     3.10
      F4    -0.01     0.40     3.40
      F8     0.00     0.50     4.10
      G0     0.08     0.60     4.70
      G6     0.23     0.70     5.20
      K0     0.42     0.80     5.80
      K2     0.63     0.90     6.30
    K3.5     0.86     1.00     6.70
    K4.5     1.03     1.10     7.10
    K5.5     1.13     1.20     7.50
    K6.5     1.20     1.30     8.00
      M0     1.22     1.40     8.80
      M2     1.17     1.50    10.30
    M4.5     1.20     1.60    12.00
    M5.5     1.32     1.70    13.20
      M7     1.43     1.80    14.20
