ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1,1677.45,1806.21,10.503,0.009,1.587,0.012,1.389,0.008,0.893,0.011,1.667,0.014
2,776.072,736.189,10.958,0.009,0.168,0.01,-0.199,0.004,0.161,0.012,0.306,0.009
3,980.709,1320.05,11.359,0.006,1.153,0.008,0.692,0.004,0.668,0.008,1.234,0.009
4,1645.62,163.641,11.424,0.013,0.322,0.015,-0.152,0.008,0.269,0.014,0.521,0.014
5,2006.3,1521.5,11.443,0.011,0.134,0.012,-0.567,0.006,0.146,0.012,0.279,0.012
6,126.966,741.611,11.763,0.004,1.188,0.007,0.832,0.008,0.665,0.013,1.267,0.009
7,1127.1,1091.13,11.79,0.003,1.663,0.005,1.397,0.007,0.943,0.005,1.741,0.006
8,1112.42,1401.71,11.801,0.005,0.727,0.007,0.019,0.005,0.498,0.008,0.897,0.007
9,1969.23,475.273,11.861,0.005,1.277,0.008,1.005,0.008,0.725,0.011,1.337,0.023
10,215.193,1393.05,12.231,0.007,0.279,0.01,0.018,0.008,0.208,0.011,0.409,0.011
11,1958.83,680.844,12.475,0.004,0.712,0.006,0.154,0.007,0.458,0.007,0.873,0.006
12,1482.67,190.52,12.522,0.007,1.68,0.01,1.877,0.017,0.927,0.012,1.737,0.009
13,159.644,730.295,12.568,0.004,0.737,0.007,0.072,0.008,0.454,0.01,0.881,0.008
14,1288.24,1207.39,12.803,0.004,1.234,0.006,0.642,0.007,0.746,0.006,1.404,0.006
15,1878.43,1523.54,12.917,0.006,1.351,0.008,1.18,0.009,0.788,0.008,1.45,0.007
16,246.646,548.707,12.98,0.005,0.549,0.008,0.37,0.008,0.348,0.009,0.693,0.01
17,551.302,344.857,13.025,0.006,1.625,0.01,1.315,0.015,0.92,0.008,1.752,0.008
18,781.311,872.633,13.026,0.003,1.321,0.007,1.057,0.01,0.745,0.005,1.391,0.004
19,361.391,52.735,13.063,0.007,0.364,0.009,0.124,0.009,0.208,0.011,0.458,0.012
