ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,Vrerr,VI,VIerr
1,2354.38,3153.4,8.5,0.004,0.078,0.004,99,99,99.999,99,0.11,0.011
2,2370.31,1524.68,8.554,0.01,0.035,0.009,-0.997,0.047,99.999,99,0.065,0.018
3,1786.09,2049.63,8.716,0.009,0.088,0.008,-0.554,0.005,99.999,99,0.153,0.021
4,2161.47,3210.82,9.495,0.006,1.658,0.005,99,99,99.999,99,1.753,0.011
5,1760.19,3289.16,9.654,0.012,1.049,0.01,0.652,0.003,99.999,99,1.137,0.017
6,3299.36,3396.34,10.368,0.037,0.127,0.033,99,99,99.999,99,99,99
7,170.453,3654.49,10.44,0.011,0.375,0.012,99,99,99.999,99,99,99
8,3710.52,569.716,10.565,0.033,0.672,0.031,99,99,99.999,99,0.844,0.051
9,1380.72,2770.01,10.683,0.002,0.199,0.002,-0.267,0.002,99.999,99,0.302,0.006
10,3633.21,1965.08,10.813,0.015,0.172,0.014,99,99,99.999,99,0.249,0.026
11,171.599,3671.63,10.849,0.01,0.381,0.01,99,99,99.999,99,99,99
12,799.08,2075.79,10.948,0.005,1.868,0.005,2.164,0.004,99.999,99,2.127,0.021
13,1234.95,2350.78,10.999,0.002,0.193,0.002,-0.277,0.002,99.999,99,0.244,0.008
14,958.524,2009.97,11.1,0.002,0.22,0.002,-0.131,0.002,99.999,99,0.291,0.006
15,1153.59,2076.61,11.116,0.002,0.214,0.002,-0.135,0.002,99.999,99,0.284,0.012
16,829.378,1181.97,11.124,0.007,1.161,0.006,0.858,0.003,99.999,99,1.104,0.016
17,889.702,2374.79,11.187,0.003,0.111,0.003,-0.413,0.002,99.999,99,0.106,0.007
18,597.948,1333.12,11.224,0.008,1.261,0.008,1.216,0.004,99.999,99,1.156,0.016
19,829.322,524.736,11.314,0.008,1.489,0.009,1.467,0.007,99.999,99,1.53,0.042
20,1004.65,1107.69,11.437,0.007,0.139,0.006,-0.334,0.003,99.999,99,0.187,0.01
21,370.298,1173.75,11.473,0.01,1.282,0.009,1.035,0.005,99.999,99,99,99
22,229.764,1927.31,11.558,0.014,0.211,0.015,0.051,0.008,99.999,99,0.321,0.024
23,3945.99,978.521,11.558,0.029,0.24,0.028,99,99,99.999,99,0.282,0.049
24,1217.68,2756.36,11.601,0.003,1.339,0.003,1.165,0.004,99.999,99,1.395,0.01
25,1318.09,2601.97,11.62,0.003,0.4,0.003,-0.321,0.002,99.999,99,0.563,0.004
26,883.73,2088.31,11.638,0.003,0.196,0.003,-0.304,0.002,99.999,99,0.235,0.007
27,303.068,2239.42,11.69,0.012,1.176,0.012,99,99,99.999,99,1.201,0.03
28,3715.69,1662.52,11.711,0.021,0.32,0.02,99,99,99.999,99,0.489,0.034
29,530.682,1212.36,11.712,0.008,0.217,0.007,0.04,0.004,99.999,99,0.085,0.013
30,3838.2,3974.55,11.749,0.009,1.209,0.009,99,99,99.999,99,99,99
31,1556.7,1817.53,11.81,0.002,0.334,0.002,0.213,0.002,99.999,99,0.358,0.003
32,2759.02,3307.24,11.818,0.004,1.763,0.004,99,99,99.999,99,1.997,0.018
33,1183.14,537.511,11.941,0.012,1.131,0.012,0.735,0.007,99.999,99,1.162,0.019
34,1680.74,1534.15,12.014,0.002,0.361,0.002,0.279,0.002,99.999,99,0.435,0.003
35,3443.45,494.435,12.026,0.027,0.213,0.026,99,99,99.999,99,0.219,0.035
36,1745.19,1167.1,12.037,0.002,1.352,0.002,1.317,0.004,99.999,99,1.381,0.007
37,1219.74,3014.81,12.075,0.002,0.283,0.002,-0.103,0.003,99.999,99,0.281,0.006
38,1068.06,2105.07,12.097,0.002,0.417,0.002,0.244,0.002,99.999,99,0.52,0.004
39,845.956,1407.64,12.102,0.005,0.146,0.005,-0.282,0.003,99.999,99,0.179,0.009
40,1311.09,2422.85,12.108,0.012,0.603,0.011,99,99,99.999,99,0.726,0.025
41,3179.58,737.643,12.109,0.008,0.935,0.009,99,99,99.999,99,0.921,0.016
42,277.239,790.936,12.257,0.008,0.197,0.008,0.004,0.005,99.999,99,99,99
43,2530.97,1142.19,12.283,0.002,1.186,0.002,0.837,0.006,99.999,99,1.275,0.009
44,2314.05,691.567,12.365,0.002,1.352,0.003,99,99,99.999,99,1.433,0.007
45,2669.49,2967.06,12.371,0.002,1.335,0.002,99,99,99.999,99,1.368,0.008
46,2462.77,735.283,12.431,0.002,0.73,0.003,99,99,99.999,99,0.84,0.008
47,2824.05,2947.95,12.501,0.001,0.17,0.002,99,99,99.999,99,0.2,0.003
48,73.012,329.768,12.597,0.009,1.348,0.009,1.256,0.007,99.999,99,99,99
49,3198.51,3229.74,12.599,0.005,0.19,0.005,99,99,99.999,99,0.205,0.008
50,483.704,2394.57,12.605,0.007,1.616,0.007,1.876,0.008,99.999,99,1.678,0.015
51,1041.5,2850.07,12.631,0.002,1.326,0.002,1.18,0.006,99.999,99,1.355,0.006
52,2843.95,1406.67,12.637,0.002,0.191,0.002,-0.14,0.003,99.999,99,0.249,0.004
53,3696.06,501.169,12.656,0.03,1.528,0.029,99,99,99.999,99,1.509,0.051
54,2769.05,3827.27,12.658,0.008,1.245,0.009,99,99,99.999,99,1.279,0.019
55,3648.47,3054.57,12.663,0.006,0.154,0.006,99,99,99.999,99,0.179,0.01
56,3134.68,3450.71,12.663,0.007,1.323,0.008,99,99,99.999,99,1.322,0.016
57,2934.19,838.317,12.664,0.004,0.213,0.005,99,99,99.999,99,0.281,0.01
58,1359.63,2237.29,12.688,0.003,1.201,0.004,0.924,0.004,99.999,99,1.301,0.004
