ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1,1735.16,1873.88,10.389,0.006,0.825,0.009,0.33,0.007,0.494,0.008,0.916,0.016
2,957.837,1647.1,11.042,0.006,0.317,0.008,0.308,0.005,0.24,0.01,0.452,0.011
4,941.736,1285.35,11.07,0.007,1.008,0.012,0.629,0.009,0.53,0.01,1.056,0.018
8,438.133,1980.49,11.252,0.009,1.267,0.013,1.2,0.009,0.657,0.019,1.288,0.029
5,1021.18,1111.33,11.74,0.002,1.824,0.005,2.211,0.012,1.019,0.006,2.174,0.015
3,1051.77,1500.93,11.807,0.004,0.111,0.008,0.107,0.007,0.06,0.005,0.11,0.008
6,1601.75,1405.95,12.197,0.004,0.347,0.006,0.134,0.005,0.214,0.006,0.408,0.008
9,1870.3,736.37,12.233,0.003,1.925,0.007,2.199,0.022,1.12,0.014,2.609,0.027
7,1213.46,1587.53,12.348,0.004,0.313,0.006,0.277,0.005,0.191,0.006,0.372,0.008
10,420.677,352.071,12.44,0.004,1.3,0.007,1.301,0.01,0.643,0.005,1.264,0.007
11,895.874,193.825,12.664,0.004,0.649,0.006,-0.045,0.008,0.358,0.005,0.734,0.007
12,678.104,1330.1,12.785,0.003,0.516,0.005,-0.102,0.005,0.311,0.005,0.603,0.006
16,177.679,1299.83,12.786,0.005,1.392,0.008,1.342,0.012,0.721,0.008,1.419,0.009
13,920.514,143.886,12.828,0.004,0.196,0.006,0.167,0.008,0.072,0.006,0.173,0.009
14,304.097,557.427,12.844,0.004,0.517,0.007,-0.018,0.008,0.283,0.007,0.591,0.007
15,1285.72,1423.2,12.96,0.005,0.445,0.007,0.059,0.005,0.255,0.007,0.51,0.008
17,1802.15,1541.3,13.046,0.004,0.559,0.007,-0.004,0.007,0.352,0.007,0.68,0.008
18,501.462,153.563,13.062,0.005,1.094,0.009,0.682,0.012,0.561,0.006,1.151,0.008
19,1952.14,420.12,13.147,0.004,0.544,0.007,-0.103,0.01,0.321,0.008,0.652,0.007
21,1061.43,1345.58,13.475,0.003,0.611,0.006,-0.032,0.005,0.363,0.005,0.692,0.006
