ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
1,1220.56,581.578,10.89,0.002,1.088,0.006,0.79,0.006,0.551,0.004,1.054,0.007,154.29357207791887,-58.764636403469204
2,1011.76,1381.11,11.066,0.005,0.455,0.007,0.091,0.005,0.278,0.008,0.524,0.006,154.32567402867645,-58.698386939879946
3,469.452,1899.9,11.404,0.006,0.768,0.009,-0.376,0.007,0.492,0.008,1.024,0.009,154.41064238390445,-58.65505582651139
4,1912.71,1975.82,11.507,0.006,99.0,99.0,0.308,0.006,0.068,0.008,0.48,0.007,154.1816002668843,-58.64993209466133
5,1907.9,269.604,11.632,0.002,0.271,0.007,-0.693,0.006,0.196,0.005,0.408,0.004,154.18415901886473,-58.79097200865738
6,804.51,1982.68,11.705,0.005,1.115,0.006,0.78,0.004,0.564,0.007,1.085,0.008,154.3574173638711,-58.64852539948354
7,328.297,1562.45,11.757,0.01,0.526,0.014,0.133,0.01,0.298,0.014,0.595,0.018,154.43371832077273,-58.68278058790319
8,493.397,1253.44,11.832,0.002,0.322,0.003,0.275,0.003,0.209,0.003,0.413,0.004,154.40816478705065,-58.70846071144718
9,1501.63,1299.97,11.925,0.005,0.081,0.006,-0.015,0.004,0.069,0.006,0.124,0.008,154.24793453564374,-58.705486160077264
10,926.496,1501.59,11.96,0.003,1.256,0.004,1.13,0.005,0.65,0.004,1.206,0.004,154.33900348908617,-58.68836127428166
11,1445.8,827.229,12.0,0.002,0.438,0.003,-0.09,0.004,0.273,0.005,0.517,0.005,154.25741147585927,-58.74451440809657
12,1655.64,561.197,12.081,0.003,0.459,0.003,-0.055,0.005,0.276,0.004,0.523,0.005,154.2242258202274,-58.7666707774964
13,562.679,29.278,12.099,0.003,0.309,0.004,-0.544,0.004,0.188,0.004,0.406,0.006,154.39900481838578,-58.80968431951721
14,1117.7,477.927,12.179,0.003,0.061,0.003,-0.04,0.004,0.049,0.004,0.073,0.006,154.31007599374158,-58.773116440781166
15,140.316,1521.44,12.369,0.004,0.444,0.005,-0.032,0.005,0.277,0.006,0.557,0.007,154.46356919705613,-58.685977364177326
16,974.839,783.395,12.376,0.002,0.317,0.003,0.184,0.004,0.193,0.003,0.369,0.004,154.3324425990412,-58.74774206634993
17,518.168,25.354,12.539,0.004,2.092,0.007,2.285,0.027,1.155,0.005,2.385,0.008,154.4060987046574,-58.80996374574772
18,1111.21,1378.77,12.683,0.01,0.641,0.016,0.02,0.014,0.371,0.013,0.722,0.015,154.30988261044672,-58.69866427766576
19,1212.23,944.831,12.824,0.003,1.135,0.005,0.674,0.008,0.606,0.005,1.146,0.005,154.29445535787454,-58.73460469865014
20,736.697,1681.9,12.86,0.004,0.098,0.004,-0.103,0.003,0.097,0.005,0.172,0.006,154.3687701192738,-58.67330189149052
21,600.259,1118.83,12.867,0.002,1.145,0.003,0.864,0.006,0.603,0.003,1.128,0.004,154.39145041950957,-58.71968212530732
22,344.18,1692.79,12.874,0.004,0.602,0.004,-0.029,0.004,0.365,0.005,0.696,0.007,154.4309247365065,-58.67203445698426
23,243.667,842.052,12.878,0.003,0.229,0.004,0.179,0.004,0.127,0.005,0.246,0.007,154.4485309206262,-58.74219208286295
24,414.081,1847.47,12.883,0.005,0.419,0.006,-0.055,0.004,0.279,0.006,0.547,0.008,154.4195215236856,-58.65933167224273
25,75.737,1267.91,12.896,0.003,0.719,0.004,0.194,0.006,0.401,0.005,0.754,0.007,154.47433562487413,-58.706844288637136
26,856.473,1344.62,12.905,0.003,0.414,0.004,0.022,0.003,0.27,0.004,0.511,0.004,154.35039067053506,-58.701265944032336
27,1071.95,80.813,12.949,0.005,1.494,0.007,1.336,0.013,0.753,0.006,1.454,0.006,154.3177762531531,-58.805908472507234
28,1468.17,210.396,12.987,0.004,0.822,0.005,0.163,0.006,0.459,0.005,0.875,0.007,154.25443885055105,-58.79553192331336
29,1525.88,183.413,13.002,0.003,0.259,0.004,0.07,0.005,0.144,0.005,0.288,0.007,154.24524577916105,-58.797810004670225
30,1534.27,172.38,13.06,0.005,0.255,0.005,0.071,0.005,0.148,0.006,0.291,0.009,154.24391423541448,-58.79872918621595
31,387.584,1906.58,13.07,0.005,0.268,0.005,0.101,0.004,0.18,0.006,0.372,0.008,154.42358206495595,-58.654426453661834
32,839.79,777.446,13.087,0.004,0.527,0.005,0.383,0.006,0.336,0.005,0.653,0.007,154.35393188398245,-58.74811181977149
33,354.336,1248.62,13.142,0.003,0.296,0.004,-0.124,0.004,0.197,0.004,0.394,0.006,154.4302255084379,-58.70872240142575
34,197.905,1113.05,13.153,0.004,0.474,0.005,-0.04,0.005,0.29,0.006,0.563,0.009,154.45528761771513,-58.719760479002474
35,1880.26,706.616,13.159,0.004,0.694,0.006,0.121,0.006,0.389,0.006,0.73,0.007,154.18825844456853,-58.754811182511546
36,374.154,1662.94,13.233,0.004,1.471,0.005,1.187,0.012,0.791,0.005,1.542,0.007,154.42624351291903,-58.67452825628663
37,183.783,525.371,13.277,0.005,0.356,0.006,0.347,0.007,0.19,0.007,0.377,0.009,154.45857646967517,-58.76829226361409
38,364.064,1942.22,13.278,0.004,0.7,0.005,0.026,0.006,0.434,0.006,0.862,0.008,154.42722182026438,-58.65146171788983
39,605.371,1432.17,13.288,0.003,0.529,0.004,-0.073,0.004,0.337,0.004,0.654,0.005,154.3900715839422,-58.693805478736806
40,1397.6,630.172,13.291,0.005,0.356,0.006,0.078,0.006,0.205,0.006,0.383,0.009,154.26530754300984,-58.7607657873729
41,483.075,1595.57,13.294,0.004,0.133,0.004,0.05,0.004,0.104,0.005,0.195,0.008,154.4091334372554,-58.6801959805132
42,175.726,561.701,13.298,0.005,0.239,0.006,0.158,0.006,0.109,0.007,0.189,0.01,154.45979644283025,-58.76528202307115
43,1277.55,634.062,13.298,0.005,0.366,0.006,0.31,0.006,0.222,0.007,0.43,0.009,154.28443359464976,-58.7603456604383
44,1130.98,1162.32,13.414,0.002,0.818,0.003,0.202,0.005,0.48,0.004,0.908,0.004,154.30707420265753,-58.71656425051657
45,1362.05,727.33,13.455,0.005,0.353,0.006,0.032,0.005,0.238,0.006,0.466,0.008,154.27086654863697,-58.75270521464696
