ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
1,783.747,588.855,10.474,0.007,0.447,0.009,0.155,0.004,0.279,0.009,0.549,0.011,184.37108665709255,-55.15897813178453
2,751.516,1592.39,11.19,0.007,0.562,0.008,0.06,0.005,0.322,0.008,0.627,0.009,184.37429237783232,-55.07609928291085
3,663.529,1990.61,11.27,0.009,0.877,0.012,0.414,0.007,0.485,0.012,0.947,0.018,184.38658665718276,-55.04326553780537
389,251.714,37.041,17.428,0.039,1.281,0.049,99.0,99.0,0.752,0.058,1.513,0.061,184.44972575952602,-55.20448121321397
5,699.954,1032.71,12.164,0.002,1.717,0.003,1.999,0.013,1.066,0.003,2.399,0.006,184.3824671807122,-55.12220446874018
6,1160.02,955.636,12.499,0.002,1.04,0.004,0.866,0.006,0.571,0.004,1.067,0.006,184.31607681239126,-55.1289700186543
7,523.328,1589.17,12.526,0.005,0.318,0.007,0.287,0.005,0.199,0.007,0.39,0.008,184.40719454819964,-55.076149566660234
8,654.906,1176.15,12.937,0.003,0.527,0.004,0.062,0.004,0.323,0.004,0.615,0.004,184.38876284032077,-55.11032248976816
9,1769.91,881.103,13.004,0.004,0.601,0.006,0.12,0.007,0.37,0.006,0.707,0.008,184.228154656948,-55.13573524357711
10,1046.76,1316.73,13.132,0.004,0.304,0.006,0.26,0.004,0.185,0.005,0.36,0.006,184.33202150277535,-55.09908907298503
11,1789.31,699.123,13.136,0.005,1.194,0.009,1.038,0.011,0.643,0.007,1.235,0.009,184.2254971179051,-55.15075930678802
12,517.394,1695.14,13.316,0.006,0.513,0.008,0.059,0.006,0.328,0.008,0.622,0.011,184.4079204588999,-55.06741746179423
13,849.321,1142.23,13.328,0.003,1.134,0.005,0.957,0.008,0.629,0.004,1.203,0.005,184.36071836533534,-55.11328971809328
14,1816.72,878.533,13.37,0.005,0.557,0.008,0.034,0.007,0.339,0.007,0.655,0.011,184.22141062141617,-55.13599867142936
15,1742.52,171.74,13.413,0.008,0.552,0.011,0.042,0.009,0.324,0.009,0.658,0.013,184.23282438434987,-55.19428799445935
16,918.396,905.256,13.429,0.004,0.718,0.006,0.24,0.006,0.383,0.005,0.698,0.008,184.35106530094413,-55.13291478892535
17,1621.51,852.754,13.473,0.005,0.453,0.007,0.17,0.008,0.287,0.007,0.539,0.01,184.24957345155826,-55.1379130490722
18,706.917,1837.03,13.487,0.009,0.398,0.012,0.131,0.007,0.252,0.011,0.475,0.014,184.38047631660547,-55.05593065843502
19,735.917,1368.77,13.581,0.005,1.67,0.007,2.003,0.029,0.985,0.005,2.082,0.006,184.37679953067112,-55.09450457695558
20,691.822,1184.94,13.603,0.003,0.686,0.005,0.269,0.005,0.398,0.004,0.745,0.005,184.38341471642758,-55.1096281642843
21,1934.33,1568.08,13.628,0.006,1.612,0.009,1.984,0.035,0.936,0.008,1.872,0.01,184.20427816448296,-55.079458659336886
22,846.959,922.477,13.672,0.004,1.237,0.007,1.18,0.013,0.678,0.005,1.265,0.007,184.36137230779838,-55.131432145067365
23,989.604,1054.37,13.675,0.003,0.437,0.005,0.15,0.005,0.278,0.004,0.532,0.005,184.34056919540976,-55.120665512965644
24,851.463,310.733,13.742,0.008,0.836,0.011,0.445,0.01,0.468,0.009,0.889,0.013,184.36179612836526,-55.18207194954688
25,400.035,1783.21,13.838,0.009,0.693,0.013,0.203,0.009,0.409,0.013,0.8,0.016,184.42473157626242,-55.06005896264485
26,522.012,452.069,13.873,0.008,1.224,0.011,1.197,0.016,0.649,0.009,1.248,0.011,184.4093508898889,-55.170139644948414
27,1560.66,930.877,13.881,0.006,1.23,0.01,1.134,0.017,0.664,0.007,1.247,0.01,184.25828240541475,-55.131408709185855
28,497.984,497.901,13.907,0.007,1.252,0.01,1.217,0.017,0.669,0.009,1.273,0.011,184.41274128817346,-55.16632397099375
29,908.198,1484.83,13.915,0.005,0.746,0.008,0.329,0.007,0.432,0.006,0.8,0.008,184.35182462493626,-55.085108171293506
30,871.537,1759.69,14.003,0.007,0.505,0.009,0.062,0.007,0.316,0.009,0.608,0.012,184.35685509338563,-55.062459655634136
31,765.688,937.617,14.151,0.008,0.695,0.011,0.184,0.009,0.424,0.011,0.825,0.013,184.37310655832295,-55.13011452820405
32,1869.77,933.124,14.217,0.007,1.514,0.011,1.754,0.041,0.857,0.009,1.647,0.011,184.2137348097303,-55.13156172994376
33,1006.55,1549.31,14.219,0.006,1.188,0.008,1.083,0.016,0.652,0.007,1.235,0.009,184.33759792374818,-55.07990179278999
34,1695.5,665.26,14.268,0.008,1.173,0.012,1.007,0.022,0.662,0.011,1.262,0.014,184.23906611914924,-55.153455999674556
35,866.679,448.59,14.28,0.008,1.144,0.012,1.004,0.017,0.629,0.01,1.202,0.014,184.35931966494843,-55.170655630847115
36,1610.91,94.019,14.316,0.009,0.824,0.013,0.452,0.014,0.483,0.012,0.915,0.017,184.2519986022941,-55.200608195403234
37,343.695,407.769,14.316,0.008,0.763,0.011,0.31,0.01,0.418,0.011,0.852,0.014,184.4353722906681,-55.17371272300291
38,1798.97,1388.45,14.32,0.004,1.101,0.007,0.825,0.013,0.622,0.006,1.207,0.007,184.2237279771668,-55.09402895792718
39,1615.07,765.586,14.321,0.008,1.248,0.012,1.216,0.03,0.699,0.01,1.319,0.013,184.25058114986953,-55.14509574423724
40,307.595,1490.77,14.421,0.007,0.668,0.009,0.131,0.01,0.386,0.01,0.763,0.011,184.43847490785598,-55.08407467893527
41,1286.1,1756.68,14.452,0.008,0.441,0.011,0.225,0.009,0.285,0.01,0.548,0.013,184.2972643801617,-55.06317057489365
42,1053.53,1708.29,14.457,0.007,1.651,0.01,99.0,99.0,0.968,0.008,1.976,0.011,184.33071526685166,-55.066880176867336
43,1024.38,1026.39,14.464,0.002,1.253,0.005,1.232,0.026,0.697,0.004,1.325,0.005,184.33558143741286,-55.12300608576105
44,1161.77,1050.38,14.489,0.002,0.714,0.004,0.206,0.008,0.431,0.004,0.831,0.005,184.31571418910985,-55.12115527090138
45,270.779,1750.63,14.501,0.01,0.716,0.014,0.233,0.011,0.412,0.015,0.815,0.016,184.44341206603778,-55.06262558035077
