ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
1,285.354,1997.54,8.904,0.006,1.52,0.01,1.808,0.007,0.86,0.008,1.795,0.009,150.47073854582158,-55.05629457237404
2,714.979,550.034,9.617,0.008,0.272,0.011,-0.553,0.006,0.218,0.017,0.392,0.019,150.4111059793314,-55.17626500928755
3,718.116,717.5,10.56,0.006,0.381,0.009,-0.059,0.005,0.26,0.013,0.47,0.02,150.41041048142415,-55.162438875180385
4,1260.81,1947.68,11.26,0.007,0.353,0.01,-0.019,0.007,0.238,0.012,0.435,0.013,150.32998871646944,-55.061324289056195
5,2026.07,1149.53,11.738,0.005,-0.108,0.012,-0.32,0.013,0.196,0.007,0.405,0.009,150.22084871969733,-55.1274781703239
6,383.237,190.291,11.747,0.005,0.165,0.007,0.145,0.005,0.098,0.008,0.207,0.011,150.4595304615231,-55.20563967271862
7,1029.44,1121.11,11.845,0.002,0.451,0.004,-0.05,0.004,0.29,0.004,0.542,0.004,150.36482241221339,-55.12937781260264
8,1363.46,1427.43,11.946,0.003,1.829,0.005,1.557,0.008,1.028,0.006,2.031,0.007,150.31608434081176,-55.10431420497209
9,1399.23,657.023,12.053,0.004,0.397,0.005,-0.351,0.004,0.271,0.006,0.554,0.008,150.31210817058164,-55.16792162864087
11,1395.54,1894.44,12.277,0.006,0.882,0.008,0.35,0.007,0.512,0.01,0.969,0.011,150.31063488648616,-55.065797272351155
12,1801.51,50.087,12.297,0.004,0.369,0.006,-0.128,0.005,0.241,0.006,0.51,0.012,150.25478608927594,-55.218180602757606
13,1685.75,728.377,12.402,0.004,0.239,0.006,0.168,0.005,0.156,0.007,0.302,0.008,150.27062171675414,-55.16215274472656
15,478.514,1028.64,12.531,0.003,0.321,0.005,-0.334,0.004,0.222,0.004,0.439,0.005,150.44454529344932,-55.1365059781035
16,1980.18,942.752,12.592,0.005,0.567,0.008,0.034,0.006,0.391,0.007,0.756,0.009,150.22778787302911,-55.144533789722125
17,1811.28,189.453,12.611,0.005,0.447,0.007,0.141,0.006,0.289,0.007,0.578,0.012,150.2532055448332,-55.206676781051925
19,497.931,130.223,12.683,0.005,0.336,0.007,0.194,0.006,0.202,0.007,0.418,0.013,150.4430354885063,-55.210725392626614
20,1340.12,1454.62,12.74,0.004,0.549,0.005,-0.076,0.004,0.354,0.006,0.658,0.007,150.3194090586778,-55.10205718528586
21,189.874,878.518,12.794,0.005,0.567,0.008,0.479,0.007,0.323,0.008,0.679,0.008,150.4864781562433,-55.14856480483826
22,1338.06,438.538,12.963,0.005,0.392,0.007,-0.014,0.005,0.259,0.007,0.537,0.012,150.3212461065455,-55.18592745081384
23,520.26,969.317,12.966,0.003,1.625,0.008,1.112,0.015,0.903,0.004,1.805,0.005,150.43860881671844,-55.14144908109196
24,152.735,465.268,13.171,0.008,1.5,0.011,1.231,0.018,0.799,0.011,1.602,0.013,150.49246006489105,-55.182650623690144
25,1643.22,925.04,13.212,0.005,0.541,0.008,0.466,0.008,0.327,0.008,0.686,0.01,150.2764778620056,-55.14590567514535
26,954.929,1977.84,13.284,0.005,0.679,0.006,0.092,0.004,0.397,0.007,0.747,0.01,150.37409537378323,-55.05861153167468
27,1594.98,2001.51,13.334,0.004,1.273,0.006,0.821,0.01,0.693,0.007,1.355,0.008,150.2816448119508,-55.057063014714416
28,1750.96,365.189,13.459,0.007,0.525,0.01,-0.076,0.008,0.338,0.009,0.655,0.014,150.2616965773186,-55.19215298431599
29,1471.38,886.22,13.488,0.006,1.096,0.01,0.774,0.012,0.63,0.008,1.206,0.01,150.30135421467108,-55.1490374054167
30,1420.68,1056.85,13.501,0.003,1.312,0.006,0.87,0.012,0.736,0.006,1.451,0.006,150.30841778723135,-55.134928812855364
31,1114.67,931.095,13.581,0.006,0.906,0.01,0.484,0.01,0.544,0.008,1.006,0.01,150.35280812083266,-55.14512512265859
32,522.392,609.109,13.587,0.006,0.573,0.009,0.048,0.007,0.376,0.008,0.738,0.012,150.43884466691463,-55.17119684552846
33,660.089,1178.47,13.595,0.003,1.491,0.004,1.086,0.014,0.85,0.004,1.68,0.005,150.41807655313997,-55.12432283693545
35,416.593,1817.1,13.69,0.007,0.401,0.011,0.297,0.01,0.265,0.01,0.545,0.015,150.45212853723524,-55.071344757853815
36,1064.6,1361.33,13.697,0.004,2.122,0.007,1.612,0.045,1.237,0.006,2.472,0.006,150.3593529793226,-55.109575707302135
37,791.861,385.252,13.77,0.008,0.698,0.011,0.357,0.01,0.417,0.01,0.847,0.015,150.40022743654836,-55.18994232145849
38,1393.0,1963.85,13.778,0.006,0.635,0.008,0.005,0.006,0.387,0.008,0.74,0.012,150.3108739720919,-55.06006935783063
39,1093.71,996.163,13.862,0.004,2.032,0.01,98.88,99.0,1.155,0.006,2.313,0.006,150.35573568542074,-55.13973898363543
41,494.745,682.303,13.963,0.007,0.752,0.01,0.15,0.01,0.455,0.01,0.871,0.013,150.44273179094114,-55.16512298861655
42,1298.58,233.235,14.003,0.009,2.081,0.012,98.88,99.0,1.194,0.01,2.364,0.014,150.32721929860134,-55.20285753573353
43,201.741,1021.09,14.004,0.005,0.79,0.007,0.076,0.007,0.498,0.008,1.054,0.007,150.48453829001977,-55.136805593546306
44,1018.17,1296.88,14.052,0.01,2.208,0.025,98.88,99.0,1.305,0.012,2.596,0.013,150.36616524350066,-55.11486044310014
45,1730.41,60.524,14.16,0.009,0.817,0.013,0.141,0.012,0.513,0.013,1.003,0.017,150.26504555056985,-55.21730010019772
46,736.499,1161.17,14.164,0.002,1.264,0.004,0.688,0.013,0.743,0.004,1.466,0.004,150.40706833331018,-55.12582412348119
47,1860.37,310.617,14.196,0.009,0.592,0.013,0.392,0.011,0.351,0.013,0.74,0.017,150.2459620163945,-55.19668532763604
48,396.387,543.32,14.206,0.007,0.998,0.01,0.649,0.014,0.616,0.01,1.165,0.014,150.45714432544523,-55.176494056574214
49,512.463,845.283,14.223,0.006,1.131,0.009,0.766,0.017,0.63,0.009,1.202,0.011,150.43992731238407,-55.1516828355199
50,1483.64,966.066,14.23,0.007,1.99,0.011,98.88,99.0,1.127,0.01,2.248,0.01,150.29946371144564,-55.1424526935033
51,1006.35,1193.58,14.251,0.003,0.481,0.005,0.26,0.007,0.317,0.005,0.644,0.006,150.36804103951246,-55.12337810755149
52,1902.15,231.517,14.252,0.009,0.537,0.013,0.418,0.012,0.316,0.013,0.679,0.016,150.24002625987544,-55.203223605580305
53,1563.41,1497.48,14.361,0.005,0.495,0.007,0.36,0.009,0.299,0.008,0.598,0.008,150.28709415695988,-55.09863335288103
54,859.569,395.609,14.362,0.008,1.849,0.011,1.271,0.056,1.061,0.01,2.148,0.014,150.39043108119648,-55.189144608529
55,1394.15,49.501,14.372,0.009,0.574,0.013,0.065,0.012,0.355,0.013,0.718,0.016,150.3136406723863,-55.218079613962786
56,959.652,1522.87,14.378,0.004,2.28,0.007,98.88,99.0,1.296,0.006,2.574,0.007,150.37423431793133,-55.09616176269927
57,318.601,1577.92,14.379,0.007,0.562,0.01,0.005,0.008,0.362,0.01,0.707,0.013,150.46671546563317,-55.09097318964003
58,208.693,631.057,14.382,0.008,2.059,0.012,98.88,99.0,1.158,0.011,2.318,0.013,150.4841346803594,-55.16902640381763
59,910.301,386.173,14.39,0.008,0.928,0.011,0.582,0.015,0.574,0.011,1.218,0.015,150.38311433716643,-55.18996518286809
60,1854.37,1721.88,14.405,0.006,0.564,0.009,0.058,0.008,0.377,0.009,0.712,0.01,150.24469954941142,-55.08022209379607
61,1005.44,531.789,14.409,0.008,0.528,0.011,0.027,0.01,0.333,0.012,0.639,0.014,150.369169405546,-55.178014165399105
62,1039.86,431.882,14.422,0.008,0.659,0.011,0.039,0.01,0.406,0.012,0.785,0.015,150.3643346082267,-55.186289099986325
63,1090.57,391.824,14.429,0.009,1.612,0.012,1.464,0.063,0.878,0.012,1.719,0.016,150.3570627497252,-55.18963264445976
64,1511.48,1680.82,14.453,0.006,2.315,0.009,98.88,99.0,1.353,0.008,2.68,0.011,150.29427743265492,-55.0834820036406
65,534.291,864.892,14.453,0.007,0.524,0.01,0.403,0.011,0.299,0.01,0.622,0.012,150.4367440343693,-55.150086565529385
66,1562.86,1717.11,14.493,0.006,0.455,0.008,0.253,0.009,0.301,0.008,0.603,0.01,150.28679537278384,-55.08051152979198
