ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
1,217.149,1457.98,10.54,0.006,0.208,0.009,0.081,0.006,0.152,0.011,0.269,0.014,156.11539867053975,-60.12484397102193
2,599.862,1479.34,11.195,0.005,1.017,0.007,0.598,0.005,0.556,0.009,1.035,0.01,156.0520810163811,-60.123421199954315
3,328.29,1599.65,11.399,0.006,0.557,0.009,-0.149,0.007,0.362,0.015,0.679,0.012,156.09676421919505,-60.113212777291835
4,1891.76,173.772,11.817,0.013,0.058,0.023,-0.689,0.017,0.099,0.021,0.214,0.019,155.83937167858812,-60.2321841805774
5,82.138,1465.68,11.873,0.007,0.992,0.008,0.559,0.006,0.565,0.016,1.095,0.013,156.13769128524467,-60.124093815157586
6,757.035,74.997,11.877,0.013,0.082,0.022,-0.35,0.016,0.082,0.014,0.145,0.018,156.0284001095458,-60.23934689050096
7,1033.84,1219.65,11.981,0.003,1.581,0.004,1.611,0.011,0.923,0.01,1.702,0.008,155.9806371877772,-60.14529862756679
8,926.695,1872.71,12.018,0.008,0.964,0.012,0.514,0.009,0.578,0.017,1.025,0.016,155.99738253488275,-60.09121532408773
9,1240.5,616.281,12.127,0.006,1.588,0.011,1.316,0.012,0.888,0.023,1.663,0.016,155.94721536743373,-60.1952161857826
10,1089.73,1086.18,12.191,0.002,0.304,0.003,-0.008,0.003,0.254,0.01,0.424,0.005,155.9715688039698,-60.15636482973682
11,1401.42,35.434,12.194,0.009,1.79,0.015,2.063,0.019,1.058,0.02,2.043,0.018,155.92123921853235,-60.24308484242955
12,249.313,1815.28,12.31,0.009,0.988,0.013,0.573,0.01,0.575,0.017,1.047,0.018,156.109402221016,-60.09527593619715
13,1236.16,1606.28,12.312,0.007,1.37,0.009,0.904,0.007,0.829,0.011,1.552,0.009,155.94655494354552,-60.11359334841632
14,1799.9,1858.38,12.326,0.008,0.452,0.011,-0.141,0.009,0.357,0.012,0.621,0.014,155.85282933118287,-60.09347028350116
15,1330.94,1142.37,12.468,0.003,1.587,0.005,1.301,0.009,0.926,0.012,1.721,0.009,155.93147480336611,-60.15197871742794
16,1598.86,599.092,12.52,0.007,1.264,0.011,1.171,0.011,0.703,0.019,1.301,0.011,155.88765906605423,-60.19697533344698
17,1211.92,1981.62,12.577,0.007,1.439,0.01,1.521,0.01,0.835,0.015,1.517,0.017,155.9500468063943,-60.08253600740836
18,369.732,253.048,12.589,0.008,1.043,0.013,0.679,0.015,0.577,0.011,1.089,0.014,156.09241623965931,-60.22444356809252
19,658.059,426.332,12.614,0.007,0.261,0.01,0.134,0.008,0.216,0.009,0.394,0.012,156.04424737202714,-60.210369469451805
