ID x y V Verr BV BVerr UB UBerr VR VRerr VI VIerr ra dec d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000
1 1220.56 581.578 10.89 0.002 1.088 0.006 0.79 0.006 0.551 0.004 1.054 0.007 154.29357207791887 -58.764636403469204 0.3973 0.038964 -0.016020 -0.035519 204.3 "Gaia DR2 5258518096205431168" 154.29348063082 0.0235 -58.76453673786 0.0248 1635721458409799680 5258518096205431168 1432128328 2015.5 0.7416 0.0279 26.5689 -5.220 0.049 3.747 0.048 0.0088 -0.2952 -0.0866 0.2300 0.1950 0.2940 0.0787 0.2031 -0.0252 0.2009 251 251 247 4 3.5746 328.65 0.000 0 31 0 279.0347 1.5114 0.0067 0.057 30 18 0.038603 0 36 0 292 1.082e+06 245 4418.043 10.6025 0.0002 35 4.692e+05 320 1466.521 11.1729 0.0007 29 8.651e+05 316.7 2731.492 9.9193 0.0004 1.233 1 1.2536 0.5704 0.6833 3.52 0.70 5 5750.0 4.5 0.0 NOT_AVAILABLE 284.06249332381 -1.66389963105 195.97399513496 -60.92200764106 100002 4772.89 4650.43 4891.00 0.5133 0.1010 2.2001 0.2943 0.0490 1.2884 200111 13.94 13.28 14.68 90.857 85.237 96.477 154.29352397600 0.7533 -58.76455287270 0.7426
2 1011.76 1381.11 11.066 0.005 0.455 0.007 0.091 0.005 0.278 0.008 0.524 0.006 154.32567402867645 -58.698386939879946 0.5306 0.030717 0.000550 0.030712 1.0 "Gaia DR2 5258519504954788224" 154.32543275558 0.0248 -58.69830942610 0.0249 1635721458409799680 5258519504954788224 595087184 2015.5 1.2805 0.0270 47.4134 -13.108 0.051 9.951 0.050 -0.0916 -0.2356 -0.1804 0.3174 0.1814 0.3485 -0.1645 0.1815 0.0064 0.1056 244 244 237 7 8.7228 474.11 0.000 0 31 0 357.6662 1.6220 0.0070 0.055 29 17 0.038865 0 32 0 251 7.793e+05 253.3 3076.357 10.9591 0.0004 26 4.52e+05 259.6 1740.838 11.2136 0.0006 30 4.738e+05 280.8 1687.139 10.5731 0.0006 1.188 0 0.6405 0.2545 0.3861 "" "" 0 "" "" "" NOT_AVAILABLE 284.03953444324 -1.59960011165 195.89671414852 -60.86501690006 100001 6349.00 6203.01 6690.38 "" "" "" "" "" "" 200111 3.55 3.19 3.72 18.410 17.764 19.055 154.32554138100 0.7845 -58.69835226860 0.7787
3 469.452 1899.9 11.404 0.006 0.768 0.009 -0.376 0.007 0.492 0.008 1.024 0.009 154.41064238390445 -58.65505582651139 0.3379 0.086566 0.044963 0.073974 31.3 "Gaia DR2 5258524761994834048" 154.41080864537 1.0404 -58.65501935834 1.0585 1635721458409799680 5258524761994834048 52773647 2015.5 "" "" "" "" "" "" "" 0.0730 "" "" "" "" "" "" "" "" "" 258 258 252 6 860.0461 4752317.50 15.504 9e+04 3 0 0.0037 "" "" -0.002 29 18 1.9168 0 34 1 271 6.83e+05 440 1552.300 11.1024 0.0007 28 3.22e+05 295.9 1088.018 11.5818 0.0010 28 5.405e+05 291.6 1853.818 10.4299 0.0006 1.263 0 1.1519 0.4794 0.6725 "" "" 0 "" "" "" NOT_AVAILABLE 284.05249740761 -1.53896954154 195.89301073883 -60.80304334884 130001 4945.28 4868.00 5009.75 "" "" "" "" "" "" "" "" "" "" "" "" "" 154.41080864500 1.0404 -58.65501935830 1.0585
4 1912.71 1975.82 11.507 0.006 99.0 99.0 0.308 0.006 0.068 0.008 0.48 0.007 154.1816002668843 -58.64993209466133 0.3100 0.108388 -0.074194 0.079013 316.8 "Gaia DR2 5258522769129902592" 154.18176573133 0.0255 -58.64992952144 0.0303 1635721458409799680 5258522769129902592 153380116 2015.5 1.0978 0.0310 35.4191 -9.362 0.052 4.217 0.057 -0.0375 -0.3080 -0.2729 0.1221 0.1062 0.1668 -0.3363 0.1799 0.0499 0.0959 211 211 205 6 12.4289 564.45 0.000 0.17 31 0 406.8839 1.7514 0.0083 -0.006 24 18 0.041338 0 30 0 241 5.114e+05 185.1 2762.513 11.4166 0.0004 26 3.587e+05 446 804.202 11.4646 0.0014 25 2.398e+05 197.8 1212.369 11.3123 0.0009 1.170 0 0.1523 0.0481 0.1042 "" "" 0 "" "" "" NOT_AVAILABLE 283.95051613245 -1.60086708567 195.71966779163 -60.88725897866 100001 9072.67 8738.00 9407.33 0.3950 0.2792 0.5321 0.2005 0.1179 0.2670 "" "" "" "" "" "" "" 154.18184321000 0.8002 -58.64994768000 0.8913
5 1907.9 269.604 11.632 0.002 0.271 0.007 -0.693 0.006 0.196 0.005 0.408 0.004 154.18415901886473 -58.79097200865738 0.7301 0.095326 -0.072500 -0.061894 229.5 "Gaia DR2 5258517443370320256" 154.18445611701 0.0296 -58.79083996677 0.0262 1635721458409799680 5258517443370320256 926223283 2015.5 0.3859 0.0329 11.7236 -4.987 0.055 3.432 0.049 -0.0933 -0.3897 -0.1858 0.2459 0.3005 0.3238 0.0822 0.2437 -0.0558 0.1606 230 230 222 8 6.4315 379.48 0.000 1.9e-15 31 0 458.4011 1.6944 0.0077 0.065 26 17 0.039872 0 33 0 253 4.618e+05 140.4 3288.925 11.5272 0.0003 30 2.988e+05 816.7 365.925 11.6628 0.0030 29 2.579e+05 245.4 1051.009 11.2334 0.0010 1.205 0 0.4294 0.1356 0.2938 "" "" 0 "" "" "" NOT_AVAILABLE 284.03011352414 -1.71717389029 195.93539929450 -60.98145926736 100001 7667.00 7380.00 7958.00 1.1040 0.8126 1.4681 0.5320 0.4110 0.7140 200111 6.30 5.85 6.80 123.541 107.167 139.914 154.18449755300 0.8534 -58.79085474310 0.7673
6 804.51 1982.68 11.705 0.005 1.115 0.006 0.78 0.004 0.564 0.007 1.085 0.008 154.3574173638711 -58.64852539948354 0.1407 0.082331 0.017228 0.080508 12.1 "Gaia DR2 5258525552268799872" 154.35748596118 0.0210 -58.64850948510 0.0222 1635721458409799680 5258525552268799872 464788740 2015.5 0.6593 0.0245 26.8791 -6.691 0.046 1.682 0.048 0.0716 -0.2088 -0.0757 0.2025 0.1956 0.2095 -0.1261 0.1104 -0.0574 0.2320 268 268 263 5 2.9763 330.90 0.000 0 31 0 439.4271 1.5117 0.0060 0.036 30 18 0.039316 0 34 0 267 5.222e+05 134.9 3870.287 11.3938 0.0003 29 2.229e+05 300.8 741.010 11.9810 0.0015 29 4.24e+05 267.1 1587.030 10.6936 0.0007 1.239 0 1.2873 0.5872 0.7001 5.42 0.32 2 5000.0 3.0 0.0 NOT_AVAILABLE 284.02578599683 -1.54891601352 195.84465295153 -60.81903471807 100001 4816.93 4720.97 4931.87 0.2747 0.1166 0.5138 0.1263 0.0510 0.5559 200111 10.63 10.14 11.06 54.777 51.268 58.285 154.35754133000 0.7147 -58.64851672750 0.7390
7 328.297 1562.45 11.757 0.01 0.526 0.014 0.133 0.01 0.298 0.014 0.595 0.018 154.43371832077273 -58.68278058790319 0.1359 0.073274 0.056850 0.046229 50.9 "Gaia DR2 5258524517161683200" 154.43374817951 0.0243 -58.68274618115 0.0231 1635721458409799680 5258524517161683200 1259040862 2015.5 0.6252 0.0259 24.1409 -9.115 0.051 4.338 0.047 -0.0596 -0.1892 -0.2271 0.3107 0.1511 0.3541 -0.1144 0.0924 0.0540 0.0445 262 262 258 4 9.0554 515.18 0.000 0 31 1 409.1324 1.6115 0.0063 0.047 30 18 0.039163 0 32 0 263 4.292e+05 75.79 5663.082 11.6067 0.0002 29 2.398e+05 266.4 900.434 11.9016 0.0012 30 2.737e+05 228.9 1195.692 11.1688 0.0009 1.197 0 0.7327 0.2948 0.4379 "" "" 0 "" "" "" NOT_AVAILABLE 284.07778716995 -1.55546051210 195.95139601417 -60.81305023059 100001 6236.98 5996.70 6531.17 1.6110 1.2170 1.8351 0.8065 0.6226 0.9443 200111 5.59 5.10 6.05 42.611 39.631 45.591 154.43382368700 0.7964 -58.68276485790 0.7274
8 493.397 1253.44 11.832 0.002 0.322 0.003 0.275 0.003 0.209 0.003 0.413 0.004 154.40816478705065 -58.70846071144718 0.2812 0.048093 0.043463 0.020587 64.7 "Gaia DR2 5258524379722827392" 154.40805445697 0.0229 -58.70840761219 0.0237 1635721458409799680 5258524379722827392 860096844 2015.5 0.5380 0.0266 20.1921 -7.255 0.048 4.534 0.046 0.0793 -0.2174 -0.0401 0.2694 0.2447 0.3348 -0.0114 0.2272 0.0479 0.1908 264 264 264 0 8.4600 502.16 0.000 0 31 1 356.1862 1.6730 0.0062 -0.000 30 18 0.038073 0 33 0 290 3.766e+05 164.4 2291.262 11.7485 0.0005 31 2.325e+05 400.4 580.709 11.9353 0.0019 31 2.151e+05 234.8 915.949 11.4303 0.0012 1.188 0 0.5049 0.1867 0.3182 "" "" 0 "" "" "" NOT_AVAILABLE 284.08087303360 -1.58422191159 195.97160539045 -60.84024744923 100001 7323.75 7120.78 7459.00 "" "" "" "" "" "" 200111 4.43 4.27 4.69 50.957 46.740 55.174 154.40811460000 0.7388 -58.70842713310 0.7130
9 1501.63 1299.97 11.925 0.005 0.081 0.006 -0.015 0.004 0.069 0.006 0.124 0.008 154.24793453564374 -58.705486160077264 0.4004 0.046255 -0.039791 0.023584 300.7 "Gaia DR2 5258519260121714176" 154.24776931510 1.0881 -58.70541539882 1.0032 1635721458409799680 5258519260121714176 249798676 2015.5 "" "" "" "" "" "" "" -0.2666 "" "" "" "" "" "" "" "" "" 202 202 202 0 747.7584 3507903.50 12.194 5.6e+04 3 0 0.0056 "" "" 0.020 23 18 1.9272 0 27 1 237 3.165e+05 716.2 441.911 11.9375 0.0025 26 2.34e+05 633.3 369.542 11.9282 0.0029 26 1.553e+05 270.3 574.449 11.7840 0.0019 1.230 1 0.1442 -0.0093 0.1535 "" "" 0 "" "" "" NOT_AVAILABLE 284.00990974156 -1.62790781131 195.85138502736 -60.89953825304 132002 9542.50 7212.50 9697.75 "" "" "" "" "" "" "" "" "" "" "" "" "" 154.24776931500 1.0881 -58.70541539880 1.0032
10 926.496 1501.59 11.96 0.003 1.256 0.004 1.13 0.005 0.65 0.004 1.206 0.004 154.33900348908617 -58.68836127428166 0.4197 0.041409 0.007505 0.040723 10.4 "Gaia DR2 5258518783400297600" 154.33881469607 0.0218 -58.68829829943 0.0222 1635721458409799680 5258518783400297600 474970012 2015.5 0.6659 0.0246 27.0978 -12.744 0.047 7.023 0.045 0.0371 -0.1718 -0.1068 0.2643 0.1454 0.3015 -0.0493 0.1190 0.0185 0.1824 265 265 259 6 4.3926 365.57 0.000 0 31 0 438.5961 1.4816 0.0062 0.044 31 18 0.03822 0 34 0 274 4.375e+05 107.9 4053.076 11.5859 0.0003 32 1.744e+05 227.3 767.050 12.2478 0.0014 29 3.74e+05 191.5 1952.891 10.8297 0.0006 1.253 1 1.4181 0.6619 0.7562 37.13 0.59 6 4500.0 3.0 0.0 NOT_AVAILABLE 284.03976882604 -1.58741327178 195.89124099528 -60.85312275660 100002 4595.26 4486.61 4757.59 "" "" "" "" "" "" 200111 10.96 10.22 11.50 48.249 45.185 51.313 154.33892027600 0.7301 -58.68832853940 0.7030
