radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
142.202769,0.239,-50.215974,0.245,14.007,0.074,5,14.934,0.036,5,NA,NA,0,14.488,0.008,5,13.646,0.108,5,13.291,0.082,5,13.14,0.148,1,NA,NA,0
142.207732,0.189,-50.171669,0.258,14.002,0.049,5,15.843,0.016,5,NA,NA,0,14.915,0.014,5,13.264,0.099,5,12.507,0.082,5,11.993,0.059,1,NA,NA,0
142.209346,0.342,-50.261769,0.417,NA,NA,0,NA,NA,0,NA,NA,0,18.989,0.267,1,16.58,0.095,1,15.507,0.114,1,NA,NA,0,NA,NA,0
142.21014,0.29,-50.266775,0.286,16.198,0.078,5,17.439,0.089,5,NA,NA,0,16.78,0.067,5,15.685,0.102,5,15.17,0.106,5,NA,NA,0,NA,NA,0
142.21235,0.543,-50.278139,0.364,NA,NA,0,NA,NA,0,NA,NA,0,18.189,0.122,2,16.42,0.125,2,15.287,0.056,2,NA,NA,0,NA,NA,0
142.215309,0.5,-50.263558,0.279,NA,NA,0,NA,NA,0,NA,NA,0,18.242,0.145,1,17.063,0.141,1,NA,NA,0,NA,NA,0,NA,NA,0
142.216572,0.333,-50.236434,0.346,NA,NA,0,NA,NA,0,NA,NA,0,18.155,0.153,1,16.965,0.146,1,16.14,0.202,1,NA,NA,0,NA,NA,0
142.218805,0.483,-50.232378,0.34,16.85,0.11,1,18.049,0.192,1,NA,NA,0,17.445,0.092,5,16.114,0.11,5,15.651,0.096,5,NA,NA,0,NA,NA,0
142.224252,0.572,-50.292698,0.448,16.542,0.125,1,17.799,0.232,1,NA,NA,0,17.421,0.073,5,16.229,0.082,5,15.79,0.112,3,NA,NA,0,NA,NA,0
142.225592,0.526,-50.193462,0.426,16.836,0.111,1,18.076,0.198,1,NA,NA,0,17.594,0.093,5,16.363,0.128,5,15.808,0.297,4,NA,NA,0,NA,NA,0
142.22566,0.275,-50.285724,0.201,12.741,0.067,5,13.478,0.04,5,NA,NA,0,13.096,0.017,5,12.514,0.101,5,12.399,0.092,5,12.409,0.079,1,NA,NA,0
142.227469,0.547,-50.297945,0.567,16.992,0.138,1,17.972,0.19,1,NA,NA,0,17.686,0.102,5,16.38,0.155,5,15.738,0.107,5,NA,NA,0,NA,NA,0
