radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
184.975347,0.322,-61.901567,0.364,NA,NA,0,NA,NA,0,NA,NA,0,17.052,0.01,2,15.343,0.015,2,NA,NA,0,NA,NA,0,NA,NA,0
184.977305,0.323,-61.842398,0.48,16.588,0.083,2,17.693,0.099,2,NA,NA,0,17.083,0.007,2,16.15,0.012,2,15.803,0.029,2,NA,NA,0,NA,NA,0
184.978576,0.266,-61.865148,0.338,16.558,0.053,2,17.678,0.012,2,NA,NA,0,17.196,0.05,2,16.168,0.09,2,15.684,0.16,1,NA,NA,0,NA,NA,0
184.980495,0.408,-61.871881,0.287,NA,NA,0,NA,NA,0,NA,NA,0,17.599,0.012,2,15.822,0.042,2,14.752,0.067,2,NA,NA,0,NA,NA,0
184.984212,0.19,-61.8135,0.296,16.682,0.058,2,17.614,0.083,2,NA,NA,0,17.159,0.12,2,16.356,0.016,2,15.917,0.187,1,NA,NA,0,NA,NA,0
184.985116,0.236,-61.901423,0.141,NA,NA,0,NA,NA,0,NA,NA,0,17.46,0.052,2,16.497,0.009,2,NA,NA,0,NA,NA,0,NA,NA,0
184.986581,0.863,-61.848287,0.35,16.591,0.116,1,17.576,0.182,1,NA,NA,0,16.973,0.047,2,16.221,0.127,2,15.917,0.136,2,NA,NA,0,NA,NA,0
184.986983,0.552,-61.951,0.292,16.343,0.021,2,17.243,0.117,2,NA,NA,0,16.815,0.217,3,15.975,0.031,3,15.568,0.098,2,NA,NA,0,NA,NA,0
184.987532,0.331,-61.931522,0.185,14.803,0.031,4,15.611,0.014,4,NA,NA,0,15.205,0.043,4,14.57,0.035,4,14.268,0.019,4,NA,NA,0,NA,NA,0
184.988741,0.168,-61.823107,0.093,17.156,0.214,1,17.635,0.205,1,NA,NA,0,17.167,0.099,2,16.502,0.006,2,NA,NA,0,NA,NA,0,NA,NA,0
184.989062,0.264,-61.91787,0.396,14.978,0.022,4,16.28,0.1,4,NA,NA,0,15.645,0.109,4,14.488,0.028,4,13.998,0.027,4,NA,NA,0,NA,NA,0
184.989189,0.179,-61.942149,0.252,13.119,0.011,4,14.035,0.029,4,NA,NA,0,13.599,0.035,4,12.757,0.028,4,12.277,0.036,4,12.073,0.118,2,NA,NA,0
184.98989,0.296,-61.857537,0.559,14.963,0.016,2,15.949,0.091,2,NA,NA,0,15.467,0.019,2,14.577,0.015,2,14.211,0.041,1,NA,NA,0,NA,NA,0
184.990468,0.452,-61.891354,0.698,14.427,0.01,2,15.072,0.019,2,NA,NA,0,14.752,0.044,2,14.174,0.001,2,NA,NA,0,NA,NA,0,NA,NA,0
184.990779,0.465,-61.946002,0.187,14.886,0.02,4,15.55,0.095,4,NA,NA,0,15.151,0.018,4,14.711,0.04,4,14.42,0.08,4,NA,NA,0,NA,NA,0
184.992107,0.092,-61.856554,0.346,NA,NA,0,15.826,0.068,1,NA,NA,0,15.342,0.033,1,NA,NA,0,13.93,0.047,1,NA,NA,0,NA,NA,0
184.993001,0.292,-61.854881,0.169,15.301,0.037,1,16.242,0.053,1,NA,NA,0,15.762,0.026,1,15.058,0.034,1,NA,NA,0,NA,NA,0,NA,NA,0
184.993064,0.423,-61.790911,0.129,16.339,0.045,2,17.197,0.083,2,NA,NA,0,16.753,0.208,3,15.941,0.04,3,15.561,0.185,3,NA,NA,0,NA,NA,0
184.993739,0.343,-61.851763,0.116,NA,NA,0,NA,NA,0,NA,NA,0,17.186,0.088,1,16.284,0.102,1,NA,NA,0,NA,NA,0,NA,NA,0
184.993946,0.442,-61.839284,0.208,15.706,0.046,4,16.733,0.136,4,NA,NA,0,16.153,0.135,4,15.428,0.092,4,15.243,0.107,4,NA,NA,0,NA,NA,0
184.994114,0.192,-61.833277,0.126,15.056,0.05,4,15.642,0.086,4,NA,NA,0,15.283,0.06,4,14.903,0.035,4,14.801,0.037,4,NA,NA,0,NA,NA,0
184.996073,0.258,-61.856964,0.407,15.262,0.05,3,16.338,0.003,2,NA,NA,0,15.73,0.086,2,14.861,0.033,3,14.414,0.05,1,NA,NA,0,NA,NA,0
184.997017,0.064,-61.879169,0.508,NA,NA,0,NA,NA,0,NA,NA,0,18.43,0.32,1,17.027,0.238,1,NA,NA,0,NA,NA,0,NA,NA,0
184.998383,0.394,-61.794585,0.265,14.733,0.023,4,16.516,0.103,4,NA,NA,0,15.673,0.067,4,14.102,0.027,4,13.346,0.041,4,13.005,0.131,1,NA,NA,0
184.999032,0.241,-61.95644,0.161,12.621,0.018,4,14.013,0.024,4,NA,NA,0,13.296,0.038,4,12.142,0.01,4,11.607,0.029,4,11.382,0.04,2,NA,NA,0
184.999074,0.149,-61.962712,0.233,14.573,0.021,4,15.481,0.025,4,NA,NA,0,15.021,0.051,4,14.31,0.037,4,13.977,0.034,4,NA,NA,0,NA,NA,0
184.999806,0.156,-61.865642,0.308,15.77,0.067,2,16.689,0.022,2,NA,NA,0,16.194,0.076,2,15.36,0.009,2,15.037,0.056,2,NA,NA,0,NA,NA,0
184.999869,0.398,-61.848096,0.213,NA,NA,0,NA,NA,0,NA,NA,0,17.623,0.013,2,16.459,0.02,2,NA,NA,0,NA,NA,0,NA,NA,0
185.000706,0.454,-61.985141,0.273,16.498,0.094,1,17.473,0.147,1,NA,NA,0,17.035,0.055,3,16.016,0.061,3,15.609,0.138,1,NA,NA,0,NA,NA,0
185.000745,0.087,-61.940427,0.198,NA,NA,0,NA,NA,0,NA,NA,0,17.17,0.017,2,15.624,0.043,2,14.756,0.045,2,NA,NA,0,NA,NA,0
185.001275,0.145,-61.827921,0.299,15.298,0.055,4,15.868,0.087,4,NA,NA,0,15.588,0.06,4,15.017,0.03,4,NA,NA,0,NA,NA,0,NA,NA,0
185.001573,0.364,-61.869698,0.277,13.615,0.014,4,14.139,0.03,4,NA,NA,0,13.839,0.024,3,13.466,0.032,3,13.294,0.013,3,13.179,0.027,2,NA,NA,0
185.00168,0.258,-61.75963,0.402,16.14,0.064,2,17.077,0.065,2,NA,NA,0,16.584,0.009,2,15.791,0.023,2,15.364,0.002,2,NA,NA,0,NA,NA,0
185.002846,0.238,-61.762609,0.224,15.16,0.037,3,16.187,0.064,3,NA,NA,0,15.668,0.042,3,14.818,0.039,3,14.44,0.047,3,NA,NA,0,NA,NA,0
185.00339,0.301,-61.77667,0.391,16.291,0.05,2,17.302,0.063,2,NA,NA,0,16.834,0.099,2,15.752,0.07,2,15.336,0.03,2,NA,NA,0,NA,NA,0
185.003436,0.329,-61.882124,0.23,16.626,0.029,2,17.742,0.184,2,NA,NA,0,17.06,0.113,3,16.199,0.137,3,15.907,0.103,2,NA,NA,0,NA,NA,0
185.00365,0.303,-61.915797,0.29,16.948,0.143,1,18.068,0.26,1,NA,NA,0,17.239,0.025,2,16.338,0.059,2,15.995,0.197,2,NA,NA,0,NA,NA,0
185.004078,0.867,-61.853372,0.297,15.805,0.077,2,16.774,0.078,2,NA,NA,0,16.34,0.055,4,15.481,0.098,4,14.955,0.112,4,NA,NA,0,NA,NA,0
185.004387,0.318,-61.945952,0.361,16.412,0.084,2,17.397,0.033,2,NA,NA,0,16.952,0.006,2,15.971,0.001,2,15.586,0.052,2,NA,NA,0,NA,NA,0
185.004994,0.188,-61.988162,0.247,15.592,0.049,1,17.59,0.184,1,NA,NA,0,16.518,0.083,3,14.894,0.01,3,14.062,0.043,3,NA,NA,0,NA,NA,0
185.005255,0.275,-61.991059,0.247,NA,NA,0,NA,NA,0,NA,NA,0,17.224,0.065,2,15.743,0.01,2,15.035,0.084,1,NA,NA,0,NA,NA,0
185.005383,0.223,-61.766263,0.213,NA,NA,0,NA,NA,0,NA,NA,0,17.454,0.088,2,16.674,0.06,2,NA,NA,0,NA,NA,0,NA,NA,0
185.005788,0.392,-61.791558,0.283,13.656,0.031,4,14.409,0.028,4,NA,NA,0,14.037,0.04,4,13.385,0.023,4,13.064,0.021,4,12.908,0.068,2,NA,NA,0
185.006172,0.396,-61.779132,0.275,16.082,0.084,2,17.155,0.073,2,NA,NA,0,16.563,0.095,3,15.81,0.147,3,15.426,0.045,2,NA,NA,0,NA,NA,0
185.006619,0.298,-61.967371,0.218,16.473,0.03,2,17.916,0.127,2,NA,NA,0,17.303,0.235,3,15.938,0.11,3,15.384,0.064,2,NA,NA,0,NA,NA,0
185.007355,0.142,-61.771784,0.336,14.806,0.031,3,15.885,0.124,3,NA,NA,0,15.38,0.131,4,14.408,0.042,4,14.047,0.076,4,NA,NA,0,NA,NA,0
185.007455,0.205,-61.782106,0.346,16.356,0.071,2,17.51,0.158,2,NA,NA,0,16.859,0.086,2,16.066,0.108,2,15.858,0.202,1,NA,NA,0,NA,NA,0
185.008584,0.275,-61.912007,0.274,15.664,0.034,4,16.337,0.144,4,NA,NA,0,16.053,0.096,4,15.447,0.089,4,15.104,0.055,4,NA,NA,0,NA,NA,0
185.008948,0.421,-61.924312,0.161,NA,NA,0,NA,NA,0,NA,NA,0,17.962,0.19,1,16.684,0.152,1,16.185,0.249,1,NA,NA,0,NA,NA,0
185.009365,0.44,-61.756212,0.227,16.365,0.072,2,17.396,0.101,2,NA,NA,0,16.906,0.03,2,16.032,0.046,2,15.536,0.152,1,NA,NA,0,NA,NA,0
