radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
149.517773,0.998,-55.020051,0.265,NA,NA,0,NA,NA,0,NA,NA,0,17.899,0.249,1,16.591,0.149,1,NA,NA,0,NA,NA,0,NA,NA,0
149.519345,0.606,-54.993457,0.21,16.194,0.04,3,17.663,0.253,3,NA,NA,0,16.871,0.072,6,15.612,0.038,6,15.21,0.09,6,NA,NA,0,NA,NA,0
149.520904,1.2,-55.031116,0.388,16.041,0.108,3,16.921,0.003,3,NA,NA,0,16.436,0.054,6,15.77,0.065,6,15.631,0.09,6,NA,NA,0,NA,NA,0
149.522636,0.433,-55.052654,0.371,15.153,0.06,3,15.854,0.062,3,NA,NA,0,15.503,0.041,6,14.956,0.083,6,14.838,0.055,5,NA,NA,0,NA,NA,0
149.523835,0.627,-55.03843,0.279,16.494,0.007,2,17.647,0.081,2,NA,NA,0,17.021,0.103,4,16.032,0.042,3,15.568,0.084,4,NA,NA,0,NA,NA,0
149.524317,0.488,-55.044921,0.222,NA,NA,0,NA,NA,0,NA,NA,0,17.5,0.165,4,16.516,0.104,4,NA,NA,0,NA,NA,0,NA,NA,0
149.524944,0.433,-54.998825,0.553,16.118,0.036,3,16.978,0.142,3,NA,NA,0,16.512,0.05,6,15.724,0.079,6,15.441,0.174,6,NA,NA,0,NA,NA,0
149.525222,0.952,-55.018459,0.26,16.078,0.106,1,16.838,0.162,1,NA,NA,0,16.44,0.033,4,15.685,0.049,4,15.338,0.062,4,NA,NA,0,NA,NA,0
149.525692,0.412,-55.054844,0.31,15.288,0.051,3,15.962,0.067,3,NA,NA,0,15.561,0.04,6,15.101,0.068,6,14.88,0.058,5,NA,NA,0,NA,NA,0
149.525879,0.397,-55.0474,0.315,NA,NA,0,NA,NA,0,NA,NA,0,17.653,0.139,4,16.64,0.049,4,16.329,0.276,1,NA,NA,0,NA,NA,0
149.526106,0.208,-54.956237,0.103,NA,NA,0,NA,NA,0,NA,NA,0,17.636,0.263,1,15.693,0.107,1,15.02,0.124,1,NA,NA,0,NA,NA,0
149.527067,0.35,-54.942828,0.605,15.283,0.029,3,15.987,0.097,3,NA,NA,0,15.601,0.045,6,15.052,0.041,6,14.878,0.079,5,NA,NA,0,NA,NA,0
149.528103,0.365,-54.978926,0.347,16.284,0.053,3,17.362,0.113,3,NA,NA,0,16.814,0.05,6,16.142,0.047,6,15.901,0.1,6,NA,NA,0,NA,NA,0
149.528317,0.382,-55.095302,0.388,NA,NA,0,NA,NA,0,NA,NA,0,18.035,0.241,1,16.854,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
149.529091,0.71,-55.021937,0.28,15.244,0.025,3,15.982,0.059,3,NA,NA,0,15.597,0.019,3,15.023,0.001,3,14.792,0.028,2,NA,NA,0,NA,NA,0
149.529194,0.024,-54.955959,0.078,NA,NA,0,NA,NA,0,NA,NA,0,16.644,0.087,1,15.526,0.09,1,NA,NA,0,NA,NA,0,NA,NA,0
149.529944,0.156,-55.017295,0.268,NA,NA,0,NA,NA,0,NA,NA,0,17.167,0.039,3,16.25,0.03,3,16.128,0.001,2,NA,NA,0,NA,NA,0
149.530053,0.728,-55.009198,0.301,16.395,0.126,3,17.493,0.052,3,NA,NA,0,16.753,0.05,6,16.054,0.107,6,15.874,0.178,5,NA,NA,0,NA,NA,0
149.530151,0.25,-55.03788,0.105,NA,NA,0,NA,NA,0,NA,NA,0,17.619,0.176,1,16.933,0.193,1,NA,NA,0,NA,NA,0,NA,NA,0
149.530195,0.538,-54.989075,0.539,16.068,0.042,2,17.248,0.11,2,NA,NA,0,16.63,0.072,6,15.604,0.03,5,15.276,0.121,6,NA,NA,0,NA,NA,0
149.530217,0.296,-54.968003,0.233,15.435,0.041,3,16.191,0.014,3,NA,NA,0,15.769,0.048,1,15.161,0.055,1,NA,NA,0,NA,NA,0,NA,NA,0
149.530486,0.331,-55.031795,0.914,15.3,0.041,1,16.11,0.049,1,NA,NA,0,15.601,0.022,5,14.955,0.02,5,14.756,0.048,4,NA,NA,0,NA,NA,0
149.530819,0.466,-54.960858,0.37,14.839,0.019,3,15.584,0.061,3,NA,NA,0,15.141,0.047,6,14.61,0.017,4,14.485,0.048,6,NA,NA,0,NA,NA,0
149.53108,0.52,-55.028447,0.364,16.093,0.048,2,16.988,0.013,2,NA,NA,0,16.434,0.054,5,15.683,0.056,5,15.295,0.101,4,NA,NA,0,NA,NA,0
149.531756,0.658,-54.996206,0.688,14.564,0.007,3,15.988,0.031,3,NA,NA,0,15.231,0.03,6,14.067,0.021,6,13.508,0.017,6,13.474,0.108,2,NA,NA,0
149.532197,0.525,-54.956464,0.337,16.151,0.105,2,17.082,0.056,2,NA,NA,0,16.503,0.097,1,15.618,0.014,2,15.196,0.071,2,NA,NA,0,NA,NA,0
149.532345,0.442,-55.061075,0.382,13.959,0.021,3,14.865,0.022,3,NA,NA,0,14.372,0.015,6,13.604,0.029,6,13.227,0.021,6,13.04,0.164,4,NA,NA,0
149.533318,0.481,-55.065561,0.285,14.313,0.016,3,15.161,0.056,3,NA,NA,0,14.716,0.021,6,14.036,0.018,6,13.768,0.029,6,13.234,0.146,1,NA,NA,0
149.533634,0.558,-54.929571,0.308,16.133,0.108,1,17.874,0.262,1,NA,NA,0,17.038,0.049,6,15.481,0.041,6,14.752,0.047,6,NA,NA,0,NA,NA,0
149.534448,1.178,-55.004244,0.215,16.082,0.077,3,17.23,0.053,3,NA,NA,0,16.574,0.067,6,15.608,0.05,6,15.169,0.114,6,NA,NA,0,NA,NA,0
149.534566,0.43,-54.949898,0.209,NA,NA,0,NA,NA,0,NA,NA,0,17.504,0.124,2,16.776,0.032,2,NA,NA,0,NA,NA,0,NA,NA,0
149.534627,0.389,-54.953845,0.274,16.63,0.097,2,17.726,0.083,2,NA,NA,0,17.113,0.181,1,16.317,0.167,1,NA,NA,0,NA,NA,0,NA,NA,0
149.534847,0.483,-54.985286,0.304,16.726,0,2,17.98,0.247,2,NA,NA,0,17.153,0.095,5,16.62,0.065,5,NA,NA,0,NA,NA,0,NA,NA,0
149.53494,0.478,-54.965981,0.339,15.22,0.04,1,17.677,0.2,1,NA,NA,0,16.425,0.078,1,14.294,0.024,1,NA,NA,0,NA,NA,0,NA,NA,0
149.535354,0.413,-55.050969,0.23,NA,NA,0,NA,NA,0,NA,NA,0,18.103,0.248,1,16.466,0.156,1,15.613,0.186,1,NA,NA,0,NA,NA,0
149.535376,0.616,-55.019924,0.291,16.028,0.076,1,17.09,0.128,1,NA,NA,0,16.446,0.057,2,15.628,0,2,15.333,0.041,2,NA,NA,0,NA,NA,0
149.535879,0.44,-55.024701,1.286,NA,NA,0,NA,NA,0,NA,NA,0,17.224,0.091,2,16.352,0.033,2,15.764,0.155,1,NA,NA,0,NA,NA,0
149.536475,0.756,-55.042733,0.054,NA,NA,0,NA,NA,0,NA,NA,0,17.87,0.202,1,16.868,0.215,1,NA,NA,0,NA,NA,0,NA,NA,0
149.53767,0.556,-55.089002,0.358,NA,NA,0,NA,NA,0,NA,NA,0,17.595,0.067,2,16.233,0.006,2,15.956,0.233,1,NA,NA,0,NA,NA,0
149.538473,0.541,-54.932582,0.32,16.586,0.072,3,17.403,0.165,3,NA,NA,0,16.962,0.101,6,16.337,0.055,6,16.276,0.088,4,NA,NA,0,NA,NA,0
149.538846,0.305,-55.103525,0.374,NA,NA,0,NA,NA,0,NA,NA,0,17.498,0.096,6,16.661,0.16,6,16.096,0.034,2,NA,NA,0,NA,NA,0
149.539908,0.263,-55.095832,0.242,15.456,0.034,3,16.275,0.03,3,NA,NA,0,15.814,0.039,6,15.14,0.043,6,14.886,0.024,6,NA,NA,0,NA,NA,0
149.540156,0.298,-54.945101,0.391,14.573,0.049,3,15.266,0.052,3,NA,NA,0,14.925,0.008,6,14.334,0.004,6,13.999,0.056,6,NA,NA,0,NA,NA,0
149.540408,0.726,-55.080176,0.263,NA,NA,0,NA,NA,0,NA,NA,0,17.561,0.045,3,16.054,0.098,3,15.247,0.082,3,NA,NA,0,NA,NA,0
149.540478,0.343,-54.997431,0.26,NA,NA,0,NA,NA,0,NA,NA,0,17.442,0.057,5,16.446,0.094,5,16.167,0.202,1,NA,NA,0,NA,NA,0
149.540559,0.442,-54.987955,0.18,15.726,0.056,3,16.803,0.093,3,NA,NA,0,16.186,0.019,6,15.354,0.038,6,14.969,0.052,6,NA,NA,0,NA,NA,0
149.541444,0.417,-54.961546,0.261,12.853,0.015,3,13.798,0.022,3,NA,NA,0,13.296,0.005,5,12.566,0.029,5,12.312,0.029,5,12.26,0.109,4,NA,NA,0
149.54147,0.492,-55.070345,0.393,15.777,0.062,3,16.668,0.016,3,NA,NA,0,16.191,0.04,5,15.412,0.04,5,15.128,0.023,4,NA,NA,0,NA,NA,0
149.542904,0.718,-55.146194,0.55,16.296,0.02,2,17.716,0.164,2,NA,NA,0,16.813,0.113,6,15.798,0.068,6,15.074,0.09,1,NA,NA,0,NA,NA,0
149.543077,1.087,-54.92998,0.629,NA,NA,0,NA,NA,0,NA,NA,0,17.557,0.068,3,16.514,0.014,3,16.055,0.2,2,NA,NA,0,NA,NA,0
149.543784,0.725,-54.909383,0.698,NA,NA,0,NA,NA,0,NA,NA,0,15.327,0.045,2,14.352,0.042,2,13.854,0.06,2,13.492,0.048,2,NA,NA,0
149.544686,0.435,-55.077573,0.43,15.273,0.026,3,17.267,0.131,3,NA,NA,0,16.177,0.026,5,14.556,0.021,5,13.755,0.025,5,13.002,0.146,1,NA,NA,0
149.544944,0.357,-55.003361,0.213,16.899,0.182,1,18.451,0.391,1,NA,NA,0,17.69,0.068,3,16.76,0.17,3,16.299,0.235,1,NA,NA,0,NA,NA,0
149.545137,0.36,-55.027777,0.382,15.039,0.037,3,15.651,0.034,3,NA,NA,0,15.325,0.025,6,14.885,0.028,6,14.731,0.047,6,NA,NA,0,NA,NA,0
149.545536,0.5,-54.920581,0.257,NA,NA,0,NA,NA,0,NA,NA,0,17.252,0.172,1,16.316,0.129,1,NA,NA,0,NA,NA,0,NA,NA,0
149.546155,0.998,-54.950157,0.65,14.61,0.023,2,15.315,0.003,2,NA,NA,0,14.871,0.025,5,14.397,0.036,5,14.302,0.04,5,NA,NA,0,NA,NA,0
149.546491,0.236,-54.90102,0.403,14.963,0.026,3,16.481,0.11,3,NA,NA,0,15.643,0.005,4,14.358,0.02,4,13.736,0.016,4,13.218,0.159,1,NA,NA,0
149.546618,0.697,-55.067543,0.568,14.253,0.014,3,15.491,0.044,3,NA,NA,0,14.885,0.018,6,13.761,0.026,5,13.194,0.016,6,12.931,0.097,3,NA,NA,0
149.54715,0.491,-55.009787,0.459,15.935,0.052,3,16.575,0.088,3,NA,NA,0,16.168,0.053,5,15.653,0.073,4,15.541,0.082,3,NA,NA,0,NA,NA,0
149.547223,0.576,-55.050336,0.374,16.389,0.037,3,17.26,0.172,3,NA,NA,0,16.828,0.086,6,16.099,0.099,6,15.892,0.168,6,NA,NA,0,NA,NA,0
149.547505,0.38,-54.922855,0.222,NA,NA,0,NA,NA,0,NA,NA,0,17.215,0.028,3,16.333,0.112,3,15.92,0.211,1,NA,NA,0,NA,NA,0
149.547909,0.219,-55.061064,0.373,NA,NA,0,NA,NA,0,NA,NA,0,17.675,0.15,4,16.841,0.103,4,16.469,0.3,1,NA,NA,0,NA,NA,0
149.547968,0.305,-55.126095,0.771,12.921,0.021,3,14.179,0.023,3,NA,NA,0,13.512,0.011,6,12.463,0.023,6,11.971,0.025,6,11.72,0.044,3,NA,NA,0
149.548592,0.334,-55.040981,0.468,14.932,0.015,3,15.656,0.037,3,NA,NA,0,15.253,0.021,6,14.765,0.028,6,14.581,0.061,6,NA,NA,0,NA,NA,0
149.548667,0.571,-54.991727,0.326,15.816,0.087,3,16.906,0.056,3,NA,NA,0,16.322,0.057,6,15.408,0.053,6,15.172,0.032,6,NA,NA,0,NA,NA,0
149.54925,1.452,-55.135504,0.821,16.134,0.034,3,17.269,0.095,3,NA,NA,0,16.682,0.084,6,15.814,0.062,6,15.233,0.04,6,NA,NA,0,NA,NA,0
149.549851,0.442,-55.020147,0.28,15.183,0.005,3,16.012,0.054,3,NA,NA,0,15.557,0.013,6,14.957,0.033,6,14.797,0.072,6,NA,NA,0,NA,NA,0
149.550185,0.323,-55.122573,0.218,14.392,0.011,3,15.973,0.033,3,NA,NA,0,15.174,0.022,6,13.766,0.021,6,13.049,0.026,6,12.517,0.007,2,NA,NA,0
