ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
216,923.046,1507.01,16.3261,0.0011,1.092,0.821,0.361,0.01,0.011,0.05,0.4325,-5.892,3.406,0.0527,0.095,0.086,0.978,1
298,1253.7,1465.01,16.6974,0.0007,1.214,0.934,0.306,0.012,0.014,0.073,0.4422,-5.872,3.374,0.0607,0.109,0.106,0.977,1
123,853.751,1233.74,15.3967,0.0006,0.786,0.619,0.472,0.007,0.006,0.018,0.4059,-5.878,3.439,0.0343,0.062,0.061,0.975,1
80,1070.97,1455.09,14.8234,0.0004,0.632,0.503,0.359,0.006,0.006,0.01,0.3981,-5.9,3.464,0.028,0.05,0.042,0.974,1
243,867.228,1260.75,16.4898,0.0008,1.134,0.88,0.257,0.012,0.011,0.061,0.4649,-5.918,3.388,0.0568,0.107,0.107,0.972,1
315,1133.73,1221.79,16.6666,0.0008,1.395,1.069,0.379,0.013,0.016,0.082,0.4554,-5.864,3.348,0.0593,0.102,0.094,0.971,1
48,1087.81,1301.08,13.8716,0.0003,0.889,0.572,0.173,0.018,0.006,0.006,0.3774,-5.844,3.436,0.0207,0.039,0.032,0.969,1
18,673.437,1151.02,12.8931,0.0004,0.684,0.483,-0.007,0.008,0.007,0.005,0.4072,-5.941,3.365,0.0294,0.047,0.044,0.967,1
47,1171.71,1345.61,13.8024,0.0003,0.685,0.489,0.112,0.005,0.004,0.005,0.3661,-5.905,3.479,0.0201,0.034,0.032,0.967,1
110,1055.21,1430.9,15.2527,0.0005,0.72,0.572,0.454,0.007,0.006,0.015,0.4158,-5.989,3.391,0.0306,0.054,0.048,0.965,1
163,624.906,1197.88,15.8393,0.0007,0.977,0.757,0.423,0.008,0.008,0.036,0.3567,-5.985,3.29,0.0445,0.076,0.068,0.965,1
263,1271.06,1452.41,16.5728,0.0007,1.218,0.939,0.234,0.012,0.013,0.057,0.3977,-6.047,3.555,0.0541,0.098,0.089,0.964,1
17,1183.51,1263.14,12.9038,0.001,0.684,0.493,0.356,0.004,0.003,0.004,0.3852,-5.948,3.517,0.0272,0.048,0.048,0.963,1
21,961.483,1219.37,12.9137,0.0003,0.603,0.413,-0.057,0.004,0.003,0.004,0.3746,-5.799,3.49,0.0272,0.044,0.042,0.958,1
215,738.548,1404.08,16.3154,0.0007,1.083,0.832,0.368,0.009,0.009,0.047,0.3131,-6.032,3.28,0.0516,0.094,0.093,0.958,1
238,949.788,1344.02,16.4416,0.0007,1.138,0.847,0.306,0.011,0.012,0.056,0.4059,-5.907,3.623,0.0524,0.089,0.086,0.955,1
14,1010.47,1353.04,12.6337,0.001,0.565,0.343,-0.317,0.004,0.003,0.003,0.4574,-5.912,3.483,0.0296,0.049,0.047,0.953,1
185,634.451,1215.97,16.0509,0.0007,1.005,0.788,0.418,0.009,0.01,0.04,0.3363,-6.089,3.429,0.0455,0.076,0.072,0.953,1
44,1144.68,1256.33,13.7768,0.0004,0.706,0.51,-0.046,0.004,0.003,0.005,0.3687,-6.003,3.244,0.0214,0.036,0.033,0.94,1
