ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
432,2416.91,1511.19,14.7882,0.0004,0.438,0.379,0.13,0.007,0.008,0.016,0.3441,-6.402,0.659,0.0258,0.042,0.043,0.858,1
1385,2457.97,1230.23,16.1244,0.0006,1.039,0.8,0.493,0.003,0.002,0.013,0.2997,-9.004,2.59,0.0455,0.083,0.07,0.852,1
535,3029.89,1380.57,15.0062,0.0004,0.604,0.525,0.164,0.007,0.004,0.008,0.3528,-6.443,0.762,0.0282,0.046,0.051,0.833,1
764,2369.01,1262.58,15.366,0.0006,0.909,0.788,0.199,0.004,0.004,0.007,0.2994,-8.839,2.639,0.0358,0.058,0.055,0.825,1
271,2553.11,1805.03,14.1084,0.0003,0.467,0.398,0.136,0.002,0.002,0.003,0.4024,-6.456,0.656,0.0207,0.034,0.034,0.818,1
902,2792.25,1291.93,15.4806,0.0004,1.068,0.776,0.181,0.003,0.002,0.01,0.1481,-7.478,1.393,0.0328,0.057,0.055,0.817,1
377,1975.81,1530.69,14.408,0.0003,0.917,0.798,0.296,0.002,0.002,0.004,0.3531,-6.937,1.768,0.0223,0.035,0.034,0.816,1
1064,2298.68,1695.32,15.8113,0.0005,0.808,0.658,0.111,0.003,0.002,0.006,0.3884,-6.365,0.712,0.0367,0.06,0.058,0.815,1
1122,2355.42,1604.84,15.7932,0.0005,1.038,0.798,0.248,0.003,0.003,0.031,0.3485,-8.84,2.404,0.0371,0.061,0.058,0.813,1
3060,2725.76,2119.82,17.4491,0.0012,1.047,0.949,0.439,0.005,0.005,0.01,0.3727,-10.932,1.883,0.0935,0.157,0.147,0.807,1
1176,2548.53,1671.68,15.8593,0.0005,1.029,0.811,0.209,0.003,0.003,0.01,0.3337,-11.04,1.862,0.0372,0.061,0.06,0.798,1
120,2181.03,1845.41,13.2154,0.0003,0.382,0.336,0.202,0.003,0.002,0.002,0.4476,-6.531,1.516,0.0172,0.028,0.027,0.784,1
1802,2642.1,1907.68,16.2185,0.0007,1.532,1.179,0.641,0.003,0.006,0.011,0.1803,-7.247,1.337,0.0466,0.08,0.077,0.779,1
1274,3054.32,1501.99,15.7639,0.0004,1.444,1.232,0.754,0.003,0.003,0.022,0.3513,-9.068,1.62,0.0342,0.06,0.061,0.774,1
699,2318.08,1275.25,15.2242,0.0004,0.851,0.717,0.196,0.002,0.002,0.007,0.3991,-7.435,1.93,0.029,0.049,0.049,0.773,1
868,2626.92,2214.58,15.4963,0.0004,0.84,0.686,0.121,0.003,0.002,0.003,0.4226,-10.94,2.07,0.032,0.056,0.055,0.771,1
3842,2799.96,2216.11,17.8517,0.0014,1.471,1.066,0.558,0.009,0.012,0.027,0.203,-7.568,2.204,0.129,0.218,0.187,0.766,1
182,2295.55,1450.57,13.5083,0.0002,0.802,0.641,0.268,0.003,0.002,0.004,0.3612,-8.439,1.378,0.0182,0.03,0.029,0.761,1
1114,2676.34,1798.41,15.6632,0.0004,1.264,1.205,0.979,0.003,0.003,0.007,0.4356,-7.609,2.234,0.0334,0.057,0.055,0.757,1
1001,2353.54,1786.0,15.6976,0.0006,0.886,0.765,0.231,0.003,0.003,0.005,0.3966,-6.255,2.415,0.0508,0.084,0.084,0.753,1
795,2399.02,1246.36,15.3674,0.0005,0.987,0.772,0.468,0.003,0.002,0.008,0.2155,-5.469,0.741,0.0397,0.064,0.06,0.747,1
1717,2672.58,1351.26,16.308,0.0007,1.271,0.964,0.585,0.004,0.003,0.018,0.1429,-8.781,2.128,0.0524,0.093,0.077,0.744,1
1673,2638.45,1439.46,16.3946,0.0007,0.977,0.771,0.174,0.004,0.003,0.013,0.3924,-6.125,2.384,0.0509,0.093,0.08,0.744,1
2016,2483.71,1193.69,16.5246,0.001,1.366,1.079,0.431,0.004,0.004,0.02,0.224,-8.963,1.619,0.0624,0.107,0.092,0.743,1
331,1926.5,1766.33,14.1995,0.0003,0.911,0.675,0.349,0.003,0.002,0.003,0.262,-6.847,1.049,0.0251,0.04,0.035,0.741,1
1598,2521.62,1967.42,16.2474,0.0014,1.031,0.893,0.295,0.004,0.005,0.007,0.4984,-7.353,2.241,0.0486,0.096,0.075,0.741,1
2556,2551.94,1096.74,17.0146,0.0009,1.227,0.959,0.558,0.003,0.004,0.033,0.305,-6.408,0.73,0.0718,0.127,0.111,0.734,1
2337,2216.35,1243.64,16.8625,0.0014,1.139,0.871,0.458,0.004,0.004,0.027,0.2899,-8.339,1.478,0.0699,0.123,0.103,0.732,1
67,2263.79,1550.82,12.3084,0.0002,1.377,1.27,0.947,0.003,0.003,0.004,0.3037,-6.255,1.618,0.0284,0.047,0.047,0.723,1
272,2326.46,1837.67,14.1007,0.0003,0.515,0.454,0.204,0.003,0.002,0.003,0.567,-6.48,0.875,0.0219,0.04,0.038,0.721,1
1360,1969.16,1787.03,15.8186,0.0005,1.496,1.119,0.702,0.004,0.003,0.009,0.2258,-7.11,1.043,0.0404,0.063,0.06,0.721,1
1046,2572.95,2068.3,15.7605,0.0006,0.877,0.73,0.14,0.003,0.002,0.004,0.515,-7.26,1.935,0.0365,0.064,0.062,0.719,1
4546,2431.54,1947.1,18.2294,0.0021,1.441,1.112,0.449,0.008,0.008,0.03,0.2435,-7.438,2.352,0.1604,0.325,0.229,0.718,1
1596,2184.63,2118.9,15.5394,0.0005,2.297,1.9,1.32,0.004,0.006,0.023,0.1464,-5.453,0.708,0.0475,0.073,0.071,0.717,1
2526,2764.44,2185.56,16.9083,0.0009,1.367,1.01,0.636,0.006,0.005,0.013,0.2407,-7.064,1.028,0.0698,0.12,0.109,0.709,1
2829,3103.13,1775.68,17.2517,0.0009,1.137,0.917,0.265,0.004,0.004,0.026,0.4197,-8.963,1.788,0.0838,0.14,0.14,0.709,1
1246,2780.74,1741.09,15.2088,0.0004,2.255,1.932,1.726,0.003,0.004,0.024,0.3459,-9.177,2.187,0.0573,0.101,0.099,0.706,1
1496,2630.42,1798.92,16.1932,0.0011,0.984,0.836,0.196,0.003,0.003,0.005,0.5908,-6.532,0.682,0.0429,0.073,0.069,0.699,1
2240,2832.61,1324.05,16.8362,0.0009,1.05,0.822,0.164,0.004,0.003,0.013,0.3668,-6.637,1.55,0.0636,0.143,0.103,0.699,1
2036,2091.8,1869.31,16.6304,0.0008,1.102,0.845,0.239,0.004,0.004,0.008,0.4347,-6.284,1.803,0.0605,0.102,0.088,0.698,1
2260,2775.29,1481.57,16.8364,0.0009,1.067,0.841,0.152,0.004,0.003,0.018,0.4737,-8.459,1.28,0.0654,0.12,0.101,0.697,1
717,2129.27,1670.09,14.7654,0.0003,1.811,1.571,1.25,0.003,0.003,0.008,0.2091,-7.774,1.007,0.0252,0.042,0.041,0.691,1
52,2843.95,1406.67,12.5629,0.0009,0.249,0.191,-0.14,0.004,0.002,0.003,0.1306,-5.569,0.804,0.0573,0.097,0.098,0.686,1
652,2523.65,1645.2,14.3548,0.0003,2.214,1.641,0.636,0.003,0.003,0.012,0.0565,-6.592,1.617,0.029,0.048,0.048,0.68,1
2291,2381.17,1680.56,16.887,0.0014,1.211,1.052,0.52,0.004,0.006,0.023,0.6007,-6.565,0.877,0.0673,0.125,0.11,0.68,1
970,2260.96,1819.48,15.5311,0.0005,1.152,0.958,0.418,0.003,0.003,0.005,0.2885,-11.429,0.84,0.033,0.054,0.052,0.679,1
2761,2831.09,2157.9,17.0226,0.0011,1.505,0.927,0.792,0.013,0.019,0.028,0.3731,-11.543,1.763,0.0722,0.127,0.119,0.678,1
3045,2613.42,1986.65,17.2772,0.001,1.377,1.167,0.373,0.008,0.016,0.021,0.2327,-8.631,2.03,0.0904,0.158,0.135,0.678,1
3300,2163.47,1664.04,17.5995,0.0011,1.141,1.102,0.804,0.007,0.007,0.022,0.2599,-7.488,2.97,0.0977,0.15,0.152,0.675,1
2871,3007.06,1880.83,17.2959,0.001,1.076,0.985,0.547,0.004,0.005,0.012,0.3891,-6.811,2.298,0.0788,0.142,0.144,0.674,1
1713,2641.51,1787.67,16.3601,0.0009,1.21,0.885,0.49,0.006,0.004,0.007,0.0721,-5.622,0.672,0.0507,0.095,0.079,0.673,1
2181,2511.73,1766.44,16.7964,0.0009,1.017,0.922,0.455,0.006,0.004,0.008,0.4991,-8.365,1.196,0.0654,0.12,0.1,0.671,1
4219,2198.5,1712.43,17.9621,0.0015,1.515,1.185,0.458,0.006,0.011,0.028,0.4819,-6.648,1.798,0.1235,0.213,0.21,0.67,1
2790,2554.23,2221.89,17.0387,0.0016,1.337,1.109,0.571,0.004,0.005,0.012,0.3605,-6.588,0.631,0.0728,0.124,0.12,0.667,1
3065,2494.27,1605.45,17.3197,0.0012,1.3,1.013,0.558,0.006,0.008,0.02,0.1424,-7.088,1.396,0.0888,0.161,0.147,0.667,1
2361,2829.51,1819.12,16.9314,0.0018,1.222,1.032,0.514,0.003,0.004,0.01,0.2847,-6.564,0.839,0.0663,0.128,0.111,0.665,1
1252,2852.1,1966.28,15.9215,0.0018,1.234,0.933,0.546,0.006,0.004,0.007,0.3815,-6.867,2.323,0.0792,0.128,0.125,0.663,1
3511,2454.39,1833.59,17.7596,0.0016,1.205,1.027,0.621,0.007,0.006,0.018,0.6687,-6.362,1.858,0.1185,0.192,0.177,0.662,1
1702,2481.26,2014.56,16.4342,0.0008,0.928,0.694,0.317,0.005,0.008,0.01,0.3066,-6.502,2.203,0.0553,0.101,0.082,0.659,1
651,2905.03,1638.45,15.0842,0.0004,0.914,0.758,0.111,0.002,0.002,0.008,0.5486,-6.396,0.702,0.0258,0.044,0.045,0.656,1
156,2275.13,1427.92,13.106,0.0007,1.388,1.345,1.274,0.003,0.003,0.006,0.4533,-5.127,1.971,0.0224,0.036,0.036,0.654,1
2699,2580.92,1940.23,17.0355,0.0012,1.445,1.133,0.498,0.007,0.005,0.012,0.1224,-7.802,1.034,0.0839,0.145,0.129,0.653,1
1593,2245.06,1698.07,16.34,0.0008,0.991,0.832,0.235,0.003,0.003,0.005,0.6891,-6.591,0.883,0.0511,0.108,0.08,0.652,1
1605,2567.31,1594.41,16.0558,0.0012,1.598,1.218,0.638,0.003,0.004,0.026,0.2843,-6.913,1.275,0.0884,0.139,0.143,0.645,1
2850,2685.05,1168.28,17.1906,0.001,1.292,0.986,0.465,0.004,0.004,0.031,0.2484,-6.982,1.322,0.0763,0.129,0.117,0.642,1
2595,3003.27,1462.9,17.0581,0.001,1.158,1.011,0.5,0.005,0.005,0.029,0.6048,-4.492,2.354,0.0737,0.122,0.138,0.639,1
3263,3000.9,1729.83,17.5653,0.0011,1.124,1.032,0.657,0.004,0.005,0.021,0.5432,-11.877,5.53,0.0886,0.15,0.159,0.635,1
2421,2010.19,1537.49,16.838,0.0011,1.316,1.022,0.458,0.004,0.004,0.027,0.3337,-6.94,1.353,0.0734,0.121,0.108,0.634,1
2079,2859.29,1769.74,16.5822,0.0008,1.295,0.991,0.555,0.004,0.004,0.009,0.2105,-5.693,0.701,0.0553,0.108,0.092,0.633,1
497,2920.44,1276.48,14.8667,0.0004,0.588,0.487,0.259,0.003,0.002,0.007,0.3261,-6.234,0.622,0.0258,0.044,0.045,0.621,1
1201,3007.93,1451.65,15.9448,0.0005,0.931,0.785,0.136,0.003,0.002,0.011,0.6994,-4.662,1.935,0.0408,0.069,0.078,0.619,1
2128,2689.96,1728.9,16.4356,0.0009,1.625,1.263,0.583,0.003,0.004,0.011,0.2663,-7.311,2.867,0.0509,0.096,0.08,0.619,1
3098,3043.84,1904.54,17.3525,0.0011,1.304,1.047,0.447,0.004,0.005,0.016,0.1713,-6.82,1.146,0.0962,0.163,0.158,0.619,1
2365,2184.8,1350.96,16.7281,0.0009,1.479,1.159,0.603,0.003,0.003,0.031,0.1581,-5.936,0.837,0.0726,0.142,0.104,0.615,1
2942,2373.31,1958.44,17.3554,0.0012,1.042,0.914,0.379,0.005,0.005,0.01,0.5853,-7.636,1.348,0.0883,0.143,0.13,0.615,1
553,3088.2,1733.06,14.8299,0.0004,1.112,1.01,0.575,0.002,0.002,0.005,0.4596,-13.319,2.53,0.0244,0.041,0.043,0.612,1
2980,2154.63,1665.26,17.3009,0.0013,1.557,1.169,0.584,0.013,0.009,0.018,0.0652,-7.4,2.769,0.0855,0.14,0.133,0.612,1
1501,2046.51,1453.43,16.2459,0.0012,1.021,0.868,0.308,0.004,0.003,0.014,0.4428,-12.122,5.255,0.0721,0.115,0.097,0.608,1
1567,2327.29,1158.68,16.2203,0.0007,1.187,0.909,0.482,0.003,0.002,0.016,0.2658,-8.09,0.918,0.0457,0.073,0.072,0.606,1
1161,2602.13,1492.62,15.8495,0.0005,1.033,0.765,0.397,0.003,0.003,0.01,0.2275,-5.883,1.039,0.0374,0.061,0.059,0.605,1
2609,2956.65,1726.63,17.137,0.0009,0.987,0.842,0.243,0.003,0.003,0.008,0.5292,-10.488,1.741,0.0731,0.126,0.172,0.603,1
1251,2456.72,1610.17,15.9906,0.0011,0.972,0.727,0.452,0.004,0.003,0.011,0.6847,-6.371,1.625,0.1068,0.177,0.177,0.598,1
2369,2864.78,1210.92,16.8941,0.0009,1.155,0.867,0.459,0.005,0.004,0.029,0.2791,-5.522,0.731,0.0657,0.126,0.103,0.595,1
453,2524.11,1614.95,14.7342,0.0004,0.603,0.497,0.308,0.003,0.002,0.005,0.3665,-8.246,1.187,0.0262,0.044,0.044,0.593,1
3735,2775.17,1668.91,17.8309,0.0014,1.231,1.076,0.695,0.005,0.006,0.023,0.1834,-10.844,2.504,0.1069,0.182,0.199,0.591,1
2302,2670.23,2112.64,16.9097,0.0009,0.958,0.809,0.19,0.004,0.004,0.007,0.3165,-10.563,2.809,0.0736,0.136,0.113,0.588,1
2837,2710.94,1689.39,17.0147,0.0009,1.587,1.227,0.751,0.004,0.006,0.015,0.2665,-5.42,0.804,0.0677,0.118,0.116,0.588,1
3776,2986.17,1984.39,17.7056,0.0012,1.546,1.161,0.708,0.006,0.007,0.031,0.3721,-6.614,0.596,0.1146,0.19,0.204,0.587,1
3728,2188.7,1590.57,17.7466,0.0012,1.391,1.11,0.49,0.006,0.007,0.017,0.4197,-6.679,0.621,0.1091,0.173,0.172,0.583,1
233,2752.22,2228.77,12.7942,0.0003,2.488,1.908,1.284,0.003,0.003,0.004,0.0744,-5.982,1.273,0.0405,0.072,0.066,0.581,1
3806,2859.05,1868.27,17.9096,0.0014,1.219,1.086,0.641,0.005,0.012,0.022,0.5724,-13.904,2.286,0.1184,0.201,0.188,0.573,1
68,2650.51,1221.28,12.3746,0.0003,1.257,1.214,1.015,0.004,0.002,0.006,0.5432,-9.568,0.984,0.0287,0.049,0.047,0.571,1
1290,2519.26,1736.18,16.027,0.0009,1.08,0.891,0.377,0.008,0.005,0.008,0.2892,-9.876,4.367,0.0521,0.085,0.08,0.569,1
3482,2236.77,1776.74,17.6679,0.0013,1.244,1.127,0.761,0.007,0.007,0.023,0.3182,-11.125,0.827,0.1066,0.176,0.166,0.569,1
2155,2458.41,1252.69,16.6563,0.001,1.309,1.001,0.523,0.004,0.006,0.023,0.1822,-5.683,1.49,0.0601,0.115,0.09,0.568,1
106,2196.35,1289.61,13.0247,0.0004,0.728,0.608,0.223,0.003,0.002,0.003,0.6944,-13.304,4.777,0.0229,0.035,0.036,0.566,1
2008,2923.51,1664.4,16.6787,0.0008,0.976,0.821,0.197,0.004,0.004,0.014,0.4606,-10.479,1.408,0.0606,0.11,0.098,0.565,1
2586,2802.08,1348.87,16.9665,0.0009,1.354,1.038,0.567,0.006,0.006,0.035,0.2121,-5.943,0.74,0.0721,0.123,0.11,0.564,1
129,2856.36,1904.48,12.9111,0.0003,1.379,1.389,1.324,0.003,0.003,0.004,0.3927,-9.012,0.115,0.0317,0.054,0.054,0.563,1
2801,2098.77,1338.09,17.1451,0.0011,1.36,1.085,0.503,0.007,0.007,0.028,0.202,-6.704,0.682,0.0904,0.134,0.136,0.561,1
3148,2473.81,2237.85,17.4165,0.0012,1.445,1.075,0.631,0.016,0.015,0.036,0.2538,-6.442,1.358,0.0963,0.16,0.142,0.554,1
1603,2923.26,1955.87,16.3424,0.0008,0.931,0.748,0.165,0.003,0.003,0.005,0.3977,-8.316,0.863,0.052,0.106,0.089,0.548,1
3271,2907.17,1953.59,17.5669,0.0011,1.091,0.936,0.375,0.005,0.006,0.012,0.3189,-4.934,2.212,0.0985,0.176,0.17,0.548,1
4281,2582.08,1587.92,18.2209,0.0015,1.163,1.006,0.396,0.009,0.01,0.03,0.4067,-7.551,1.082,0.1465,0.239,0.236,0.548,1
4057,2744.35,1942.87,17.8857,0.0014,1.523,1.194,0.577,0.008,0.009,0.035,0.4833,-6.825,0.788,0.1224,0.214,0.201,0.546,1
3879,2601.84,2278.49,17.8458,0.0014,1.388,1.074,0.333,0.005,0.007,0.023,0.4056,-6.775,2.641,0.1142,0.186,0.178,0.541,1
1858,2427.19,1637.29,16.4319,0.0015,1.287,0.978,0.634,0.003,0.004,0.021,0.1175,-5.964,2.041,0.1555,0.293,0.242,0.54,1
3331,2507.24,1781.85,17.4198,0.0012,1.486,1.117,0.679,0.009,0.009,0.023,0.1302,-5.839,1.048,0.0888,0.147,0.136,0.538,1
4434,2576.71,1974.85,18.1136,0.0019,1.519,1.228,0.497,0.005,0.01,0.029,0.1451,-6.324,1.159,0.1396,0.285,0.21,0.535,1
1932,2762.38,1839.06,16.3715,0.0008,1.472,1.119,0.656,0.003,0.004,0.01,0.1657,-6.52,0.619,0.0552,0.108,0.094,0.531,1
3431,2892.43,1801.05,17.6593,0.0015,1.154,0.995,0.625,0.006,0.007,0.022,0.7414,-6.296,1.547,0.108,0.189,0.167,0.531,1
2663,1970.89,1913.96,17.1086,0.0011,1.107,0.86,0.239,0.004,0.004,0.009,0.3367,-4.975,1.896,0.0808,0.118,0.108,0.53,1
2125,2748.8,1878.8,16.584,0.0009,1.409,1.08,0.647,0.006,0.005,0.011,0.0642,-7.179,1.02,0.0601,0.114,0.099,0.529,1
3453,2562.83,1665.44,17.6918,0.0018,1.236,1.006,0.499,0.008,0.006,0.02,0.2139,-5.937,1.175,0.1045,0.174,0.176,0.528,1
285,2756.83,1895.64,13.7249,0.0002,1.527,1.383,1.088,0.004,0.003,0.004,0.3165,-9.979,0.797,0.0182,0.031,0.032,0.518,1
3136,2111.4,1871.96,17.3161,0.0012,1.394,1.059,0.44,0.004,0.006,0.015,0.2674,-5.493,1.417,0.0824,0.128,0.127,0.507,1
3236,2477.75,1874.65,17.4436,0.0011,1.323,1.017,0.414,0.006,0.006,0.013,0.5147,-5.643,1.539,0.0862,0.139,0.134,0.498,1
2626,2441.13,1686.88,17.1526,0.0013,1.108,0.867,0.125,0.006,0.004,0.021,0.1902,-4.121,2.008,0.0908,0.146,0.139,0.494,1
3069,2960.65,1689.92,17.4507,0.0011,1.066,0.92,0.336,0.004,0.005,0.02,0.6532,-11.08,1.604,0.0875,0.148,0.198,0.494,1
43,2530.97,1142.19,11.8302,0.0002,1.275,1.186,0.837,0.009,0.002,0.006,0.684,-14.296,2.78,0.0279,0.045,0.047,0.492,1
1426,2398.53,1281.3,16.1726,0.0007,0.97,0.801,0.191,0.003,0.003,0.01,0.519,-13.427,1.914,0.0465,0.082,0.076,0.492,1
