ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
23,989.604,1054.37,13.5453,0.0009,0.532,0.437,0.15,0.005,0.005,0.005,0.697,-5.721,-1.121,0.0212,0.027,0.024,0.858,1
5,699.954,1032.71,11.0609,0.0009,2.399,1.717,1.999,0.006,0.003,0.013,0.4774,-4.187,-1.904,0.0522,0.067,0.054,0.818,1
258,1181.31,1006.63,16.565,0.0006,0.998,0.874,0.446,0.013,0.012,0.056,0.2764,-5.742,-0.09,0.0644,0.079,0.061,0.77,1
284,957.289,992.147,16.7775,0.0006,0.819,0.679,0.371,0.021,0.018,0.063,0.2624,-6.304,0.423,0.0697,0.089,0.068,0.77,1
134,627.591,893.687,15.5644,0.0004,1.174,1.044,0.708,0.011,0.012,0.049,0.324,-6.987,-2.524,0.0376,0.048,0.038,0.74,1
49,1162.02,1111.23,14.2227,0.0002,1.195,1.101,0.792,0.006,0.006,0.016,0.1449,-6.587,0.005,0.0221,0.028,0.025,0.731,1
144,929.715,1021.37,15.8201,0.0004,0.831,0.719,0.201,0.008,0.007,0.023,0.4514,-5.407,-0.062,0.0424,0.053,0.043,0.728,1
277,995.555,865.762,16.5753,0.0005,1.115,0.944,0.58,0.016,0.017,0.101,0.1324,-7.115,1.003,0.0599,0.074,0.062,0.726,1
168,669.281,1103.55,15.9851,0.0005,0.795,0.682,0.178,0.009,0.008,0.026,0.4102,-5.226,1.042,0.045,0.057,0.046,0.711,1
68,1110.71,1135.51,14.6007,0.0003,1.374,1.359,1.459,0.005,0.006,0.057,0.1797,-7.689,1.148,0.0246,0.031,0.026,0.682,1
10,1046.76,1316.73,13.0532,0.0003,0.36,0.304,0.26,0.006,0.006,0.004,0.684,-1.239,-1.799,0.0201,0.025,0.022,0.546,1
292,732.22,1213.81,16.9428,0.0008,0.728,0.617,0.064,0.027,0.023,0.041,0.3467,-5.542,1.654,0.0813,0.1,0.083,0.542,1
16,918.396,905.256,13.1477,0.0096,0.698,0.718,0.24,0.008,0.006,0.006,2.8078,-7.07,-14.603,0.0222,0.028,0.024,0.51,1
13,849.321,1142.23,12.9482,0.0003,1.203,1.134,0.957,0.005,0.005,0.008,0.346,-7.894,-0.813,0.0247,0.031,0.026,0.505,1
64,729.779,951.422,14.2543,0.0006,1.867,1.39,1.207,0.013,0.009,0.037,4.0671,-41.711,4.03,0.0247,0.031,0.025,0.423,1
54,596.979,958.846,14.428,0.0003,1.137,1.017,0.671,0.01,0.01,0.018,0.4716,-24.782,-2.488,0.0254,0.03,0.026,0.353,1
43,1024.38,1026.39,14.0349,0.0002,1.325,1.253,1.232,0.005,0.005,0.026,0.2017,-6.019,2.252,0.0233,0.029,0.024,0.344,1
98,1194.86,899.66,15.2684,0.0003,0.904,0.846,0.526,0.011,0.01,0.03,0.7953,4.718,-0.076,0.033,0.042,0.035,0.327,1
55,664.909,994.988,14.567,0.0002,0.903,0.808,0.346,0.005,0.004,0.01,1.6736,0.032,-2.999,0.0257,0.032,0.027,0.282,1
8,654.906,1176.15,12.7848,0.0002,0.615,0.527,0.062,0.004,0.004,0.004,1.317,-25.788,2.13,0.0276,0.035,0.031,0.267,1
44,1161.77,1050.38,14.2814,0.0002,0.831,0.714,0.206,0.005,0.004,0.008,0.8102,-21.611,7.793,0.023,0.03,0.025,0.245,1
77,918.346,1285.96,15.5742,0.0009,1.11,1.079,0.759,0.04,0.037,0.036,0.4281,-17.178,-1.615,0.0704,0.38,0.07,0.207,1
6,1160.02,955.636,12.1958,0.0001,1.067,1.04,0.866,0.006,0.004,0.006,1.0297,5.608,-3.681,0.0327,0.04,0.036,0.172,1
220,822.082,1189.98,16.1697,0.0005,1.276,1.12,1.043,0.01,0.012,0.111,1.2473,-27.098,-5.113,0.0481,0.059,0.049,0.127,1
311,597.954,845.519,16.8541,0.0006,0.899,0.728,0.195,0.016,0.016,0.047,0.1823,-6.108,-2.873,0.0711,0.089,0.069,0.757,0
335,1312.73,1151.01,16.9853,0.0007,0.93,0.831,0.307,0.016,0.016,0.072,0.2181,-3.711,-2.924,0.0728,0.093,0.074,0.655,0
147,897.878,818.299,15.8221,0.0004,0.761,0.601,0.107,0.012,0.009,0.022,0.3336,-7.661,0.378,0.043,0.054,0.045,0.601,0
