ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
281,1069.01,1007.15,16.1794,0.0007,0.537,0.415,0.26,0.01,0.007,0.027,0.1786,-5.484,2.933,0.0478,0.082,0.074,0.837,1
239,1238.59,1094.12,15.867,0.0007,0.821,0.661,0.118,0.009,0.008,0.026,0.1807,-5.349,3.673,0.0437,0.068,0.063,0.825,1
205,1238.81,1161.18,15.5967,0.0006,1.478,1.328,0.917,0.008,0.011,0.09,0.0621,-5.799,3.269,0.0363,0.057,0.055,0.763,1
400,1307.12,1145.71,16.5416,0.0007,0.798,0.657,0.108,0.013,0.011,0.038,0.1727,-4.782,3.821,0.0593,0.104,0.093,0.744,1
193,1372.95,1161.62,15.634,0.0006,0.787,0.645,0.057,0.009,0.007,0.018,0.2373,-6.157,2.779,0.0468,0.077,0.073,0.698,1
53,1215.32,1330.76,13.9517,0.0003,0.502,0.445,0.294,0.006,0.005,0.006,0.3616,-4.148,2.411,0.0188,0.032,0.031,0.49,1
43,1467.69,1015.45,12.9188,0.0004,1.894,1.688,2.044,0.005,0.005,0.043,0.2408,-3.184,2.145,0.029,0.047,0.045,0.414,1
48,1251.57,1230.0,13.6815,0.0003,0.855,0.742,0.098,0.005,0.004,0.006,1.7593,-8.165,6.885,0.0239,0.041,0.039,0.31,1
22,1277.87,1122.71,12.8974,0.0003,0.502,0.411,0.273,0.005,0.004,0.005,0.6659,-7.311,5.608,0.0237,0.04,0.038,0.24,1
38,1235.82,1003.41,13.0244,0.0004,1.124,1.03,0.593,0.005,0.004,0.007,0.8761,-14.921,12.746,0.0179,0.031,0.03,0.109,1
56,1162.36,1053.02,13.9212,0.0003,0.849,0.763,0.159,0.004,0.003,0.007,1.6482,4.359,-2.393,0.0204,0.034,0.038,0.109,1
17,985.64,1188.0,12.6772,0.0002,0.654,0.56,0.009,0.004,0.004,0.004,1.679,-11.757,-1.29,0.0285,0.049,0.047,0.103,1
2,1401.96,889.2,11.8933,0.0002,0.6,0.518,0.172,0.004,0.003,0.004,1.2347,-7.98,-3.63,0.0379,0.061,0.057,0.061,1
69,1057.06,1257.75,14.0549,0.0003,0.789,0.694,0.105,0.005,0.005,0.006,1.14,-17.76,11.065,0.0201,0.034,0.033,0.06,1
32,1352.67,938.339,12.8599,0.0003,1.291,1.269,1.147,0.005,0.006,0.012,0.4334,-5.896,7.963,0.0274,0.046,0.043,0.048,1
3,1308.78,1253.23,12.0771,0.0002,0.412,0.355,0.236,0.005,0.004,0.003,1.1969,-7.024,-0.781,0.0294,0.049,0.048,0.026,1
120,1354.8,903.064,14.8461,0.0007,1.002,0.924,0.541,0.008,0.008,0.021,1.3285,-12.63,7.443,0.0309,0.049,0.042,0.005,1
31,989.415,993.39,12.9385,0.0027,0.883,0.791,0.246,0.008,0.007,0.006,nan,nan,nan,nan,nan,nan,0.0,1
150,1352.82,770.242,15.2378,0.0006,0.734,0.594,0.122,0.01,0.008,0.019,0.1853,-4.971,2.983,0.0431,0.067,0.067,0.877,0
712,1079.09,872.293,17.3389,0.0013,0.782,0.657,0.088,0.031,0.021,0.106,0.1548,-4.935,3.606,0.0922,0.166,0.151,0.806,0
194,1417.99,1149.99,15.4465,0.0005,1.437,1.269,0.842,0.008,0.009,0.065,0.1369,-4.06,3.264,0.0334,0.054,0.049,0.736,0
164,1510.4,1061.72,15.4112,0.0006,0.591,0.515,0.298,0.007,0.006,0.016,0.1716,-6.551,2.487,0.036,0.061,0.063,0.735,0
426,1120.47,908.645,16.5987,0.0008,0.862,0.703,0.056,0.018,0.017,0.049,0.2082,-8.142,4.215,0.0588,0.112,0.106,0.634,0
755,1167.9,1223.29,17.4051,0.0013,0.8,0.686,-0.034,0.022,0.021,0.07,0.2471,-3.413,2.154,0.0958,0.164,0.141,0.552,0
152,1114.29,980.851,15.1365,0.0004,0.909,0.82,0.358,0.01,0.009,0.024,0.3741,-8.858,3.657,0.0282,0.046,0.047,0.523,0
215,1226.33,1026.91,15.745,0.0006,0.861,0.752,0.154,0.008,0.007,0.024,0.4176,-9.831,2.605,0.0394,0.065,0.058,0.492,0
257,1208.22,1147.55,15.9391,0.0006,0.882,0.717,0.047,0.01,0.009,0.024,0.406,-8.194,3.002,0.0479,0.076,0.077,0.392,0
435,1375.07,1100.21,16.6019,0.0008,0.963,0.86,0.466,0.012,0.013,0.079,0.4913,-6.995,4.665,0.0582,0.103,0.092,0.367,0
131,1121.32,1120.21,15.0786,0.0004,0.695,0.566,0.127,0.006,0.005,0.013,0.3525,-3.081,2.332,0.0297,0.047,0.044,0.316,0
238,1291.07,1086.41,15.8397,0.0006,0.887,0.761,0.072,0.01,0.009,0.025,0.5524,-3.709,3.718,0.0418,0.066,0.061,0.297,0
509,1451.31,900.697,16.8532,0.001,0.876,0.745,0.289,0.018,0.016,0.092,0.3267,-10.349,3.361,0.0797,0.138,0.119,0.287,0
302,1014.61,935.981,16.0826,0.0007,0.942,0.831,0.338,0.013,0.011,0.049,0.8243,-7.526,5.002,0.0432,0.075,0.067,0.138,0
1019,1276.59,1165.07,17.8294,0.0016,0.812,0.594,0.069,0.036,0.033,0.125,0.2742,5.1,-6.467,0.1297,0.209,0.186,0.117,0
191,1129.28,1053.47,15.5603,0.0005,0.91,0.794,0.206,0.009,0.007,0.02,0.7126,2.871,1.592,0.0356,0.056,0.053,0.108,0
340,1418.49,935.492,16.2493,0.0008,0.911,0.848,0.366,0.014,0.013,0.068,0.5089,-5.597,1.283,0.0623,0.103,0.094,0.081,0
237,1454.57,986.544,15.8079,0.0007,0.838,0.756,0.165,0.012,0.011,0.031,0.5045,-13.749,5.975,0.0441,0.077,0.073,0.074,0
52,1039.55,1040.29,13.8416,0.0003,0.843,0.745,0.135,0.004,0.003,0.006,1.1059,-17.636,14.544,0.0187,0.032,0.032,0.027,0
262,1087.08,801.921,15.9308,0.001,0.911,0.777,0.2,0.013,0.01,0.03,0.4742,-4.24,1.095,0.0478,0.078,0.068,0.019,0
64,1182.85,989.234,13.7239,0.0024,2.026,1.879,nan,0.009,0.011,nan,0.0065,0.151,1.591,0.0228,0.038,0.036,0.08,-1
176,1148.24,1314.54,15.4009,0.0005,1.277,1.242,nan,0.008,0.009,nan,0.2555,-9.198,2.387,0.0313,0.05,0.048,0.62,-1
185,1482.62,977.891,15.251,0.0006,1.893,1.79,nan,0.011,0.013,nan,-0.0483,-3.737,2.185,0.0335,0.057,0.056,0.75,-1
213,1200.38,917.946,15.5485,0.0005,1.462,1.386,nan,0.01,0.012,nan,0.1143,-3.861,1.872,0.0334,0.055,0.051,0.66,-1
287,1290.54,1308.64,15.9982,0.0011,1.412,1.235,nan,0.01,0.012,nan,0.3265,-4.244,3.214,0.0741,0.121,0.11,0.69,-1
372,1325.3,1145.22,16.3618,0.0008,1.24,1.091,nan,0.013,0.015,nan,0.7244,-6.691,4.997,0.0538,0.094,0.082,0.19,-1
389,1395.11,814.148,16.395,0.0008,1.42,1.264,nan,0.015,0.019,nan,0.0125,-3.515,2.076,0.0603,0.102,0.102,0.69,-1
441,1252.77,1001.37,16.6295,0.0007,1.043,0.897,nan,0.014,0.015,nan,0.7936,-15.946,15.072,0.059,0.106,0.093,0.0,-1
413,1197.47,951.932,16.468,0.0008,1.464,1.319,nan,0.014,0.021,nan,0.0973,-3.308,3.12,0.0599,0.107,0.095,0.46,-1
462,1478.56,894.727,16.6107,0.0008,1.169,0.99,nan,0.019,0.02,nan,0.3198,-4.546,-2.848,0.0735,0.121,0.096,0.1,-1
444,1361.84,950.313,16.5872,0.0012,1.496,1.336,nan,0.017,0.027,nan,-0.0668,-3.931,2.466,0.0706,0.121,0.108,0.84,-1
471,1228.18,907.065,16.6765,0.0009,1.366,1.236,nan,0.018,0.022,nan,-0.0355,-5.199,3.707,0.064,0.114,0.098,0.88,-1
513,1384.11,807.358,16.8125,0.0009,1.022,0.942,nan,0.019,0.021,nan,0.2428,-3.012,2.649,0.0759,0.132,0.135,0.35,-1
541,1085.98,1259.7,16.949,0.0009,0.838,0.71,nan,0.017,0.015,nan,0.3268,-8.657,3.606,0.0782,0.133,0.116,0.57,-1
490,1369.97,1061.31,16.7436,0.0008,1.42,1.26,nan,0.016,0.02,nan,0.1066,-4.605,2.257,0.0622,0.11,0.097,0.74,-1
555,1379.28,1186.8,16.9281,0.0009,1.221,1.065,nan,0.015,0.02,nan,0.1716,-3.843,1.82,0.0774,0.125,0.113,0.64,-1
567,1235.12,1099.32,16.9467,0.0012,1.155,0.975,nan,0.016,0.019,nan,0.3713,-4.978,3.231,0.0792,0.133,0.12,0.76,-1
497,1486.76,1232.29,16.839,0.0011,1.431,1.254,nan,0.016,0.022,nan,0.5722,-9.34,2.974,0.118,0.194,0.177,0.54,-1
633,1345.58,903.92,17.1575,0.0011,0.801,0.636,nan,0.023,0.02,nan,0.1341,-3.712,1.699,0.0901,0.163,0.127,0.62,-1
650,1125.22,1199.23,17.204,0.001,0.935,0.859,nan,0.019,0.019,nan,0.3364,-7.986,8.666,0.0854,0.156,0.159,0.2,-1
598,1040.16,1220.76,17.0077,0.0009,1.3,1.162,nan,0.019,0.024,nan,0.0079,-8.298,5.847,0.0749,0.14,0.127,0.56,-1
677,1166.48,1318.28,17.3091,0.0011,0.593,0.523,nan,0.028,0.023,nan,0.2017,-4.488,4.391,0.0817,0.15,0.133,0.46,-1
676,1482.72,1001.29,17.2394,0.0013,0.971,0.87,nan,0.019,0.018,nan,0.2452,-5.926,4.592,0.0888,0.165,0.161,0.57,-1
662,1525.14,954.032,17.1576,0.0012,1.008,0.828,nan,0.023,0.022,nan,0.3193,-6.299,2.416,0.0869,0.15,0.127,0.66,-1
691,1123.12,1237.52,17.2705,0.0012,0.938,0.804,nan,0.018,0.019,nan,0.2579,-4.008,4.519,0.0883,0.151,0.131,0.33,-1
703,1201.32,786.126,17.2804,0.0011,0.801,0.681,nan,0.026,0.023,nan,0.1773,-6.568,4.994,0.0895,0.161,0.146,0.55,-1
646,1268.91,1041.78,17.152,0.001,1.353,1.169,nan,0.019,0.027,nan,0.6842,-8.496,2.331,0.078,0.138,0.121,0.19,-1
778,1133.36,872.169,17.3859,0.0014,0.908,0.822,nan,0.028,0.03,nan,0.114,-4.915,3.069,0.1054,0.178,0.156,0.88,-1
680,1254.34,802.283,17.1924,0.0011,1.444,1.36,nan,0.022,0.032,nan,0.0839,-3.052,1.741,0.0846,0.15,0.139,0.31,-1
815,1152.81,837.866,17.4801,0.0012,0.94,0.662,nan,0.025,0.025,nan,0.1323,-6.99,3.256,0.1071,0.193,0.164,0.67,-1
807,1281.08,795.048,17.3877,0.0011,1.196,1.186,nan,0.028,0.033,nan,0.61,-6.302,0.649,0.0999,0.168,0.151,0.06,-1
830,1285.82,1060.92,17.4658,0.0013,1.102,0.943,nan,0.026,0.028,nan,0.1647,-6.242,4.389,0.0997,0.168,0.146,0.69,-1
740,1335.22,1065.4,17.3601,0.0012,1.431,1.232,nan,0.019,0.03,nan,0.0103,-3.402,1.308,0.0977,0.167,0.148,0.29,-1
