ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
216,923.046,1507.01,16.3261,0.0011,0.821,0.361,0.011,0.05,0.978,1
298,1253.7,1465.01,16.6974,0.0007,0.934,0.306,0.014,0.073,0.977,1
123,853.751,1233.74,15.3967,0.0006,0.619,0.472,0.006,0.018,0.975,1
80,1070.97,1455.09,14.8234,0.0004,0.503,0.359,0.006,0.01,0.974,1
243,867.228,1260.75,16.4898,0.0008,0.88,0.257,0.011,0.061,0.972,1
315,1133.73,1221.79,16.6666,0.0008,1.069,0.379,0.016,0.082,0.971,1
48,1087.81,1301.08,13.8716,0.0003,0.572,0.173,0.006,0.006,0.969,1
18,673.437,1151.02,12.8931,0.0004,0.483,-0.007,0.007,0.005,0.967,1
47,1171.71,1345.61,13.8024,0.0003,0.489,0.112,0.004,0.005,0.967,1
110,1055.21,1430.9,15.2527,0.0005,0.572,0.454,0.006,0.015,0.965,1
163,624.906,1197.88,15.8393,0.0007,0.757,0.423,0.008,0.036,0.965,1
263,1271.06,1452.41,16.5728,0.0007,0.939,0.234,0.013,0.057,0.964,1
17,1183.51,1263.14,12.9038,0.001,0.493,0.356,0.003,0.004,0.963,1
62,934.587,1227.5,14.275,0.0003,0.518,0.301,0.004,0.007,0.962,1
21,961.483,1219.37,12.9137,0.0003,0.413,-0.057,0.003,0.004,0.958,1
215,738.548,1404.08,16.3154,0.0007,0.832,0.368,0.009,0.047,0.958,1
238,949.788,1344.02,16.4416,0.0007,0.847,0.306,0.012,0.056,0.955,1
14,1010.47,1353.04,12.6337,0.001,0.343,-0.317,0.003,0.003,0.953,1
185,634.451,1215.97,16.0509,0.0007,0.788,0.418,0.01,0.04,0.953,1
44,1144.68,1256.33,13.7768,0.0004,0.51,-0.046,0.003,0.005,0.94,1
183,988.012,1304.54,16.0291,0.0008,0.784,0.448,0.01,0.035,0.94,1
40,1016.65,1283.99,13.6963,0.0002,0.452,-0.032,0.003,0.004,0.925,1
103,935.064,1124.59,15.1532,0.0005,0.547,0.41,0.006,0.014,0.916,1
100,1158.44,1097.58,15.0697,0.0004,0.604,0.404,0.007,0.013,0.914,1
160,1046.02,1467.75,15.8145,0.0006,0.767,0.464,0.009,0.034,0.913,1
170,1065.66,1096.58,15.8687,0.0007,0.872,0.371,0.008,0.037,0.907,1
214,1184.5,1194.15,16.2527,0.0007,0.959,0.437,0.012,0.056,0.905,1
207,860.143,1240.37,16.1564,0.001,0.871,0.232,0.011,0.039,0.897,1
195,978.774,1286.66,16.0473,0.0007,0.899,0.248,0.011,0.035,0.879,1
31,1154.92,1262.67,13.0391,0.0004,1.237,0.716,0.004,0.01,0.877,1
187,1106.2,1526.09,16.0712,0.0007,0.811,0.596,0.009,0.042,0.855,1
284,900.036,1307.05,16.6554,0.0008,0.978,0.309,0.014,0.076,0.841,1
107,780.08,1300.39,15.095,0.0004,0.78,0.21,0.005,0.014,0.779,1
24,823.927,1582.19,13.1405,0.0004,0.375,0.012,0.005,0.004,0.738,1
143,780.156,1590.68,15.5195,0.0006,0.857,0.183,0.008,0.022,0.707,1
273,661.278,1483.79,16.571,0.0007,1.008,0.271,0.014,0.074,0.704,1
290,849.98,1240.67,16.7365,0.0009,0.801,0.247,0.016,0.058,0.701,1
63,746.077,1599.43,14.2662,0.0003,0.528,-0.013,0.006,0.006,0.699,1
173,589.847,1191.79,15.9762,0.0006,0.701,0.087,0.008,0.025,0.682,1
29,1107.21,1042.4,13.4239,0.0003,0.368,0.059,0.005,0.005,0.652,1
46,925.486,1477.33,13.7519,0.0003,0.605,0.008,0.004,0.005,0.64,1
186,839.069,1359.68,16.0074,0.0007,0.898,0.269,0.009,0.036,0.624,1
338,847.171,1387.0,16.865,0.0009,0.983,0.013,0.018,0.07,0.61,1
11,876.463,1292.74,12.1376,0.0002,0.608,0.031,0.003,0.003,0.306,1
7,893.046,1478.63,11.8631,0.0003,0.291,0.123,0.004,0.004,0.0,1
85,821.309,1132.87,14.9119,0.0004,0.577,0.428,0.005,0.012,0.929,0
96,931.343,1471.29,15.0399,0.0007,0.602,0.409,0.006,0.012,0.866,0
130,1079.78,1178.89,15.4,0.0005,0.792,0.541,0.006,0.023,0.8,0
