ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
432,2416.91,1511.19,14.7882,0.0004,0.379,0.13,0.008,0.016,0.858,1
1385,2457.97,1230.23,16.1244,0.0006,0.8,0.493,0.002,0.013,0.852,1
535,3029.89,1380.57,15.0062,0.0004,0.525,0.164,0.004,0.008,0.833,1
764,2369.01,1262.58,15.366,0.0006,0.788,0.199,0.004,0.007,0.825,1
271,2553.11,1805.03,14.1084,0.0003,0.398,0.136,0.002,0.003,0.818,1
902,2792.25,1291.93,15.4806,0.0004,0.776,0.181,0.002,0.01,0.817,1
1064,2298.68,1695.32,15.8113,0.0005,0.658,0.111,0.002,0.006,0.815,1
1122,2355.42,1604.84,15.7932,0.0005,0.798,0.248,0.003,0.031,0.813,1
3060,2725.76,2119.82,17.4491,0.0012,0.949,0.439,0.005,0.01,0.807,1
1176,2548.53,1671.68,15.8593,0.0005,0.811,0.209,0.003,0.01,0.798,1
120,2181.03,1845.41,13.2154,0.0003,0.336,0.202,0.002,0.002,0.784,1
1802,2642.1,1907.68,16.2185,0.0007,1.179,0.641,0.006,0.011,0.779,1
1274,3054.32,1501.99,15.7639,0.0004,1.232,0.754,0.003,0.022,0.774,1
699,2318.08,1275.25,15.2242,0.0004,0.717,0.196,0.002,0.007,0.773,1
868,2626.92,2214.58,15.4963,0.0004,0.686,0.121,0.002,0.003,0.771,1
3842,2799.96,2216.11,17.8517,0.0014,1.066,0.558,0.012,0.027,0.766,1
182,2295.55,1450.57,13.5083,0.0002,0.641,0.268,0.002,0.004,0.761,1
1114,2676.34,1798.41,15.6632,0.0004,1.205,0.979,0.003,0.007,0.757,1
1001,2353.54,1786.0,15.6976,0.0006,0.765,0.231,0.003,0.005,0.753,1
795,2399.02,1246.36,15.3674,0.0005,0.772,0.468,0.002,0.008,0.747,1
1717,2672.58,1351.26,16.308,0.0007,0.964,0.585,0.003,0.018,0.744,1
1673,2638.45,1439.46,16.3946,0.0007,0.771,0.174,0.003,0.013,0.744,1
2016,2483.71,1193.69,16.5246,0.001,1.079,0.431,0.004,0.02,0.743,1
331,1926.5,1766.33,14.1995,0.0003,0.675,0.349,0.002,0.003,0.741,1
1598,2521.62,1967.42,16.2474,0.0014,0.893,0.295,0.005,0.007,0.741,1
2556,2551.94,1096.74,17.0146,0.0009,0.959,0.558,0.004,0.033,0.734,1
2337,2216.35,1243.64,16.8625,0.0014,0.871,0.458,0.004,0.027,0.732,1
67,2263.79,1550.82,12.3084,0.0002,1.27,0.947,0.003,0.004,0.723,1
272,2326.46,1837.67,14.1007,0.0003,0.454,0.204,0.002,0.003,0.721,1
1360,1969.16,1787.03,15.8186,0.0005,1.119,0.702,0.003,0.009,0.721,1
1046,2572.95,2068.3,15.7605,0.0006,0.73,0.14,0.002,0.004,0.719,1
2479,2311.91,1919.12,16.9689,0.0009,1.025,0.637,0.004,0.011,0.719,1
4546,2431.54,1947.1,18.2294,0.0021,1.112,0.449,0.008,0.03,0.718,1
1596,2184.63,2118.9,15.5394,0.0005,1.9,1.32,0.006,0.023,0.717,1
2526,2764.44,2185.56,16.9083,0.0009,1.01,0.636,0.005,0.013,0.709,1
2829,3103.13,1775.68,17.2517,0.0009,0.917,0.265,0.004,0.026,0.709,1
1496,2630.42,1798.92,16.1932,0.0011,0.836,0.196,0.003,0.005,0.699,1
2240,2832.61,1324.05,16.8362,0.0009,0.822,0.164,0.003,0.013,0.699,1
2036,2091.8,1869.31,16.6304,0.0008,0.845,0.239,0.004,0.008,0.698,1
2260,2775.29,1481.57,16.8364,0.0009,0.841,0.152,0.003,0.018,0.697,1
717,2129.27,1670.09,14.7654,0.0003,1.571,1.25,0.003,0.008,0.691,1
52,2843.95,1406.67,12.5629,0.0009,0.191,-0.14,0.002,0.003,0.686,1
652,2523.65,1645.2,14.3548,0.0003,1.641,0.636,0.003,0.012,0.68,1
2291,2381.17,1680.56,16.887,0.0014,1.052,0.52,0.006,0.023,0.68,1
970,2260.96,1819.48,15.5311,0.0005,0.958,0.418,0.003,0.005,0.679,1
2761,2831.09,2157.9,17.0226,0.0011,0.927,0.792,0.019,0.028,0.678,1
3045,2613.42,1986.65,17.2772,0.001,1.167,0.373,0.016,0.021,0.678,1
3300,2163.47,1664.04,17.5995,0.0011,1.102,0.804,0.007,0.022,0.675,1
