ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
160,1304.82,986.675,15.1759,0.0004,1.074,0.903,0.013,0.058,0.999,1
149,1176.42,1183.84,15.2425,0.0005,0.908,0.395,0.007,0.025,0.999,1
36,1064.6,1361.33,12.5472,0.0003,2.122,1.612,0.007,0.045,0.998,1
30,1420.68,1056.85,13.0308,0.0003,1.312,0.87,0.006,0.012,0.998,1
95,917.758,1055.86,14.8437,0.0003,0.66,0.529,0.005,0.017,0.998,1
123,1375.74,1600.46,14.9879,0.0004,0.934,0.556,0.008,0.023,0.998,1
143,1105.01,1387.01,15.1316,0.0004,0.99,0.615,0.007,0.031,0.998,1
135,1274.99,1289.8,15.1372,0.0004,0.85,0.367,0.007,0.023,0.998,1
141,1101.06,1101.77,15.1705,0.0004,0.887,0.379,0.006,0.025,0.998,1
168,981.329,1490.19,15.1993,0.0004,1.097,0.769,0.007,0.049,0.997,1
164,1158.42,1376.68,15.2509,0.0004,1.021,0.566,0.009,0.04,0.997,1
204,785.492,1377.92,15.636,0.0006,0.943,0.417,0.009,0.036,0.997,1
280,1140.03,1671.1,16.0864,0.0006,0.918,0.524,0.01,0.06,0.995,1
214,1020.1,1605.45,15.7158,0.0005,0.817,0.11,0.01,0.027,0.988,1
142,1225.46,1156.92,15.1392,0.0005,0.945,-0.038,0.006,0.015,0.984,1
236,802.245,1355.38,15.8032,0.0012,0.979,0.36,0.01,0.049,0.98,1
245,1199.46,947.162,15.9203,0.0007,0.852,0.325,0.014,0.052,0.979,1
87,1024.21,1635.98,14.4584,0.0003,1.327,0.881,0.007,0.035,0.972,1
257,765.748,1251.59,16.0218,0.0007,0.835,0.492,0.01,0.046,0.938,1
31,1114.67,931.095,13.326,0.0003,0.906,0.484,0.01,0.01,0.928,1
279,899.797,1345.45,16.0116,0.0007,1.032,0.392,0.011,0.062,0.913,1
324,784.245,1169.74,16.3806,0.0009,0.964,0.534,0.01,0.079,0.886,1
7,1029.44,1121.11,11.7387,0.0003,0.451,-0.05,0.004,0.004,0.871,1
8,1363.46,1427.43,11.1105,0.0005,1.829,1.557,0.005,0.008,0.848,1
274,704.909,1368.92,16.1163,0.0011,0.896,0.614,0.01,0.065,0.815,1
435,1175.63,1685.69,16.665,0.0007,1.055,0.254,0.017,0.094,0.76,1
187,994.631,1371.78,15.406,0.0005,1.075,0.466,0.008,0.044,0.998,0
