#ID  Gmag   (Bmag-Vmag)   (Umag-Bmag)   e_Gmag   e_(Bmag-Vmag)   e_(Umag-Bmag)   Mini
10      13.9630 0.2941  -0.0492 0.0003  0.0099  0.0124  3.0713  
11      14.8883 0.3297  0.1260  0.0004  0.0112  0.0169  2.3714  
12      15.5654 0.4471  0.3172  0.0005  0.0127  0.0231  1.9337  
23      16.0260 0.6862  0.2388  0.0006  0.0142  0.0297  2.8748  
14      15.8690 0.5257  0.3755  0.0005  0.0137  0.0272  1.7791  
15      14.5773 0.3194  0.0711  0.0003  0.0107  0.0150  2.6018  
26      12.6331 0.2678  -0.1154 0.0002  0.0090  0.0097  6.6020  
17      16.5913 0.6882  0.2873  0.0007  0.0168  0.0421  1.5051  
28      16.0291 0.6505  0.2614  0.0006  0.0142  0.0298  2.8184  
29      16.1711 0.7074  0.3118  0.0006  0.0148  0.0324  2.7308  
110     14.4864 0.3281  0.0696  0.0003  0.0105  0.0145  2.6706  
111     16.5668 0.6780  0.2777  0.0007  0.0167  0.0414  1.5129  
212     14.5141 0.3830  0.2186  0.0003  0.0106  0.0147  4.2067  
213     16.0272 0.7176  0.3042  0.0006  0.0142  0.0297  2.8748  
214     16.4404 0.7333  0.1854  0.0007  0.0160  0.0383  2.6067  
115     14.8623 0.3409  0.1401  0.0004  0.0111  0.0167  2.3908  
116     16.5680 0.7064  0.3483  0.0007  0.0167  0.0414  1.5129  
117     13.5290 0.2781  -0.1115 0.0002  0.0095  0.0112  3.3922  
218     14.9004 0.4610  0.3232  0.0004  0.0112  0.0170  3.7719  
119     15.6987 0.4694  0.3262  0.0005  0.0131  0.0248  1.8627  
120     15.9922 0.5372  0.3301  0.0005  0.0141  0.0292  1.7245  
221     13.8579 0.3307  0.0683  0.0003  0.0098  0.0121  5.0752  
222     14.5457 0.3739  0.1912  0.0003  0.0106  0.0148  4.1597  
123     16.6152 0.6834  0.2593  0.0007  0.0169  0.0428  1.4972  
224     15.3948 0.5280  0.2955  0.0004  0.0123  0.0212  3.2800  
225     15.0899 0.4857  0.3076  0.0004  0.0116  0.0184  3.5734  
