ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
272,1249.97,1419.89,15.4656,0.0004,1.052,0.918,0.011,0.011,0.999,1
154,1810.07,1253.86,14.8555,0.0003,1.018,0.816,0.008,0.007,0.994,1
396,1764.59,1175.95,15.9354,0.0006,1.084,0.843,0.009,0.009,0.993,1
512,784.945,1533.06,16.2547,0.0006,1.055,0.797,0.012,0.013,0.992,1
222,1153.37,1225.35,15.0208,0.0003,1.541,1.37,0.006,0.008,0.99,1
505,1787.39,1813.01,16.2227,0.0006,1.138,0.898,0.018,0.015,0.99,1
252,1086.04,1265.25,15.4399,0.0004,0.894,0.684,0.009,0.009,0.988,1
361,1802.17,1424.69,15.7957,0.0004,1.127,0.959,0.011,0.01,0.988,1
1094,956.651,1194.1,17.1386,0.0008,1.453,1.318,0.017,0.025,0.98,1
1557,1749.71,1733.36,17.6426,0.0012,1.407,1.225,0.023,0.035,0.98,1
1886,1494.37,1153.06,18.0724,0.0015,1.126,0.804,0.035,0.037,0.98,1
2061,875.916,1348.77,18.2546,0.0016,1.095,0.894,0.039,0.041,0.98,1
223,921.294,1749.77,15.273,0.0012,1.068,0.913,0.019,0.016,0.979,1
309,1146.37,1634.88,15.1545,0.0005,1.9,1.721,0.014,0.013,0.97,1
2032,1328.48,1715.35,18.1388,0.0019,1.238,1.03,0.037,0.047,0.97,1
2231,1485.79,1812.04,18.3477,0.0018,1.188,0.967,0.039,0.045,0.97,1
119,1081.06,1548.08,14.6363,0.0003,0.838,0.67,0.01,0.009,0.966,1
360,1324.4,1533.17,15.8818,0.0005,0.865,0.687,0.012,0.01,0.964,1
370,1632.6,1787.65,15.9906,0.0006,0.589,0.444,0.015,0.012,0.961,1
1590,1056.87,1140.49,17.816,0.0012,1.226,0.995,0.029,0.031,0.96,1
1924,1426.67,1850.05,18.1189,0.0017,1.085,0.847,0.038,0.036,0.96,1
31,1407.87,1276.52,12.8396,0.0002,1.386,1.184,0.006,0.005,0.956,1
112,1055.57,1885.83,14.5451,0.0004,0.942,0.752,0.017,0.015,0.955,1
1617,1178.34,1320.05,17.8736,0.0012,1.215,1.056,0.041,0.034,0.95,1
427,1248.6,998.355,16.1778,0.0005,0.718,0.584,0.011,0.009,0.941,1
127,1421.08,1524.22,14.3122,0.0003,1.618,1.521,0.009,0.008,0.94,1
197,1464.95,1571.29,14.8915,0.0003,1.542,1.417,0.01,0.009,0.94,1
278,1195.51,1454.13,15.3663,0.0004,1.378,1.175,0.01,0.009,0.94,1
