#NAME,z_MAP,std,a_MAP,std,a_Gyr,e_Gyr,E_MAP,std,d_MAP,std,d_kpc,e_d,M_MAP,std,,,
bh73_match,0.019,0.004,8.893,0.04939,0.78,0.09,1.06,0.04,13.498,0.26366,5.01,0.61,2602,945,,,
rup85_match,0.027,0.004,8.444,0.1325,0.28,0.08,1.07,0.04,13.556,0.14048,5.14,0.33,3454,520,,,
bh85_match,0.014,0.002,9.872,0.04731,7.45,0.81,0.30,0.03,13.317,0.12085,4.61,0.26,2228,489,,,
bh87_match,0.021,0.003,8.307,0.1272,0.20,0.06,0.56,0.02,11.437,0.06779,1.94,0.06,1114,126,,,
trumpler12_match,0.009,0.002,8.822,0.06345,0.66,0.10,0.31,0.03,12.721,0.08997,3.50,0.15,692,94,,,
bh92_match,0.009,0.004,7.276,0.328,0.02,0.01,0.65,0.03,12.066,0.092136,2.59,0.11,441,84,,,
trumpler13_match,0.007,0.004,8.044,0.07,0.11,0.02,0.56,0.02,13.411,0.15,4.81,0.33,769,248,?,4th,run
bh106_match,0.012,0.003,9.482,0.1158,3.03,0.81,0.30,0.04,13.437,0.36267,4.87,0.81,535,211,,,
rup162_match,0.009,0.002,8.924,0.09457,0.84,0.18,0.54,0.03,13.23,0.10038,4.43,0.20,1213,209,,,
ngc4349_match,0.027,0.004,8.708,0.08994,0.51,0.11,0.31,0.03,11.708,0.090487,2.20,0.09,1018,146,,,
,0.0154,,,,,,,,,,,,,,,,
,0.007,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
bh91_match,0.009,0.002,8.916,0.271,,,0.20,0.05,11.03,0.17141,,,200.76,82.795,,,
ngc4230_match,0.008,0.006,9.904,0.2472,,,0.12,0.05,13.167,0.58768,,,183.05,366.01,,,
rup88_match,0.017,0.006,9.741,0.2512,,,0.15,0.06,13.704,0.52557,,,323.98,447.43,,,
loden565_match,0.021,0.005,7.019,0.1773,,,0.85,0.05,13.247,0.251,,,333.62,65.804,,,
rup87_match,0.015,0.005,9.7,0.1975,,,0.09,0.05,11.636,0.88644,,,113.07,183.08,,,
lynga15_match,0.027,0.007,9.787,0.08321,,,0.17,0.05,11.741,0.15512,,,433.52,136.34,,,
