ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
1124,1193.9,1378.91,18.3372,0.0017,1.531,1.254,0.043,0.06,0.85,1
1156,1492.24,816.595,18.4197,0.0019,1.441,1.345,0.047,0.076,0.79,1
881,1477.71,1357.74,17.861,0.0015,1.551,1.166,0.033,0.044,0.77,1
1197,1525.53,1155.99,18.4979,0.002,1.569,1.27,0.05,0.07,0.77,1
1089,1552.31,1006.87,18.3731,0.0019,1.331,0.957,0.039,0.049,0.76,1
894,1298.73,855.8,17.6788,0.0013,1.797,1.537,0.036,0.056,0.75,1
1074,1493.91,1105.54,18.2692,0.0018,1.463,1.139,0.039,0.054,0.75,1
307,1442.46,997.504,16.5243,0.0018,1.177,0.885,0.012,0.013,0.745,1
785,1669.98,1372.4,17.8306,0.0014,1.205,0.942,0.032,0.033,0.74,1
1169,1116.24,1141.07,18.3738,0.0018,1.713,1.34,0.047,0.072,0.74,1
1229,1096.33,1260.42,18.4339,0.0022,1.821,1.291,0.055,0.094,0.74,1
933,1063.39,1289.46,17.7362,0.0013,1.967,1.576,0.033,0.064,0.73,1
1208,1252.04,987.044,18.3654,0.0018,1.706,1.381,0.053,0.085,0.71,1
818,1594.17,1196.08,17.6523,0.0015,1.633,1.229,0.024,0.033,0.7,1
330,1369.8,1265.9,16.4089,0.0007,1.494,1.209,0.012,0.015,0.69,1
81,1541.56,1226.38,14.3668,0.0003,1.76,1.588,0.006,0.006,0.686,1
54,1267.24,1277.63,13.8118,0.0002,1.661,1.498,0.007,0.006,0.681,1
342,1520.04,1220.18,16.3323,0.0008,1.735,1.591,0.013,0.017,0.68,1
523,1489.44,825.184,17.238,0.001,1.195,1.053,0.022,0.023,0.68,1
562,1312.72,769.726,17.2956,0.0011,1.223,1.01,0.024,0.029,0.68,1
835,1282.92,838.384,17.6527,0.0013,1.651,1.274,0.031,0.039,0.68,1
738,1781.01,1106.08,18.2453,0.0016,0.761,1.732,0.071,0.085,0.68,1
249,1044.77,1156.72,16.0653,0.0006,1.355,1.081,0.009,0.01,0.673,1
373,1336.36,1305.97,16.8089,0.0008,1.16,0.911,0.012,0.015,0.672,1
125,1500.24,1431.56,15.3083,0.0004,0.769,0.588,0.01,0.009,0.671,1
466,1159.21,843.361,16.1384,0.0006,2.608,2.346,0.019,0.056,0.67,1
525,1403.48,953.003,17.2359,0.001,1.216,0.987,0.025,0.026,0.67,1
905,1726.15,1246.27,17.8946,0.0014,1.682,1.44,0.032,0.05,0.67,1
65,1430.7,892.85,14.492,0.0003,0.609,0.484,0.013,0.011,0.666,1
7,1127.1,1091.13,11.1284,0.0011,1.741,1.663,0.006,0.005,0.663,1
150,1315.15,795.998,15.5529,0.0005,1.003,0.805,0.016,0.016,0.663,1
194,1322.69,1371.74,15.8538,0.0006,1.032,0.806,0.009,0.01,0.662,1
344,1078.75,1195.44,16.6409,0.0006,1.159,0.933,0.013,0.015,0.66,1
506,1282.42,1221.98,17.1766,0.0011,1.139,0.891,0.02,0.019,0.66,1
531,1170.38,1241.15,17.2687,0.0009,1.215,0.964,0.019,0.023,0.66,1
750,1257.2,1121.63,17.3243,0.0012,1.972,1.747,0.023,0.038,0.66,1
62,1677.71,1299.07,14.0287,0.0003,1.583,1.44,0.007,0.007,0.659,1
131,1751.04,1166.88,15.3411,0.0003,0.842,0.642,0.007,0.008,0.652,1
315,1542.79,1103.85,15.5092,0.0005,2.719,2.408,0.011,0.03,0.65,1
847,1380.17,1195.85,17.7412,0.0015,1.657,1.385,0.033,0.049,0.65,1
69,1315.71,1517.61,14.5237,0.0002,0.908,0.729,0.01,0.01,0.648,1
591,1479.41,1207.45,17.34,0.0011,1.293,0.966,0.022,0.025,0.64,1
37,1379.19,1114.29,13.2501,0.0003,1.812,1.696,0.006,0.006,0.639,1
67,1483.61,1319.53,14.4584,0.0003,0.94,0.711,0.008,0.007,0.638,1
345,1450.83,914.121,16.6381,0.0007,1.13,0.935,0.02,0.019,0.636,1
