ID,MP,sel
44,1.0,1
39,1.0,1
56,1.0,1
81,1.0,1
98,1.0,1
133,1.0,1
132,1.0,1
237,1.0,1
234,1.0,1
251,1.0,1
256,1.0,1
282,1.0,1
297,1.0,1
310,1.0,1
293,1.0,1
338,1.0,1
375,1.0,1
394,1.0,1
397,1.0,1
361,1.0,1
404,1.0,1
388,1.0,1
400,1.0,1
416,1.0,1
419,1.0,1
450,1.0,1
478,1.0,1
516,1.0,1
525,1.0,1
529,1.0,1
538,1.0,1
673,1.0,1
650,1.0,1
669,1.0,1
707,1.0,1
700,1.0,1
1041,1.0,1
160,0.999,1
149,0.999,1
36,0.998,1
30,0.998,1
123,0.998,1
143,0.998,1
141,0.998,1
187,0.998,1
168,0.997,1
164,0.997,1
204,0.997,1
136,0.995,1
280,0.995,1
302,0.99,1
380,0.99,1
437,0.99,1
480,0.99,1
413,0.99,1
463,0.99,1
508,0.99,1
505,0.99,1
527,0.99,1
581,0.99,1
518,0.99,1
566,0.99,1
561,0.99,1
664,0.99,1
730,0.99,1
719,0.99,1
693,0.99,1
788,0.99,1
767,0.99,1
772,0.99,1
746,0.99,1
819,0.99,1
801,0.99,1
758,0.99,1
776,0.99,1
837,0.99,1
883,0.99,1
892,0.99,1
1003,0.99,1
871,0.99,1
1039,0.99,1
1108,0.99,1
1164,0.99,1
1185,0.99,1
214,0.988,1
142,0.984,1
236,0.98,1
445,0.98,1
485,0.98,1
540,0.98,1
649,0.98,1
721,0.98,1
829,0.98,1
869,0.98,1
880,0.98,1
900,0.98,1
933,0.98,1
989,0.98,1
576,0.98,1
1022,0.98,1
1043,0.98,1
1073,0.98,1
1138,0.98,1
1153,0.98,1
150,0.979,1
249,0.97,1
306,0.97,1
471,0.97,1
512,0.97,1
439,0.97,1
787,0.97,1
877,0.97,1
910,0.97,1
1012,0.97,1
953,0.97,1
977,0.97,1
968,0.97,1
1112,0.97,1
1066,0.97,1
1060,0.97,1
1139,0.97,1
1180,0.97,1
1174,0.97,1
243,0.965,1
500,0.96,1
692,0.96,1
738,0.96,1
798,0.96,1
932,0.96,1
916,0.96,1
1010,0.96,1
1021,0.96,1
1015,0.96,1
1188,0.96,1
384,0.95,1
504,0.95,1
555,0.95,1
617,0.95,1
604,0.95,1
903,0.95,1
1002,0.95,1
1189,0.95,1
408,0.94,1
656,0.94,1
720,0.94,1
843,0.94,1
855,0.94,1
854,0.94,1
1065,0.94,1
1114,0.94,1
849,0.94,1
1050,0.93,1
1100,0.93,1
1093,0.93,1
1144,0.93,1
1051,0.92,1
1037,0.92,1
1061,0.92,1
1098,0.92,1
422,0.91,1
901,0.91,1
984,0.91,1
499,0.91,1
1151,0.91,1
1149,0.91,1
1178,0.91,1
691,0.9,1
438,0.9,1
475,0.9,1
752,0.9,1
897,0.9,1
1121,0.9,1
905,0.89,1
1042,0.89,1
324,0.886,1
1115,0.88,1
1199,0.88,1
973,0.87,1
1068,0.87,1
769,0.86,1
1156,0.86,1
862,0.85,1
112,0.835,1
777,0.82,1
1106,0.74,1
1020,0.7,1
82,0.48,1
95,0.998,0
135,0.998,0
125,0.99,0
154,0.983,0
340,0.98,0
817,0.98,0
245,0.979,0
87,0.972,0
574,0.95,0
257,0.938,0
31,0.928,0
279,0.913,0
677,0.91,0
217,0.908,0
326,0.9,0
284,0.895,0
747,0.89,0
240,0.888,0
46,0.884,0
175,0.88,0
575,0.88,0
20,0.874,0
7,0.871,0
629,0.87,0
492,0.87,0
605,0.87,0
600,0.87,0
317,0.86,0
479,0.86,0
577,0.86,0
770,0.86,0
1172,0.86,0
320,0.858,0
424,0.85,0
530,0.85,0
830,0.85,0
8,0.848,0
51,0.847,0
246,0.847,0
447,0.84,0
761,0.84,0
1035,0.84,0
301,0.838,0
859,0.83,0
176,0.829,0
277,0.82,0
507,0.82,0
625,0.82,0
1127,0.82,0
78,0.816,0
274,0.815,0
759,0.81,0
888,0.81,0
145,0.802,0
182,0.8,0
415,0.8,0
305,0.8,0
645,0.8,0
715,0.8,0
804,0.8,0
1059,0.8,0
733,0.79,0
1135,0.78,0
678,0.77,0
763,0.77,0
836,0.77,0
845,0.77,0
1007,0.77,0
1048,0.77,0
421,0.76,0
435,0.76,0
711,0.76,0
927,0.75,0
826,0.74,0
860,0.74,0
655,0.72,0
1173,0.72,0
1182,0.72,0
809,0.69,0
879,0.68,0
884,0.68,0
666,0.67,0
630,0.67,0
694,0.67,0
726,0.67,0
982,0.67,0
423,0.661,0
107,0.652,0
894,0.65,0
1163,0.65,0
1141,0.65,0
1131,0.63,0
1154,0.63,0
495,0.62,0
159,0.595,0
226,0.592,0
1122,0.59,0
199,0.58,0
543,0.57,0
679,0.57,0
296,0.56,0
622,0.56,0
1052,0.56,0
1089,0.56,0
668,0.55,0
934,0.54,0
995,0.52,0
1058,0.5,0
389,0.48,0
1025,0.48,0
998,0.47,0
786,0.46,0
195,0.356,0
1177,0.3,0
598,0.22,0
731,0.0,0
739,0.0,0
