_r _x _y _p Source RA_ICRS DE_ICRS rest b_rest B_rest rlen ResFlag ModFlag
0.105940 0.068747 -0.080605 139.5 5358594132717555968 153.99115351237 -50.82610652789 3586.432139200529946 2156.723057619929932 5826.972056559809971 1174.847185163650 1 1
0.112376 0.076821 -0.082018 136.9 5358594132717793152 154.00393907463 -50.82750737211 2153.420152436300214 1223.343014866969952 4119.716805633630429 1174.860228324950 1 1
0.110316 0.074308 -0.081536 137.7 5358594132733849472 153.99995907154 -50.82702892755 1889.872021732679968 1728.730009978469980 2083.164064961390068 1174.857335448460 1 1
0.081240 0.006727 -0.080961 175.3 5358594678179213696 153.89297004011 -50.82651297226 3000.763812711640185 1780.997535176850079 5103.923883654990277 1174.439725251490 1 1
0.080676 0.004959 -0.080524 176.5 5358594682475273856 153.89017081870 -50.82607610685 1836.277518369129893 693.241619161775020 3958.668711601349969 1174.440519535900 1 1
0.079612 0.004362 -0.079493 176.9 5358594682490048256 153.88922665723 -50.82504507157 2114.998063364660084 838.014940334667017 4263.273170454340288 1174.465193226210 1 1
0.086037 0.038215 -0.077084 153.6 5358594819911485568 153.94281386309 -50.82262070138 3145.229513714639779 1798.803144209169886 5332.425886086130049 1174.748131307140 1 1
0.086772 0.036540 -0.078704 155.1 5358594819913561600 153.94016464594 -50.82424166713 2168.359117683909972 933.756770484367053 4332.306047604340165 1174.692703412720 1 1
0.092912 0.042666 -0.082536 152.7 5358594819928603776 153.94986803078 -50.82806874238 3145.616643490429851 1747.623634211709941 5372.508229758310335 1174.626180086280 1 1
0.085132 0.037801 -0.076279 153.6 5358594819929004544 153.94215741554 -50.82181630541 2463.820749387190062 1137.768031101390079 4659.552966868080148 1174.767677377070 1 1
0.097980 0.053615 -0.082009 146.8 5358594849977897344 153.96720139490 -50.82753072050 4184.139745181800208 2917.907349529789826 6207.448861376829882 1174.711046493250 1 1
