_r _x _y _p Source RA_ICRS DE_ICRS rest b_rest B_rest rlen ResFlag ModFlag
0.104242 0.065141 -0.081382 141.3 5406937386952956288 150.57204791706 -49.67771610989 2596.694317226850217 1526.320482229039953 4633.870382811450327 1180.700099957500 1 1
0.109468 0.074411 -0.080288 137.2 5406937386952961408 150.58637064094 -49.67660909136 1873.588061287319988 1071.350609227369887 3764.714029828250204 1180.852095108120 1 1
0.105595 0.071031 -0.078134 137.7 5406937386952970496 150.58114266243 -49.67445984874 2389.189886980129813 1623.138139133310005 3920.888250760970095 1180.834092764350 1 1
0.098147 0.067097 -0.071631 136.9 5406937386953035520 150.57504913659 -49.66796211271 1257.372460571439888 1141.054712746439918 1399.420854515979954 1180.871235283240 1 1
0.105159 0.069441 -0.078972 138.7 5406937386954658048 150.57868682889 -49.67529965569 653.898952596294976 564.331443721421010 776.609340648083958 1180.798492541350 1 1
0.101432 0.069239 -0.074125 137.0 5406937391255770880 150.57836398221 -49.67045362832 2165.984048170570077 1321.944924196970078 3992.355304444819922 1180.866361714100 1 1
0.102385 0.070009 -0.074709 136.9 5406937391255771520 150.57955602927 -49.67103642831 1997.424983045579893 1465.753419847610076 3006.585378944840159 1180.869163158550 1 1
0.103184 0.067995 -0.077611 138.8 5406937391257183488 150.57645007612 -49.67394153785 2611.458803226340024 1286.148447558769931 4811.082115078959760 1180.797151651230 1 1
0.110347 0.074167 -0.081705 137.8 5406937391257187712 150.58599729017 -49.67802589707 2955.814993393029908 1577.366576735299986 5180.101869965529659 1180.827750705450 1 1
0.101057 0.065411 -0.077032 139.7 5406937391264064000 150.57245510962 -49.67336547157 2897.331911386269894 2346.064221358450141 3738.807879852080077 1180.767621258080 1 1
0.107017 0.070338 -0.080655 138.9 5406937391264064256 150.58007675603 -49.67698163888 1612.807593283059987 1543.034784999930025 1689.051171751659922 1180.787015845140 1 1
0.101380 0.068970 -0.074304 137.1 5406937391264066944 150.57794928967 -49.67063234658 2451.799188330719971 1215.021500537550082 4603.794661474419627 1180.859807044130 1 1
0.095937 0.050735 -0.081424 148.1 5406937421312692992 150.54978490808 -49.67777481971 3592.425656008810165 2181.087736200469863 5821.857032339319630 1180.487384626800 1 1
0.091885 0.048699 -0.077918 148.0 5406937421312709632 150.54663370123 -49.67427096317 2200.771191873539919 1277.869376086520106 4140.206412513410214 1180.508270141680 1 1
0.092903 0.050932 -0.077698 146.8 5406937421312710784 150.55008349129 -49.67404863006 1434.532967957140045 892.402294635989961 2924.431069460059916 1180.544468258690 1 1
0.094420 0.054887 -0.076829 144.5 5406937421312715904 150.55619316862 -49.67317533119 2637.090335734600103 1867.784364816410061 4075.390243947680119 1180.615509356180 1 1
0.091639 0.044487 -0.080117 151.0 5406937425615479040 150.54012723945 -49.67647385454 3700.371390091600006 2268.454297329049950 5944.029672956309696 1180.414049202130 1 1
0.090586 0.044545 -0.078877 150.5 5406937425615483520 150.54021498063 -49.67523425409 5141.035424627450084 3680.787633105609984 7348.909420510050040 1180.432887320340 1 1
0.097308 0.054029 -0.080930 146.3 5406937425615488000 150.55487471357 -49.67727790419 2708.623603350410121 1534.287898097109974 4805.771068164580356 1180.543158801080 1 1
0.093399 0.051791 -0.077725 146.3 5406937425615490304 150.55140998244 -49.67407479894 2116.776331774100072 1098.983923449429994 4182.805758658710147 1180.556756883260 1 1
0.094393 0.053927 -0.077472 145.2 5406937425615492736 150.55471048772 -49.67382015645 3918.417799592849860 2492.949275972519899 6146.056713352940278 1180.591971168440 1 1
0.088626 0.050583 -0.072774 145.2 5406937425615494912 150.54953576562 -49.66912513561 1258.101809249769985 659.336600401951955 3248.059737750979821 1180.610772310510 1 1
0.091327 0.046912 -0.078358 149.1 5406937425615678336 150.54387240427 -49.67471271140 2472.822121119409985 1241.157295373689976 4618.981448701990303 1180.475449751070 1 1
0.088719 0.046851 -0.075340 148.1 5406937425616241280 150.54377272526 -49.67169526358 1136.743920588010042 522.469405629898006 3315.866136423149783 1180.518304180370 1 1
0.089254 0.048867 -0.074688 146.8 5406937425616318592 150.54688802825 -49.67104127700 2907.776480697199986 1591.168140663980012 5088.924270200100182 1180.557616119330 1 1
0.090747 0.045102 -0.078745 150.2 5406937425623797120 150.54107517981 -49.67510214986 996.798135419667005 708.088561547212976 1649.282148776909935 1180.443036269790 1 1
0.086960 0.049119 -0.071759 145.6 5406937425623801088 150.54727247573 -49.66811206605 5941.573744890470152 5098.569049820280270 7065.178249173370205 1180.603799909200 1 1
0.096852 0.061983 -0.074420 140.2 5406937455672464512 150.56715399708 -49.67075842766 1854.644739730139918 1047.285168779450032 3770.561652260249957 1180.755242277210 1 1
0.100133 0.059203 -0.080757 143.8 5406937455672471808 150.56287067534 -49.67709837485 2698.362388835620095 1897.950862156149924 4195.532797638589727 1180.621920245250 1 1
0.094387 0.058785 -0.073845 141.5 5406937455672471936 150.56221165940 -49.67018738881 2800.687253986020096 2016.379577490670044 4225.413903112889784 1180.716448605860 1 1
0.097040 0.060151 -0.076149 141.7 5406937455672472064 150.56432668923 -49.67248920475 1907.736642880040108 1004.338840196299998 3942.144616333760041 1180.703060258540 1 1
0.089239 0.056925 -0.068725 140.4 5406937455672498048 150.55932733219 -49.66506930559 2065.476701186560149 1595.847128183469977 2869.459337490280177 1180.763351022390 1 1
0.085424 0.056546 -0.064029 138.6 5406937455672524928 150.55873427474 -49.66037400006 3046.074883601680085 2263.566339250900000 4394.964012605039898 1180.825820050970 1 1
0.080806 0.053701 -0.060381 138.4 5406937455672540032 150.55433185416 -49.65672889275 2911.495371646919921 1953.272373525340072 4683.700401899050121 1180.836377556740 1 1
0.082040 0.056190 -0.059777 136.8 5406937455672544384 150.55817556561 -49.65612225896 2752.743921148130084 1928.925096322439913 4290.545383716240394 1180.882055750950 1 1
0.095174 0.058639 -0.074964 142.0 5406937455678258432 150.56198676846 -49.67130662327 2657.332486318499832 1737.013514078590106 4440.933397319169671 1180.697997519510 1 1
0.094507 0.064241 -0.069315 137.2 5406937455678258944 150.57063254579 -49.66565024611 5971.784287780629711 4442.672070359640202 8198.049747802109778 1180.862869051660 1 1
0.098200 0.061233 -0.076771 141.4 5406937455678774400 150.56599944179 -49.67310995798 1924.089261628580061 1128.888464172019894 3784.053089119230208 1180.709934647590 1 1
0.091742 0.061870 -0.067740 137.6 5406937455681610624 150.56696581019 -49.66407868360 2923.985584962889789 1629.179787006539982 5086.805699442829791 1180.850755223530 1 1
0.096125 0.057684 -0.076893 143.1 5406937459975234432 150.56051488030 -49.67323643769 3447.387177370550035 2151.642268066510042 5594.106018554390175 1180.655837770520 1 1
0.089374 0.054724 -0.070661 142.2 5406937459975236864 150.55593091114 -49.66700784635 2415.331692242109966 1277.733935769909976 4519.184721481069573 1180.702705424680 1 1
0.090053 0.059629 -0.067483 138.5 5406937459975246464 150.56350278983 -49.66382407245 3146.338747838150084 1805.453613726180038 5335.071631422430073 1180.821369401580 1 1
0.087244 0.057685 -0.065451 138.6 5406937459975247104 150.56049662853 -49.66179445067 1064.953698101779992 1027.345063103839948 1105.365125708600090 1180.822092196030 1 1
0.083967 0.055677 -0.062853 138.5 5406937459975248640 150.55738942470 -49.65919885040 2839.187032788269789 1576.388881899870057 4980.681550277359747 1180.829962416900 1 1
0.088357 0.058792 -0.065958 138.3 5406937459975418752 150.56220676189 -49.66230012457 654.925904208408951 374.554256979292006 2230.426701898560168 1180.831116534860 1 1
0.085591 0.054006 -0.066401 140.9 5406937459975981440 150.55481459932 -49.66274915584 1975.163491257789929 903.089308604280973 4104.603163613839570 1180.753825347690 1 1
0.091065 0.053133 -0.073957 144.3 5406937459976649728 150.55347880412 -49.67030581783 2562.904302669479875 1210.294284009650028 4778.061219786390211 1180.631335040560 1 1
0.097314 0.058982 -0.077402 142.7 5406937459983539840 150.56252199800 -49.67374409469 862.764533615404048 842.092059141501977 884.458137524939957 1180.667562429050 1 1
0.088416 0.053634 -0.070292 142.7 5406937459983540352 150.55424535518 -49.66663968309 812.124479090047998 787.448041192760002 838.367412837115012 1180.691926584100 1 1
0.087235 0.057356 -0.065728 138.9 5406937459983543424 150.55998851564 -49.66207199929 4287.022559553899555 3345.341577985890126 5743.944419218059920 1180.813200028180 1 1
0.090850 0.060383 -0.067879 138.3 5406937459983758976 150.56466856831 -49.66421954633 2702.697282182450181 1400.823478427799955 4883.744803225539727 1180.826761236070 1 1
0.078540 0.003249 -0.078473 177.6 5406937936712712192 150.47639968752 -49.67485005267 3275.272806408499946 1914.502578085400046 5473.570051818050160 1179.823332208360 1 1
0.077629 0.000351 -0.077629 179.7 5406937936712714752 150.47192248468 -49.67400614911 1322.444768724489904 966.453435236787982 2044.465085972700081 1179.791886534800 1 1
0.075514 -0.000599 -0.075511 180.5 5406937936712720256 150.47045405195 -49.67188897674 2277.798220579949884 1192.206086748630014 4352.324245503749808 1179.807783221740 1 1
0.078363 -0.003910 -0.078265 182.9 5406937941010792832 150.46533766379 -49.67464248749 1975.758987276600010 921.745231171347996 4087.689218908709790 1179.718774625500 1 1
0.077140 0.002518 -0.077099 178.1 5406937941010798208 150.47526981649 -49.67347672133 2490.018498352570077 1256.665601102339906 4635.161157690579785 1179.831967444470 1 1
0.069844 -0.001719 -0.069823 181.4 5406937941012112896 150.46872370443 -49.66620054180 3154.425369166269775 1785.622502143480006 5364.739041837499826 1179.871858224990 1 1
0.079727 0.006498 -0.079462 175.3 5406937941012311936 150.48142039817 -49.67583871940 1684.026347079620109 779.749583635908039 3804.050387092359870 1179.857901404120 1 1
0.079597 -0.000103 -0.079597 180.1 5406937941012392576 150.47122088685 -49.67597481574 1505.883551254340091 724.384388055432055 3603.282635261040014 1179.756984382320 1 1
0.079261 -0.004406 -0.079139 183.2 5406937941012941440 150.46457126835 -49.67551610135 2058.606951238340116 887.200758539505046 4207.193114309199700 1179.698875249740 1 1
0.074113 -0.002872 -0.074058 182.2 5406937941012942208 150.46694210779 -49.67043528005 2461.704884050239798 1132.501805317029948 4665.860490492449571 1179.794279862830 1 1
0.077132 -0.002467 -0.077093 181.8 5406937941012943232 150.46756712842 -49.67347020655 2646.592107994430080 1362.189831353080081 4817.168590241510174 1179.757166287880 1 1
0.081908 -0.003194 -0.081846 182.2 5406937941012943360 150.46644303225 -49.67822320297 2667.532744549369909 1326.282558850899932 4873.514700907990118 1179.678490702730 1 1
0.076122 -0.000908 -0.076116 180.7 5406937941012944512 150.46997662809 -49.67249406284 2551.203617043449867 1211.360690708250104 4758.962708378499883 1179.794517370470 1 1
0.078335 0.001684 -0.078317 178.8 5406937941012947968 150.47398217944 -49.67469452426 2413.087675282629789 1166.281247338549974 4573.367180618300154 1179.802078235660 1 1
0.081794 -0.005007 -0.081641 183.5 5406937941019648256 150.46364229010 -49.67801799867 2619.497244010739905 2379.237551016360158 2911.654524330950153 1179.654195074960 1 1
0.080144 -0.004832 -0.079999 183.5 5406937941019648768 150.46391261878 -49.67637589203 5103.815233264899689 3848.220017450360046 7010.816383930609845 1179.680220835790 1 1
0.082032 -0.012571 -0.081063 188.8 5406937971072446464 150.45195241639 -49.67743919544 430.977574322432019 354.040323022795974 550.304800661405011 1179.548616435490 1 1
0.081402 -0.017007 -0.079605 192.1 5406937971072448512 150.44509720966 -49.67597990896 1824.012279117280059 1516.453733709229937 2277.385628667249875 1179.502417169280 1 1
0.082887 -0.017776 -0.080959 192.4 5406937971072448640 150.44390883375 -49.67733291594 1991.868097309660016 1520.462540650519941 2821.929063041960035 1179.471633092100 1 1
0.083650 -0.016700 -0.081966 191.5 5406937971072448768 150.44557163838 -49.67834077465 4968.960717502879561 3425.698994004480028 7269.845153055150149 1179.473576653510 1 1
0.080547 -0.022100 -0.077456 195.9 5406937971072453632 150.43722925390 -49.67382867425 2829.735554307209895 1860.822855677590042 4645.771416375219815 1179.455895796750 1 1
0.077206 -0.013194 -0.076070 189.8 5406937971072456960 150.45099181632 -49.67244609654 2670.082357533899994 1534.029970184549938 4754.556360995599789 1179.610094980360 1 1
0.077148 -0.019578 -0.074623 194.7 5406937971072460160 150.44112851913 -49.67099677245 1348.425600234749936 1082.585242143579990 1776.614200928099990 1179.534109848880 1 1
0.082319 -0.019871 -0.079885 194.0 5406937975370520832 150.44067188468 -49.67625862060 2636.051317588000074 1370.101135731179966 4793.645771377319761 1179.455217662790 1 1
0.080567 -0.020723 -0.077857 194.9 5406937975370521344 150.43935661567 -49.67422993635 2562.878578261870189 1458.686950013699970 4627.926536895240133 1179.471053298270 1 1
0.080945 -0.012661 -0.079949 189.0 5406937975370525952 150.45181344000 -49.67632478214 3032.275318452680040 1697.580435495950042 5220.362655682220066 1179.563087712610 1 1
