ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
84,761.491,1382.19,14.0608,0.0003,0.661,0.039,0.004,0.006,1.3081,-7.477,-0.659,0.0179,0.033,0.031,0.797,1
44,1130.98,1162.32,13.1826,0.0003,0.818,0.202,0.003,0.005,0.8005,-6.539,3.157,0.0188,0.035,0.03,0.791,1
83,711.254,1435.85,14.1312,0.0004,0.253,0.188,0.005,0.005,0.4225,-4.361,1.632,0.0187,0.034,0.034,0.788,1
79,1274.46,1246.83,13.9772,0.0003,0.404,-0.028,0.005,0.006,0.6723,-11.36,6.415,0.0194,0.035,0.032,0.787,1
87,1069.88,1307.74,14.1089,0.0003,0.64,-0.028,0.004,0.006,0.9813,8.198,-4.313,0.02,0.036,0.034,0.787,1
46,1527.49,1459.75,13.4132,0.0005,0.162,-0.364,0.005,0.004,0.3705,-5.213,2.786,0.0211,0.037,0.036,0.786,1
61,931.794,1447.47,13.6955,0.0003,0.417,0.164,0.005,0.005,0.4674,-10.014,3.755,0.0192,0.033,0.032,0.786,1
62,1169.78,1403.39,13.8003,0.0003,0.243,0.193,0.005,0.005,0.4859,-5.546,3.545,0.0189,0.035,0.034,0.785,1
53,1294.14,994.457,13.3668,0.0002,1.065,0.663,0.004,0.008,0.5715,-2.108,-1.017,0.0171,0.03,0.03,0.783,1
77,762.923,1223.18,13.9852,0.0003,0.285,0.199,0.004,0.005,0.4601,-6.92,3.663,0.0198,0.035,0.033,0.78,1
50,1119.49,1553.79,13.3738,0.0003,0.584,0.331,0.005,0.008,0.3263,-8.948,6.013,0.0166,0.03,0.029,0.779,1
47,1267.86,1512.09,13.4226,0.0003,0.258,0.114,0.005,0.004,0.614,-4.354,3.889,0.0197,0.036,0.035,0.777,1
81,853.946,1389.19,13.9818,0.0003,0.418,0.035,0.004,0.005,0.544,-4.765,0.829,0.0204,0.036,0.04,0.777,1
72,990.899,866.298,13.8639,0.0006,0.393,-0.177,0.007,0.007,0.2899,-6.099,2.724,0.0179,0.032,0.03,0.773,1
68,1298.39,1445.06,13.2995,0.0002,1.203,1.089,0.005,0.015,0.1503,-5.142,2.774,0.0169,0.031,0.03,0.772,1
98,705.385,1248.6,14.2029,0.0003,0.761,0.113,0.004,0.008,1.7273,6.967,-5.062,0.0214,0.037,0.034,0.772,1
107,1562.17,1195.24,14.386,0.0003,0.669,0.123,0.004,0.008,0.9168,-5.273,2.282,0.023,0.042,0.038,0.772,1
10,926.496,1501.59,11.5859,0.0003,1.256,1.13,0.004,0.005,0.6659,-12.744,7.023,0.0246,0.047,0.045,0.771,1
89,659.804,1397.27,13.742,0.0003,1.514,1.311,0.005,0.029,0.3909,-7.903,3.905,0.017,0.032,0.031,0.77,1
82,1216.38,1490.46,13.9717,0.0004,0.584,-0.04,0.006,0.006,1.1939,-19.383,8.459,0.0227,0.04,0.041,0.764,1
67,1186.45,1335.26,13.206,0.0003,1.698,1.726,0.006,0.037,0.2773,-2.299,1.261,0.0188,0.032,0.033,0.759,1
19,1212.23,944.831,12.4968,0.0003,1.135,0.674,0.005,0.008,0.5125,-8.888,5.066,0.0285,0.051,0.046,0.751,1
349,1285.37,1579.03,16.2379,0.0081,0.77,0.083,0.01,0.028,nan,nan,nan,nan,nan,nan,0.737,1
234,1389.93,1352.3,15.5552,0.0005,0.589,-0.014,0.006,0.014,0.5127,-5.724,2.621,0.0328,0.059,0.053,0.717,1
226,1225.18,1655.13,15.4524,0.0005,0.668,0.018,0.008,0.015,0.3639,-7.986,5.003,0.0319,0.057,0.061,0.712,1
208,1123.49,1499.09,15.3201,0.0007,0.808,0.239,0.007,0.02,0.8297,-1.857,2.854,0.0281,0.056,0.054,0.711,1
217,1158.16,941.934,15.4158,0.0005,0.728,0.131,0.009,0.02,0.3815,-5.422,1.601,0.0326,0.059,0.05,0.71,1
