ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
7,1127.1,1091.13,11.1284,0.0011,1.663,1.397,0.005,0.007,0.2757,-6.237,0.426,0.0392,0.067,0.055,0.636,1
90,1374.09,1219.89,14.7904,0.0007,0.918,0.667,0.006,0.022,0.2647,-9.468,1.012,0.0286,0.045,0.041,0.635,1
119,1761.53,1292.3,15.1922,0.0012,0.657,0.198,0.007,0.014,0.4329,-7.003,2.048,0.0315,0.055,0.046,0.635,1
37,1379.19,1114.29,13.2501,0.0003,1.696,1.647,0.006,0.03,0.2518,-4.834,-0.478,0.0206,0.039,0.031,0.633,1
81,1541.56,1226.38,14.3668,0.0003,1.588,1.357,0.006,0.062,0.2992,-9.858,1.931,0.0242,0.04,0.035,0.629,1
54,1267.24,1277.63,13.8118,0.0002,1.498,1.218,0.006,0.03,0.3305,-9.74,2.125,0.0215,0.036,0.031,0.628,1
148,1639.2,1059.37,15.5463,0.0007,0.819,0.106,0.008,0.018,0.7251,-11.215,1.558,0.0374,0.06,0.054,0.625,1
62,1677.71,1299.07,14.0287,0.0003,1.44,1.134,0.007,0.026,0.2833,-6.665,-0.179,0.0223,0.036,0.033,0.621,1
104,1659.05,1106.22,14.7011,0.0003,1.518,1.42,0.008,0.077,0.3345,-7.278,-0.829,0.027,0.046,0.045,0.621,1
103,1056.19,1279.82,15.0362,0.0004,0.738,0.123,0.007,0.014,0.6407,-6.952,-0.943,0.0304,0.056,0.043,0.62,1
168,1409.29,1146.15,15.6442,0.0005,0.913,0.211,0.007,0.024,0.5146,-5.999,-0.328,0.0374,0.06,0.059,0.619,1
92,1033.55,1116.65,14.7723,0.0003,0.975,0.35,0.006,0.015,1.2405,-18.791,1.674,0.0288,0.045,0.041,0.618,1
130,1186.79,1036.97,15.2675,0.0004,0.887,0.175,0.008,0.016,0.5685,-10.105,-4.316,0.0324,0.053,0.047,0.617,1
201,1182.47,1277.82,15.9154,0.0005,0.819,0.059,0.01,0.027,0.8638,-6.477,4.719,0.0438,0.076,0.064,0.613,1
14,1288.24,1207.39,12.3551,0.0002,1.234,0.642,0.006,0.007,0.4695,-8.123,3.608,0.0324,0.053,0.047,0.612,1
96,1569.99,1501.82,14.9205,0.0003,0.762,0.07,0.009,0.013,0.9507,-7.362,-1.047,0.0308,0.05,0.044,0.612,1
194,1322.69,1371.74,15.8538,0.0006,0.806,0.14,0.01,0.027,0.4722,-7.492,0.994,0.0453,0.078,0.072,0.612,1
98,1711.84,1387.68,14.9734,0.0003,0.707,0.149,0.008,0.013,0.5455,-3.457,0.699,0.0307,0.049,0.043,0.611,1
8,1112.42,1401.71,11.5698,0.0003,0.727,0.019,0.007,0.005,4.8799,-9.867,-31.558,0.0327,0.054,0.048,0.609,1
67,1483.61,1319.53,14.4584,0.0003,0.711,0.333,0.007,0.012,0.4454,-8.254,2.249,0.0265,0.042,0.037,0.609,1
179,1340.44,1474.74,15.8179,0.0005,0.648,0.338,0.01,0.024,0.2954,-8.706,1.186,0.0443,0.07,0.062,0.607,1
44,1709.22,926.013,13.7143,0.0002,1.152,0.881,0.012,0.015,1.2872,-14.887,4.971,0.0226,0.038,0.037,0.604,1
244,1679.5,1197.89,16.1776,0.0005,0.891,0.346,0.011,0.041,0.5084,-9.651,3.774,0.0486,0.078,0.073,0.604,1
206,1714.42,1380.54,15.932,0.0011,0.852,0.26,0.012,0.03,0.3436,-2.996,0.442,0.0469,0.076,0.066,0.6,1
267,1604.49,1162.9,16.3307,0.0007,0.804,0.126,0.009,0.036,0.426,-6.781,-0.693,0.055,0.09,0.101,0.6,1
22,1181.43,1423.26,12.5937,0.0008,1.456,1.354,0.009,0.015,1.4386,-8.122,3.588,0.1852,0.323,0.271,0.595,1
279,1498.45,1295.77,16.374,0.0006,0.821,0.184,0.01,0.042,0.2552,-4.755,0.396,0.0573,0.094,0.092,0.593,1
302,1138.84,1256.05,16.4878,0.0007,0.871,0.239,0.012,0.047,0.3784,-9.22,0.584,0.0576,0.104,0.084,0.587,1
314,1538.54,1456.15,16.4988,0.0006,0.939,0.355,0.012,0.051,0.3089,-2.443,0.71,0.0566,0.095,0.085,0.586,1
264,1375.24,1143.34,16.2976,0.0007,0.902,0.29,0.013,0.051,0.5265,-11.822,0.608,0.0582,0.097,0.08,0.583,1
272,1726.19,1229.95,16.3094,0.0006,0.918,0.249,0.012,0.04,0.3957,-8.367,-0.856,0.0528,0.085,0.078,0.582,1
224,1279.23,882.598,16.0219,0.0006,0.887,0.283,0.016,0.048,0.3492,-5.714,0.845,0.0435,0.068,0.066,0.58,1
157,1470.58,1388.96,15.5512,0.0005,0.936,0.364,0.01,0.028,0.7901,-7.33,-1.734,0.0395,0.063,0.056,0.603,0
125,1500.24,1431.56,15.3083,0.0004,0.588,0.325,0.009,0.018,0.4061,-7.761,0.565,0.0371,0.057,0.051,0.601,0
69,1315.71,1517.61,14.5237,0.0002,0.729,0.159,0.01,0.011,0.6224,-8.922,1.28,0.0252,0.042,0.037,0.599,0
23,1300.31,1234.14,13.0575,0.0004,0.417,0.274,0.006,0.005,nan,nan,nan,nan,nan,nan,0.597,0
65,1430.7,892.85,14.492,0.0003,0.484,0.362,0.011,0.012,0.4312,-7.726,0.565,0.0266,0.044,0.038,0.596,0
146,1449.43,984.729,15.4491,0.0004,1.007,0.482,0.014,0.032,0.7122,-16.322,6.379,0.0338,0.053,0.051,0.596,0
249,1044.77,1156.72,16.0653,0.0006,1.081,0.599,0.01,0.067,0.3549,-5.603,0.677,0.0475,0.079,0.069,0.595,0
252,1365.92,878.703,16.1378,0.0006,1.025,0.467,0.015,0.059,0.2228,-5.906,0.356,0.0469,0.077,0.074,0.595,0
185,1433.74,1426.66,15.8029,0.0005,0.796,0.06,0.012,0.022,0.6307,-2.652,0.437,0.0476,0.07,0.067,0.594,0
60,1238.43,975.935,13.7767,0.0003,1.701,1.777,0.013,0.055,0.3488,-15.96,5.645,0.023,0.037,0.032,0.593,0
230,1251.08,1363.11,16.0381,0.0005,1.077,0.611,0.01,0.061,1.1335,-9.707,3.712,0.0492,0.083,0.093,0.587,0
217,1151.87,963.182,15.9718,0.0006,0.953,0.269,0.016,0.048,0.8116,-8.443,-0.627,0.0454,0.073,0.065,0.582,0
150,1315.15,795.998,15.5529,0.0005,0.805,0.452,0.016,0.033,0.2811,-5.69,0.527,0.039,0.068,0.056,0.58,0
353,1452.98,1007.22,16.6801,0.0007,0.981,0.181,0.014,0.063,0.4793,-9.735,0.145,0.0622,0.099,0.094,0.58,0
207,1420.68,1440.31,15.9446,0.0017,0.853,0.177,0.011,0.024,1.4335,-6.119,0.487,0.2188,0.348,0.352,0.569,0
