#ID  Gmag   (Bmag-Vmag)   (Umag-Bmag)   e_Gmag   e_(Bmag-Vmag)   e_(Umag-Bmag)   Mini
10      17.7493 1.1846  0.8110  0.0013  0.0109  0.0255  0.9078  
11      18.0422 1.2625  1.0079  0.0016  0.0120  0.0300  0.8626  
12      17.8433 1.2017  0.8536  0.0014  0.0112  0.0269  0.8927  
13      18.2477 1.2949  1.0896  0.0018  0.0130  0.0339  0.8324  
14      17.3049 1.0843  0.5764  0.0010  0.0096  0.0201  0.9832  
15      17.6581 1.1631  0.7599  0.0012  0.0106  0.0242  0.9229  
16      17.4758 1.1108  0.6385  0.0011  0.0101  0.0220  0.9531  
17      17.2198 1.0753  0.5533  0.0010  0.0094  0.0192  0.9983  
18      17.4764 1.1158  0.6494  0.0011  0.0101  0.0220  0.9531  
19      16.9233 1.0161  0.4400  0.0008  0.0088  0.0165  1.0541  
110     16.6970 0.9598  0.3558  0.0007  0.0084  0.0148  1.0993  
111     16.8984 0.9966  0.4058  0.0008  0.0088  0.0163  1.0588  
112     16.9215 0.9966  0.4034  0.0008  0.0088  0.0165  1.0541  
113     17.1391 1.0616  0.5260  0.0009  0.0092  0.0184  1.0134  
114     16.6981 0.9720  0.3775  0.0007  0.0084  0.0148  1.0993  
115     16.2761 0.8912  0.2890  0.0006  0.0079  0.0123  1.1897  
116     16.4824 0.9159  0.3027  0.0007  0.0081  0.0135  1.1445  
117     16.4131 0.9082  0.2985  0.0006  0.0080  0.0131  1.1595  
118     16.4129 0.9063  0.2955  0.0006  0.0080  0.0131  1.1595  
119     16.6267 0.9578  0.3597  0.0007  0.0083  0.0144  1.1143  
120     16.2755 0.8834  0.2767  0.0006  0.0079  0.0123  1.1897  
121     16.5551 0.9442  0.3433  0.0007  0.0082  0.0139  1.1294  
122     16.1434 0.8569  0.2569  0.0006  0.0078  0.0116  1.2199  
123     15.7700 0.8064  0.2528  0.0005  0.0074  0.0101  1.3104  
124     16.0145 0.8362  0.2477  0.0005  0.0076  0.0111  1.2501  
125     15.7699 0.8037  0.2492  0.0005  0.0074  0.0101  1.3104  
126     16.0795 0.8543  0.2637  0.0005  0.0077  0.0113  1.2350  
127     16.0135 0.8216  0.2267  0.0005  0.0076  0.0111  1.2501  
128     16.1438 0.8625  0.2653  0.0006  0.0078  0.0116  1.2199  
129     15.8286 0.8005  0.2328  0.0005  0.0075  0.0103  1.2953  
130     15.8907 0.8145  0.2406  0.0005  0.0075  0.0105  1.2802  
131     15.5953 0.7725  0.2440  0.0005  0.0073  0.0095  1.3557  
132     15.6520 0.7723  0.2313  0.0005  0.0074  0.0096  1.3406  
133     15.5399 0.7591  0.2400  0.0004  0.0073  0.0093  1.3708  
134     15.7106 0.7827  0.2330  0.0005  0.0074  0.0099  1.3255  
135     15.5407 0.7735  0.2584  0.0004  0.0073  0.0093  1.3708  
136     15.5397 0.7566  0.2368  0.0004  0.0073  0.0093  1.3708  
137     15.5408 0.7738  0.2587  0.0004  0.0073  0.0093  1.3708  
138     15.5949 0.7660  0.2356  0.0005  0.0073  0.0095  1.3557  
139     15.4296 0.7409  0.2430  0.0004  0.0072  0.0089  1.4009  
140     15.6528 0.7849  0.2479  0.0005  0.0074  0.0096  1.3406  
141     15.3258 0.7316  0.2587  0.0004  0.0072  0.0086  1.4311  
142     15.2228 0.7066  0.2569  0.0004  0.0071  0.0084  1.4613  
143     15.3258 0.7322  0.2595  0.0004  0.0072  0.0086  1.4311  
144     15.3255 0.7279  0.2543  0.0004  0.0072  0.0086  1.4311  
145     15.3263 0.7413  0.2704  0.0004  0.0072  0.0086  1.4311  
146     15.3775 0.7335  0.2476  0.0004  0.0072  0.0088  1.4160  
147     15.2732 0.7168  0.2543  0.0004  0.0071  0.0085  1.4462  
148     15.0048 0.6625  0.2756  0.0004  0.0070  0.0079  1.5286  
149     15.0425 0.6821  0.2849  0.0004  0.0070  0.0079  1.5169  
150     14.8131 0.6253  0.2995  0.0004  0.0069  0.0075  1.5923  
151     14.8131 0.6270  0.3013  0.0004  0.0069  0.0075  1.5923  
152     14.8574 0.6290  0.2880  0.0004  0.0070  0.0075  1.5772  
153     14.8124 0.6136  0.2870  0.0004  0.0069  0.0075  1.5923  
154     15.0042 0.6522  0.2641  0.0004  0.0070  0.0079  1.5286  
155     14.6845 0.5854  0.3003  0.0004  0.0069  0.0072  1.6376  
156     14.6487 0.5808  0.3075  0.0004  0.0069  0.0072  1.6504  
157     14.6363 0.5825  0.3142  0.0004  0.0069  0.0071  1.6551  
158     14.7271 0.6028  0.3045  0.0004  0.0069  0.0073  1.6225  
159     14.5671 0.5760  0.3302  0.0003  0.0069  0.0070  1.6815  
160     14.7271 0.6021  0.3038  0.0004  0.0069  0.0073  1.6225  
161     14.2653 0.5045  0.3407  0.0003  0.0068  0.0066  1.8044  
162     14.3296 0.5154  0.3359  0.0003  0.0068  0.0067  1.7768  
163     14.3732 0.5274  0.3382  0.0003  0.0068  0.0067  1.7584  
164     14.2848 0.5046  0.3365  0.0003  0.0068  0.0066  1.7958  
165     14.4669 0.5394  0.3239  0.0003  0.0068  0.0069  1.7205  
166     14.2650 0.4989  0.3353  0.0003  0.0068  0.0066  1.8044  
167     14.2650 0.4990  0.3354  0.0003  0.0068  0.0066  1.8044  
168     14.0427 0.4557  0.3242  0.0003  0.0067  0.0063  1.9053  
169     14.1586 0.4819  0.3375  0.0003  0.0068  0.0064  1.8520  
170     14.0430 0.4621  0.3302  0.0003  0.0067  0.0063  1.9053  
171     14.2656 0.5105  0.3465  0.0003  0.0068  0.0066  1.8044  
172     13.9481 0.4372  0.3124  0.0003  0.0067  0.0062  1.9502  
173     14.0110 0.4509  0.3215  0.0003  0.0067  0.0063  1.9204  
174     13.9050 0.4380  0.3144  0.0003  0.0067  0.0061  1.9714  
175     13.8569 0.4378  0.3147  0.0003  0.0067  0.0061  1.9952  
176     13.7172 0.4180  0.2945  0.0003  0.0067  0.0060  2.0658  
177     13.8050 0.4262  0.3036  0.0003  0.0067  0.0060  2.0212  
178     13.6878 0.4179  0.2938  0.0003  0.0067  0.0059  2.0809  
179     13.7021 0.4087  0.2857  0.0003  0.0067  0.0060  2.0734  
180     13.5806 0.4098  0.2828  0.0003  0.0067  0.0058  2.1370  
181     13.5322 0.3963  0.2684  0.0003  0.0067  0.0058  2.1626  
182     13.5805 0.4070  0.2805  0.0003  0.0067  0.0058  2.1370  
183     13.2902 0.3666  0.2284  0.0003  0.0066  0.0056  2.2910  
184     13.4060 0.3750  0.2429  0.0003  0.0067  0.0057  2.2292  
185     13.2317 0.3666  0.2258  0.0003  0.0066  0.0056  2.3223  
186     13.1646 0.3585  0.2135  0.0003  0.0066  0.0055  2.3576  
187     13.0898 0.3512  0.2038  0.0003  0.0066  0.0055  2.3954  
188     12.8976 0.3475  0.1881  0.0003  0.0066  0.0054  2.4952  
189     13.0027 0.3452  0.1933  0.0003  0.0066  0.0054  2.4411  
190     12.9405 0.3440  0.1880  0.0003  0.0066  0.0054  2.4734  
