#ID  Gmag   (Bmag-Vmag)   (Umag-Bmag)   e_Gmag   e_(Bmag-Vmag)   e_(Umag-Bmag)   Mini
10      16.5810 0.8601  0.3114  0.0007  0.0168  0.0418  1.1830  
11      16.1802 0.7657  0.2104  0.0006  0.0148  0.0326  1.2773  
12      15.7247 0.7083  0.2429  0.0005  0.0132  0.0251  1.3984  
13      15.5007 0.6502  0.2221  0.0004  0.0125  0.0223  1.4658  
14      15.1758 0.5873  0.2677  0.0004  0.0118  0.0191  1.5735  
15      14.6430 0.4335  0.2837  0.0003  0.0108  0.0154  1.7889  
16      14.3473 0.3715  0.2542  0.0003  0.0104  0.0139  1.9467  
17      14.5612 0.4116  0.2776  0.0003  0.0107  0.0149  1.8293  
18      13.8786 0.2826  0.1196  0.0003  0.0098  0.0121  2.2640  
19      13.5972 0.2541  0.0407  0.0003  0.0096  0.0114  2.4867  
110     13.0170 0.2228  -0.1144 0.0002  0.0092  0.0102  3.0012  
111     12.9234 0.2225  -0.1329 0.0002  0.0092  0.0101  3.0926  
112     12.3559 0.1878  -0.2628 0.0002  0.0089  0.0094  3.6713  
113     11.4674 0.1663  -0.3586 0.0002  0.0087  0.0089  4.5580  
114     11.2591 0.1666  -0.3622 0.0002  0.0087  0.0088  4.7328  
