ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
74,884.986,1358.12,13.7856,0.0004,0.434,0.247,0.007,0.006,0.2378,-6.856,4.258,0.0206,0.039,0.035,0.896,1
70,943.67,1451.12,13.788,0.0008,0.434,0.271,0.012,0.01,0.2651,-6.93,4.433,0.0176,0.035,0.03,0.867,1
17,771.589,1148.83,12.4331,0.0002,0.609,-0.068,0.004,0.004,0.9769,-10.547,2.352,0.0289,0.054,0.048,0.849,1
35,836.016,1332.38,13.1788,0.0003,0.237,0.132,0.007,0.006,0.2613,-6.977,4.353,0.0178,0.031,0.029,0.849,1
59,707.673,1241.41,13.3882,0.0003,1.088,0.577,0.006,0.009,0.2502,-6.904,4.403,0.0174,0.033,0.028,0.846,1
97,833.168,1371.33,13.8324,0.0003,1.007,0.337,0.007,0.011,0.2587,-7.034,4.656,0.0197,0.035,0.031,0.842,1
66,1036.4,1324.76,13.7336,0.0003,0.347,0.257,0.007,0.007,0.269,-6.73,4.448,0.0185,0.034,0.031,0.841,1
104,1221.55,1313.17,14.1988,0.0003,0.292,0.206,0.006,0.008,0.267,-6.95,4.471,0.0208,0.04,0.037,0.841,1
21,945.582,1390.82,12.5611,0.0002,0.645,0.291,0.005,0.006,0.2954,-6.983,4.467,0.0295,0.053,0.051,0.84,1
40,920.123,1369.09,13.1845,0.0006,0.396,0.332,0.007,0.007,0.257,-6.939,4.485,0.0174,0.031,0.028,0.84,1
87,1134.5,1283.45,13.9839,0.0003,0.196,-0.123,0.007,0.007,0.1919,-7.292,3.123,0.0193,0.035,0.032,0.84,1
95,731.453,1390.4,14.0894,0.0003,0.265,0.194,0.008,0.009,0.2712,-6.879,4.429,0.0179,0.034,0.032,0.839,1
125,1251.77,1105.07,14.3656,0.0003,0.328,0.248,0.006,0.007,0.2182,-6.955,4.44,0.0253,0.043,0.037,0.839,1
144,628.801,1263.19,14.5349,0.0003,0.654,0.026,0.006,0.01,0.4275,-5.325,2.742,0.0215,0.039,0.037,0.839,1
9,975.042,1322.58,12.1443,0.0001,0.49,-0.169,0.006,0.006,1.2517,-8.513,8.722,0.0283,0.051,0.047,0.838,1
145,1072.58,1148.5,14.3559,0.0003,1.247,0.592,0.006,0.016,0.2174,-5.623,3.645,0.0201,0.037,0.034,0.836,1
96,937.03,1340.77,14.0841,0.0003,0.359,0.205,0.007,0.007,0.2544,-6.993,4.395,0.0232,0.041,0.037,0.832,1
183,845.01,1001.87,14.938,0.0005,0.461,0.2,0.005,0.01,0.2184,-4.763,2.528,0.0259,0.047,0.043,0.832,1
162,1122.36,1308.98,14.7051,0.0003,0.647,-0.022,0.008,0.01,0.413,-4.938,1.157,0.0245,0.046,0.044,0.828,1
93,1173.38,1186.43,13.5351,0.0004,1.524,1.534,0.006,0.025,0.1799,-3.553,3.283,0.0187,0.034,0.031,0.826,1
65,693.967,893.797,13.7448,0.0003,0.274,0.25,0.007,0.009,0.2412,-6.946,4.576,0.0176,0.033,0.03,0.824,1
158,1062.96,1228.34,14.7633,0.0004,0.364,0.225,0.006,0.01,0.2321,-6.876,4.423,0.0272,0.049,0.041,0.824,1
83,1193.45,1422.17,13.8731,0.0004,0.371,0.291,0.008,0.009,0.2367,-6.805,4.469,0.019,0.037,0.034,0.822,1
113,782.676,1436.57,14.2396,0.0003,0.248,0.101,0.009,0.009,0.2274,-6.419,3.773,0.0204,0.038,0.034,0.822,1
196,1382.41,1064.58,14.9211,0.0004,0.632,-0.061,0.006,0.012,0.4875,-6.46,4.701,0.0241,0.043,0.041,0.818,1
49,1214.46,913.379,13.5832,0.0003,0.114,-0.256,0.006,0.007,0.2957,-5.244,4.151,0.0215,0.037,0.035,0.817,1
112,999.283,1538.14,14.2172,0.0003,0.352,0.276,0.01,0.009,0.2224,-6.977,4.446,0.019,0.036,0.036,0.817,1
370,1034.5,1265.18,15.6917,0.0011,0.487,0.084,0.008,0.024,0.3734,-6.857,4.414,0.0353,0.068,0.058,0.817,1
200,970.851,1103.05,15.0255,0.0005,0.409,0.159,0.006,0.009,0.2845,-6.788,4.494,0.028,0.049,0.044,0.816,1
211,947.823,1115.72,15.1071,0.0004,0.364,0.177,0.006,0.011,0.3229,-6.921,4.339,0.0294,0.055,0.047,0.814,1
5,886.554,1278.26,11.5287,0.0003,0.017,-0.155,0.01,0.006,0.5407,-6.773,3.426,0.0278,0.048,0.046,0.812,1
164,1089.78,1373.95,14.8031,0.0004,0.44,0.223,0.009,0.01,0.2458,-6.872,4.478,0.0239,0.045,0.04,0.807,1
195,1371.91,1267.64,15.0175,0.0005,0.38,0.231,0.006,0.012,0.1667,-6.832,4.402,0.0267,0.052,0.047,0.807,1
324,837.524,1081.75,15.5065,0.0005,0.452,0.112,0.006,0.013,0.2925,-6.548,4.732,0.0321,0.059,0.054,0.806,1
133,883.727,1260.66,14.4379,0.0004,0.602,0.06,0.011,0.011,0.5963,-15.241,13.181,0.0219,0.041,0.039,0.805,1
375,1197.38,868.353,15.6886,0.0007,0.467,0.212,0.013,0.022,0.2333,-6.814,4.533,0.0336,0.06,0.058,0.799,1
597,838.168,1361.21,16.8307,0.0074,0.726,0.011,0.034,0.042,0.6317,-5.429,1.168,0.3655,0.747,0.708,0.799,1
303,830.572,1149.72,15.4603,0.0006,0.429,0.115,0.006,0.016,0.3096,-6.882,4.408,0.0302,0.055,0.053,0.784,1
325,871.174,1487.75,15.4993,0.0006,0.5,0.153,0.009,0.016,0.2691,-7.038,4.606,0.0314,0.056,0.057,0.78,1
789,1050.73,1281.3,16.7432,0.0008,0.684,-0.016,0.013,0.035,0.2015,-6.391,4.454,0.0582,0.112,0.1,0.777,1
787,700.408,1392.22,16.7404,0.0009,0.682,0.008,0.013,0.041,0.2585,-6.879,4.688,0.0602,0.124,0.116,0.771,1
413,1315.61,1264.47,15.8177,0.0007,0.529,0.165,0.009,0.02,0.2909,-6.795,4.366,0.0351,0.066,0.06,0.765,1
839,1078.86,1264.04,16.8409,0.0011,0.739,-0.031,0.013,0.047,0.5023,-6.236,1.675,0.0683,0.147,0.117,0.762,1
431,808.639,1423.38,15.8627,0.0006,0.492,0.057,0.009,0.021,0.2644,-6.939,4.492,0.0356,0.064,0.06,0.759,1
437,892.626,1347.28,15.8926,0.0008,0.504,0.102,0.008,0.018,0.4194,-7.217,4.716,0.0425,0.074,0.073,0.759,1
411,1060.64,1269.01,15.7921,0.0009,0.56,0.083,0.009,0.019,0.2748,-6.801,4.761,0.0368,0.064,0.063,0.753,1
365,1300.31,1276.58,15.6687,0.0007,0.481,0.155,0.008,0.018,0.3062,-7.025,4.482,0.0364,0.068,0.061,0.75,1
442,1164.78,1455.22,15.9099,0.0009,0.559,0.159,0.01,0.019,0.2422,-7.052,4.552,0.0361,0.07,0.068,0.749,1
45,1092.62,1382.36,12.86,0.0003,1.615,1.665,0.008,0.02,0.1588,-5.39,3.136,0.0264,0.05,0.045,0.742,1
553,1104.36,1129.09,16.2477,0.0007,0.682,-0.14,0.009,0.026,0.4119,0.335,3.782,0.0448,0.09,0.088,0.721,1
730,763.649,1300.57,16.6327,0.0008,0.67,-0.126,0.013,0.03,0.3768,-8.268,0.56,0.0568,0.108,0.098,0.69,1
51,955.553,1149.7,13.2592,0.0003,1.141,0.867,0.006,0.012,0.5223,0.35,1.294,0.017,0.031,0.029,0.844,0
33,1113.96,997.768,13.1882,0.0003,0.249,0.082,0.006,0.005,0.664,-6.66,3.782,0.0279,0.048,0.044,0.838,0
34,1317.7,1310.69,12.8432,0.0002,1.198,0.784,0.007,0.009,0.2542,-6.984,4.466,0.0263,0.048,0.044,0.833,0
181,660.965,1238.74,14.5957,0.0003,1.221,0.831,0.006,0.026,0.2002,-5.91,3.968,0.0228,0.044,0.038,0.823,0
91,1017.44,1540.12,13.7302,0.0003,1.143,0.598,0.009,0.015,0.2884,-6.793,4.491,0.0166,0.032,0.031,0.819,0
170,1117.05,1346.76,14.4705,0.0003,1.33,0.988,0.007,0.036,0.2425,-3.473,1.446,0.0216,0.039,0.036,0.81,0
188,1064.95,1530.74,14.5845,0.0003,1.215,0.651,0.009,0.026,0.0554,-3.821,2.3,0.0202,0.038,0.035,0.808,0
209,1004.67,1101.98,14.7503,0.0006,1.255,0.895,0.006,0.033,0.2676,-7.391,3.772,0.0229,0.043,0.038,0.805,0
279,828.906,1249.97,15.3407,0.0005,0.5,0.196,0.007,0.014,0.2884,-5.075,3.169,0.0293,0.055,0.048,0.805,0
252,1006.3,1005.3,15.2324,0.0005,0.568,-0.154,0.006,0.011,0.4401,-7.409,2.192,0.0294,0.055,0.054,0.804,0
155,1138.26,1380.87,14.7067,0.0004,0.419,0.288,0.009,0.01,0.2186,-6.823,4.216,0.0254,0.045,0.04,0.803,0
157,640.7,1096.17,14.7692,0.0004,0.347,0.186,0.005,0.01,0.1401,-5.896,3.562,0.0534,0.094,0.086,0.801,0
81,1190.25,965.65,13.8954,0.0003,0.286,0.263,0.009,0.011,0.2115,-6.961,4.438,0.0207,0.037,0.034,0.8,0
253,1084.22,1409.31,15.1772,0.0005,0.714,0.024,0.008,0.013,0.5314,-4.127,4.625,0.0268,0.049,0.047,0.796,0
259,920.917,1408.41,15.2457,0.0005,0.557,0.124,0.008,0.014,0.2818,-6.97,4.542,0.0307,0.059,0.054,0.796,0
281,924.299,1386.91,15.306,0.0013,0.523,0.09,0.008,0.011,0.2404,-6.893,4.381,0.0277,0.051,0.048,0.793,0
242,824.44,1066.53,15.1269,0.0004,0.685,-0.116,0.006,0.012,0.5496,-2.764,-5.016,0.0545,0.097,0.089,0.781,0
243,1070.14,1520.68,15.1775,0.0005,0.493,0.249,0.01,0.016,0.2707,-7.085,4.524,0.0254,0.049,0.047,0.781,0
127,1278.18,1235.25,14.2736,0.0003,0.733,0.004,0.007,0.01,0.7384,-6.895,9.217,0.0742,0.14,0.125,0.776,0
264,944.806,1136.53,15.3082,0.0004,0.335,0.197,0.022,0.023,0.2922,-6.93,4.621,0.0278,0.051,0.047,0.769,0
268,1178.88,853.25,15.2167,0.0004,0.729,0.085,0.012,0.017,0.4023,-3.606,-1.443,0.0288,0.051,0.05,0.753,0
426,1148.45,1089.06,15.9301,0.0008,0.442,0.249,0.007,0.02,0.1709,-2.563,3.418,0.0417,0.075,0.069,0.749,0
305,826.17,823.731,15.4489,0.0005,0.449,0.21,0.012,0.016,0.2026,-6.919,4.56,0.0307,0.059,0.052,0.747,0
