#ID  Gmag   (Bmag-Vmag)   (Umag-Bmag)   e_Gmag   e_(Bmag-Vmag)   e_(Umag-Bmag)   Mini
10      16.7785 0.6104  0.4203  0.0008  0.0177  0.0396  1.7644  
11      16.6723 0.5723  0.3937  0.0007  0.0172  0.0378  1.8141  
12      16.5736 0.5320  0.3465  0.0006  0.0168  0.0363  1.8638  
13      16.5746 0.5574  0.4015  0.0006  0.0168  0.0363  1.8638  
14      16.4526 0.5221  0.3626  0.0006  0.0163  0.0345  1.9300  
15      16.4525 0.5187  0.3555  0.0006  0.0163  0.0345  1.9300  
16      16.3957 0.5211  0.3727  0.0006  0.0160  0.0337  1.9631  
17      16.4223 0.4851  0.2916  0.0006  0.0161  0.0341  1.9465  
18      16.3400 0.5090  0.3570  0.0006  0.0158  0.0329  1.9962  
19      16.2077 0.4986  0.3521  0.0005  0.0153  0.0311  2.0797  
110     16.2602 0.4924  0.3346  0.0005  0.0155  0.0318  2.0459  
111     16.2600 0.4870  0.3234  0.0005  0.0155  0.0318  2.0459  
112     16.1084 0.4463  0.2530  0.0005  0.0150  0.0299  2.1449  
113     16.0361 0.4437  0.2522  0.0005  0.0148  0.0290  2.1945  
114     15.9427 0.4446  0.2525  0.0005  0.0145  0.0279  2.2607  
115     15.8969 0.4359  0.2341  0.0005  0.0144  0.0274  2.2939  
116     15.9659 0.4531  0.2698  0.0005  0.0146  0.0282  2.2442  
117     15.8977 0.4628  0.2855  0.0005  0.0144  0.0274  2.2939  
118     15.8161 0.4260  0.2095  0.0004  0.0141  0.0265  2.3539  
119     15.7716 0.4180  0.1912  0.0004  0.0140  0.0260  2.3870  
120     15.6193 0.4156  0.1697  0.0004  0.0136  0.0245  2.5065  
121     15.7037 0.4317  0.2090  0.0004  0.0138  0.0253  2.4403  
122     15.7035 0.4277  0.2018  0.0004  0.0138  0.0253  2.4403  
123     15.5351 0.4059  0.1422  0.0004  0.0134  0.0237  2.5728  
124     15.6192 0.4118  0.1628  0.0004  0.0136  0.0245  2.5065  
125     15.5351 0.4075  0.1450  0.0004  0.0134  0.0237  2.5728  
126     15.3663 0.3810  0.0766  0.0004  0.0131  0.0221  2.7103  
127     15.4408 0.3857  0.0954  0.0004  0.0132  0.0228  2.6486  
128     15.2917 0.3730  0.0524  0.0004  0.0129  0.0215  2.7721  
129     15.2924 0.3963  0.0911  0.0004  0.0129  0.0215  2.7721  
130     15.1484 0.4061  0.0803  0.0004  0.0127  0.0203  2.8948  
131     15.0993 0.4007  0.0643  0.0004  0.0126  0.0200  2.9370  
132     15.0501 0.3919  0.0430  0.0004  0.0125  0.0196  2.9792  
133     14.9605 0.3628  -0.0155 0.0004  0.0124  0.0189  3.0567  
134     14.9231 0.3704  -0.0093 0.0004  0.0123  0.0187  3.0895  
135     14.8232 0.3693  -0.0256 0.0004  0.0122  0.0180  3.1768  
136     14.8728 0.3586  -0.0343 0.0004  0.0122  0.0183  3.1331  
137     14.6847 0.3653  -0.0496 0.0004  0.0120  0.0171  3.3000  
138     14.7755 0.3721  -0.0281 0.0004  0.0121  0.0177  3.2189  
139     14.6177 0.3691  -0.0528 0.0004  0.0119  0.0167  3.3596  
140     14.5611 0.3608  -0.0711 0.0004  0.0118  0.0163  3.4095  
141     14.3455 0.3331  -0.1294 0.0004  0.0116  0.0151  3.5987  
142     14.1298 0.3470  -0.1280 0.0003  0.0114  0.0140  3.7792  
143     13.9767 0.3261  -0.1615 0.0003  0.0112  0.0133  3.9026  
144     13.9407 0.3398  -0.1473 0.0003  0.0112  0.0131  3.9307  
145     13.6803 0.3466  -0.1472 0.0003  0.0110  0.0120  4.1187  
146     13.6099 0.3282  -0.1683 0.0003  0.0110  0.0118  4.1658  
147     13.2858 0.3678  -0.1194 0.0003  0.0108  0.0106  4.3593  
148     13.2443 0.3436  -0.1410 0.0003  0.0108  0.0105  4.3810  
149     13.0130 0.3459  -0.1222 0.0003  0.0107  0.0098  4.4928  
150     12.9286 0.3344  -0.1256 0.0003  0.0106  0.0095  4.5291  
