ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
1118,999.949,1719.6,18.7337,0.0021,1.061,0.849,0.045,0.052,0.99,1
1090,1168.45,1531.35,18.734,0.0021,0.973,0.937,0.044,0.048,0.99,1
1131,833.808,1402.53,18.7417,0.0023,1.113,1.0,0.041,0.056,0.99,1
1053,1058.47,1450.53,18.57,0.0021,1.152,0.978,0.042,0.049,0.98,1
1062,1055.21,1160.93,18.5838,0.0019,1.096,1.038,0.044,0.052,0.98,1
1064,985.905,1379.67,18.5975,0.002,1.085,0.95,0.042,0.04,0.98,1
1146,1196.99,1413.68,18.7307,0.0022,1.176,0.944,0.04,0.054,0.98,1
1099,958.314,1026.5,18.7495,0.0025,0.98,0.907,0.051,0.053,0.98,1
1158,1376.85,1631.28,18.7876,0.0023,1.131,0.916,0.044,0.055,0.98,1
1145,1029.44,1449.8,18.7888,0.0023,1.081,0.957,0.049,0.053,0.98,1
1156,1375.1,1657.42,18.7925,0.0024,1.143,1.008,0.042,0.056,0.98,1
1157,837.822,1120.69,18.8005,0.0022,1.101,0.917,0.049,0.062,0.98,1
1144,883.013,1301.19,18.8018,0.0028,1.047,0.942,0.048,0.059,0.98,1
1202,1014.0,1244.03,18.9748,0.0029,1.082,0.946,0.049,0.061,0.98,1
1046,1076.56,1337.85,18.5758,0.002,1.12,0.971,0.046,0.055,0.97,1
1135,1224.59,1208.2,18.7567,0.0023,1.052,1.068,0.043,0.062,0.97,1
1204,878.317,1330.4,18.9891,0.0026,1.057,0.999,0.06,0.071,0.97,1
854,902.966,1183.93,18.2066,0.0015,1.1,0.939,0.032,0.037,0.96,1
853,1071.18,1494.99,18.2117,0.0016,1.049,0.896,0.033,0.037,0.96,1
1044,1128.81,1334.08,18.5663,0.0019,1.087,0.842,0.04,0.044,0.96,1
1073,663.68,1378.97,18.5896,0.002,1.149,0.954,0.035,0.04,0.96,1
1038,1176.77,1070.66,18.5912,0.0019,1.048,0.913,0.039,0.046,0.96,1
1123,1210.12,1470.26,18.7535,0.002,1.001,0.942,0.051,0.055,0.96,1
1172,843.809,1545.28,18.7749,0.0021,1.167,0.949,0.041,0.051,0.96,1
1208,1201.69,1232.63,19.0333,0.0028,1.149,0.981,0.047,0.069,0.96,1
661,698.987,1563.26,17.8242,0.0012,1.042,0.929,0.04,0.037,0.95,1
668,996.344,1270.23,17.8881,0.0015,1.005,0.923,0.031,0.032,0.95,1
889,1088.4,1435.27,18.2856,0.0017,1.042,0.943,0.036,0.041,0.95,1
1024,1026.67,1259.12,18.5603,0.0023,1.069,0.95,0.042,0.047,0.95,1
1050,925.865,1472.19,18.62,0.0021,1.116,1.015,0.041,0.051,0.95,1
1185,1482.25,1369.71,18.8852,0.0024,1.072,0.887,0.052,0.055,0.95,1
1197,725.712,1468.05,18.8939,0.0024,1.104,1.058,0.053,0.068,0.95,1
1213,746.294,1393.24,18.9605,0.0026,1.183,0.976,0.058,0.07,0.95,1
1220,920.271,1022.09,18.9829,0.0026,1.181,1.158,0.06,0.09,0.95,1
1236,1132.39,1499.63,19.0493,0.0026,1.191,0.921,0.057,0.077,0.95,1
1228,936.892,1203.08,19.0532,0.0028,1.117,0.919,0.056,0.062,0.95,1
821,847.287,1680.16,18.2057,0.0015,0.978,0.827,0.029,0.034,0.94,1
846,1311.66,1288.62,18.2136,0.0016,1.032,0.881,0.035,0.034,0.94,1
1091,1125.44,1527.07,18.6235,0.002,1.121,0.927,0.045,0.053,0.94,1
1081,1179.59,1249.27,18.7189,0.0022,1.015,0.931,0.048,0.056,0.94,1
1201,1261.33,1488.59,19.0625,0.0042,1.078,0.951,0.06,0.071,0.94,1
1239,1164.4,1172.6,19.1717,0.0029,0.997,1.065,0.064,0.088,0.94,1
1247,1303.68,1162.92,19.172,0.0029,1.23,0.872,0.078,0.092,0.94,1
1257,984.28,1400.99,19.1727,0.0029,1.341,1.053,0.073,0.092,0.94,1
1254,998.277,1486.98,19.1797,0.0032,1.263,1.025,0.054,0.083,0.94,1
891,1356.93,1177.16,18.2833,0.0017,1.058,0.823,0.036,0.036,0.93,1
919,974.362,1523.5,18.3018,0.0017,1.043,0.894,0.033,0.038,0.93,1
1143,678.774,1238.68,18.6057,0.0021,1.262,1.073,0.04,0.065,0.93,1
611,980.871,1423.92,17.8183,0.0015,1.085,0.892,0.03,0.029,0.92,1
654,957.59,1172.3,17.8205,0.0013,1.058,0.907,0.026,0.025,0.92,1
656,1442.49,1269.77,17.8913,0.0013,1.01,0.802,0.022,0.025,0.92,1
672,1086.2,1347.6,17.8953,0.0015,0.979,0.925,0.026,0.029,0.92,1
890,1042.74,1367.77,18.2802,0.0017,1.062,0.886,0.036,0.044,0.92,1
1176,733.808,1375.64,18.7331,0.0021,1.276,0.921,0.055,0.063,0.92,1
1190,1077.51,1567.96,18.8796,0.0024,1.101,0.847,0.051,0.063,0.92,1
912,1333.44,1303.83,18.3108,0.0014,1.126,0.919,0.032,0.037,0.91,1
999,975.748,1544.34,18.4401,0.0017,1.11,0.94,0.04,0.046,0.91,1
1036,1101.05,1449.56,18.6054,0.0022,1.182,1.011,0.036,0.046,0.91,1
1060,1074.59,1176.65,18.6209,0.002,1.048,1.003,0.044,0.046,0.91,1
1117,1095.12,1860.96,18.6248,0.0021,1.317,1.139,0.095,0.058,0.91,1
1055,1234.0,1552.41,18.6258,0.0022,0.957,0.917,0.043,0.045,0.91,1
1124,691.834,1533.89,18.6333,0.0022,1.177,0.974,0.045,0.055,0.91,1
1209,1186.08,1785.68,18.8989,0.0024,1.207,0.973,0.061,0.066,0.91,1
1200,779.776,1540.9,18.8556,0.0023,1.153,0.987,0.045,0.057,0.9,1
987,946.048,1539.38,18.4489,0.0018,1.049,0.89,0.034,0.042,0.89,1
1240,926.885,1033.03,19.0331,0.0027,1.228,1.111,0.062,0.083,0.89,1
657,1114.71,1641.23,17.832,0.0012,1.083,0.862,0.023,0.024,0.88,1
