#ID  Gmag   (Vmag-Imag)   (Bmag-Vmag)   e_Gmag   e_(Vmag-Imag)   e_(Bmag-Vmag)   Mini
10      18.6764 1.0630  0.9399  0.0023  0.0607  0.0729  0.9061  
11      18.2157 1.1418  1.0449  0.0018  0.0442  0.0523  0.9573  
12      18.3302 1.0296  0.9098  0.0019  0.0479  0.0569  0.9441  
13      18.4215 0.9970  0.8684  0.0020  0.0510  0.0608  0.9339  
14      18.3268 0.9422  0.8060  0.0019  0.0479  0.0569  0.9441  
15      17.8420 0.9902  0.8676  0.0015  0.0347  0.0405  0.9939  
16      18.3769 1.0405  0.9215  0.0019  0.0494  0.0588  0.9390  
17      18.2403 0.9453  0.8123  0.0018  0.0452  0.0535  0.9537  
18      18.0039 0.9512  0.8210  0.0016  0.0386  0.0453  0.9783  
19      18.5174 1.0158  0.8882  0.0021  0.0545  0.0651  0.9235  
110     18.6191 1.1354  1.0289  0.0022  0.0583  0.0698  0.9128  
111     18.1453 1.0354  0.9194  0.0017  0.0423  0.0499  0.9644  
112     18.0750 1.0113  0.8911  0.0016  0.0404  0.0475  0.9714  
113     18.4709 1.0710  0.9553  0.0020  0.0527  0.0628  0.9288  
114     18.6183 1.1129  1.0020  0.0022  0.0583  0.0698  0.9128  
115     17.7686 0.9274  0.7937  0.0014  0.0332  0.0385  1.0004  
116     18.1108 1.0390  0.9237  0.0017  0.0413  0.0487  0.9679  
117     17.4607 1.2258  1.0802  0.0012  0.0273  0.0313  1.0402  
118     16.6683 1.3318  1.1879  0.0008  0.0173  0.0190  1.0482  
119     17.0312 1.3243  1.1812  0.0010  0.0212  0.0237  1.0454  
120     14.4577 1.3924  1.2799  0.0004  0.0075  0.0070  1.0598  
121     17.6173 0.9886  0.8637  0.0013  0.0301  0.0347  1.0139  
122     17.6172 0.9848  0.8592  0.0013  0.0301  0.0347  1.0139  
123     14.4250 1.4033  1.2905  0.0004  0.0075  0.0070  1.0604  
124     17.4490 1.2904  1.1532  0.0012  0.0271  0.0310  1.0405  
