#ID  Gmag   (Vmag-Imag)   (Bmag-Vmag)   e_Gmag   e_(Vmag-Imag)   e_(Bmag-Vmag)   Mini
10      18.8354 0.8320  0.7376  0.0019  0.0626  0.0671  1.1819  
11      18.9833 0.6511  0.5418  0.0021  0.0694  0.0742  1.1624  
12      18.8453 0.8124  0.7163  0.0019  0.0631  0.0675  1.1799  
13      18.9378 0.7743  0.6752  0.0021  0.0671  0.0718  1.1682  
14      18.8404 1.0912  0.9796  0.0019  0.0629  0.0673  1.2062  
15      18.9300 1.1321  1.0248  0.0020  0.0667  0.0714  1.2045  
16      14.5173 1.8080  1.6325  0.0002  0.0105  0.0091  1.2303  
17      17.7455 1.2408  1.1370  0.0011  0.0318  0.0337  1.2195  
18      16.8594 1.2851  1.1738  0.0007  0.0203  0.0208  1.2245  
19      17.2502 1.2244  1.1166  0.0008  0.0244  0.0255  1.2227  
