#ID  Gmag   (Vmag-Imag)   (Bmag-Vmag)   e_Gmag   e_(Vmag-Imag)   e_(Bmag-Vmag)   Mini
10      18.7328 1.2088  1.0808  0.0022  0.0510  0.0519  0.8669  
11      18.5749 1.1101  0.9862  0.0019  0.0481  0.0488  0.8907  
12      18.8676 1.2368  1.1026  0.0026  0.0536  0.0548  0.8472  
13      18.7288 1.1175  0.9878  0.0022  0.0510  0.0519  0.8669  
14      18.4337 1.0463  0.9268  0.0017  0.0457  0.0461  0.9131  
15      18.5193 1.0746  0.9523  0.0018  0.0472  0.0477  0.8992  
16      18.0294 0.9862  0.8761  0.0012  0.0395  0.0392  0.9813  
17      17.9568 0.9930  0.8834  0.0012  0.0385  0.0381  0.9941  
18      18.1767 1.0417  0.9303  0.0014  0.0416  0.0416  0.9558  
19      18.1032 1.0174  0.9066  0.0013  0.0405  0.0404  0.9685  
110     18.1047 1.0667  0.9557  0.0013  0.0405  0.0404  0.9685  
111     18.2590 1.0763  0.9631  0.0014  0.0429  0.0430  0.9421  
112     18.2575 1.0310  0.9177  0.0014  0.0429  0.0430  0.9421  
113     17.9124 1.0082  0.8982  0.0011  0.0378  0.0374  1.0022  
114     17.9546 0.9200  0.8110  0.0012  0.0385  0.0381  0.9941  
115     18.2585 1.0618  0.9486  0.0014  0.0429  0.0430  0.9421  
116     18.2585 1.0625  0.9493  0.0014  0.0429  0.0430  0.9421  
117     17.4600 0.9115  0.7961  0.0009  0.0322  0.0313  1.0883  
118     17.3903 0.8576  0.7426  0.0008  0.0315  0.0305  1.1018  
119     17.6076 0.9136  0.8006  0.0009  0.0340  0.0332  1.0593  
120     17.5333 0.8928  0.7791  0.0009  0.0331  0.0322  1.0738  
121     17.3474 0.9367  0.8180  0.0008  0.0310  0.0299  1.1110  
122     17.8198 0.9521  0.8417  0.0010  0.0366  0.0361  1.0192  
123     17.8221 1.0326  0.9210  0.0010  0.0366  0.0361  1.0192  
124     17.4587 0.8647  0.7507  0.0009  0.0322  0.0313  1.0883  
125     17.7502 0.9460  0.8345  0.0010  0.0357  0.0351  1.0323  
126     17.0728 0.8265  0.7058  0.0007  0.0282  0.0269  1.1678  
127     16.8990 0.8036  0.6786  0.0007  0.0265  0.0251  1.2056  
128     16.8999 0.8409  0.7139  0.0007  0.0265  0.0251  1.2056  
129     16.9585 0.8034  0.6800  0.0007  0.0271  0.0257  1.1925  
130     17.2555 0.8633  0.7448  0.0008  0.0300  0.0289  1.1295  
131     17.3011 0.8868  0.7685  0.0008  0.0305  0.0294  1.1203  
132     17.1438 0.8611  0.7406  0.0007  0.0289  0.0277  1.1528  
133     16.6462 0.7862  0.6573  0.0006  0.0243  0.0228  1.2636  
134     16.4641 0.7516  0.6235  0.0006  0.0229  0.0212  1.3070  
135     16.5841 0.7438  0.6173  0.0006  0.0239  0.0223  1.2780  
136     16.8352 0.8055  0.6790  0.0007  0.0260  0.0245  1.2201  
137     16.4626 0.6938  0.5699  0.0006  0.0229  0.0212  1.3070  
138     16.5851 0.7777  0.6490  0.0006  0.0239  0.0223  1.2780  
139     16.1821 0.7472  0.6173  0.0006  0.0209  0.0191  1.3794  
140     16.2895 0.6902  0.5640  0.0006  0.0216  0.0199  1.3505  
141     16.1253 0.6639  0.5418  0.0006  0.0205  0.0187  1.3939  
142     16.1801 0.6750  0.5514  0.0006  0.0209  0.0191  1.3794  
143     16.3485 0.7427  0.6133  0.0006  0.0220  0.0203  1.3360  
144     15.8673 0.6499  0.5352  0.0006  0.0188  0.0169  1.4664  
145     16.0205 0.6648  0.5446  0.0006  0.0198  0.0179  1.4229  
146     15.8663 0.6167  0.5055  0.0006  0.0188  0.0169  1.4664  
147     15.7663 0.5818  0.4786  0.0006  0.0183  0.0163  1.4953  
148     15.5747 0.5240  0.4360  0.0006  0.0172  0.0152  1.5533  
149     15.6706 0.5759  0.4777  0.0006  0.0177  0.0157  1.5243  
150     15.4849 0.5388  0.4531  0.0006  0.0167  0.0147  1.5822  
151     15.6225 0.5543  0.4606  0.0006  0.0174  0.0154  1.5388  
152     15.2019 0.4630  0.3994  0.0006  0.0153  0.0132  1.6765  
153     15.1611 0.4651  0.4028  0.0006  0.0151  0.0130  1.6906  
154     15.3827 0.5177  0.4403  0.0006  0.0162  0.0141  1.6155  
155     15.0491 0.4458  0.3872  0.0005  0.0146  0.0125  1.7300  
156     14.8259 0.3771  0.3295  0.0005  0.0137  0.0115  1.8095  
157     15.0764 0.4218  0.3663  0.0005  0.0148  0.0126  1.7199  
158     14.8043 0.3991  0.3479  0.0005  0.0136  0.0114  1.8177  
159     14.7059 0.3920  0.3405  0.0005  0.0132  0.0110  1.8530  
160     14.5248 0.3712  0.3212  0.0005  0.0126  0.0103  1.9187  
161     14.4903 0.3535  0.3058  0.0005  0.0125  0.0102  1.9310  
162     14.0601 0.3364  0.2834  0.0005  0.0111  0.0088  2.0836  
163     14.1248 0.3195  0.2711  0.0005  0.0113  0.0090  2.0609  
164     13.9001 0.3348  0.2813  0.0005  0.0106  0.0083  2.1382  
165     13.8511 0.3460  0.2896  0.0005  0.0105  0.0081  2.1546  
166     13.4175 0.4276  0.3543  0.0005  0.0094  0.0070  2.2942  
167     13.6087 0.3575  0.2977  0.0005  0.0099  0.0075  2.2328  
168     13.2524 0.5194  0.4266  0.0005  0.0090  0.0067  2.3467  
169     13.3110 1.2005  1.1032  0.0005  0.0092  0.0068  2.4242  
170     12.9498 1.2240  1.1255  0.0005  0.0084  0.0060  2.5151  
