#ID  Gmag   (Vmag-Imag)   (Bmag-Vmag)   e_Gmag   e_(Vmag-Imag)   e_(Bmag-Vmag)   Mini
20      17.7018 1.4875  1.1746  0.0013  0.0306  0.0440  1.7075  
21      17.7033 1.5231  1.2259  0.0013  0.0306  0.0440  1.7075  
12      17.6401 1.4133  1.1320  0.0012  0.0294  0.0418  1.0167  
13      17.9964 1.3841  1.0636  0.0014  0.0370  0.0556  0.9469  
14      17.6386 1.3785  1.0825  0.0012  0.0294  0.0418  1.0167  
15      18.1722 1.4493  1.1489  0.0016  0.0415  0.0641  0.9151  
26      17.7031 1.5194  1.2205  0.0013  0.0306  0.0440  1.7075  
17      17.2717 1.3379  1.0498  0.0010  0.0236  0.0317  1.0928  
28      17.3239 1.4347  1.1278  0.0011  0.0243  0.0329  1.7946  
19      17.2720 1.3463  1.0611  0.0010  0.0236  0.0317  1.0928  
110     17.6371 1.3424  1.0310  0.0012  0.0294  0.0418  1.0167  
211     17.3241 1.4408  1.1360  0.0011  0.0243  0.0329  1.7946  
112     17.6405 1.4242  1.1476  0.0012  0.0294  0.0418  1.0167  
213     16.3696 1.3061  1.0215  0.0007  0.0149  0.0172  2.2236  
214     16.7774 1.3473  1.0511  0.0008  0.0180  0.0224  1.9993  
215     16.3694 1.3019  1.0166  0.0007  0.0149  0.0172  2.2236  
116     17.0989 1.3220  1.0388  0.0010  0.0214  0.0279  1.1308  
117     16.9304 1.2467  0.9531  0.0009  0.0195  0.0248  1.1689  
118     17.0966 1.2710  0.9723  0.0010  0.0214  0.0279  1.1308  
119     16.6206 1.2367  0.9701  0.0008  0.0167  0.0201  1.2450  
220     16.1943 1.2858  1.0056  0.0007  0.0138  0.0155  2.3188  
121     16.4067 1.1524  0.8939  0.0007  0.0151  0.0176  1.3021  
122     16.4080 1.1810  0.9273  0.0007  0.0151  0.0176  1.3021  
123     16.4076 1.1731  0.9181  0.0007  0.0151  0.0176  1.3021  
124     16.1462 1.0662  0.8431  0.0006  0.0135  0.0151  1.3782  
125     16.2077 1.0774  0.8443  0.0007  0.0139  0.0157  1.3591  
126     16.2741 1.1379  0.9015  0.0007  0.0142  0.0163  1.3401  
127     16.2078 1.0799  0.8471  0.0007  0.0139  0.0157  1.3591  
228     15.5444 1.0949  0.8645  0.0005  0.0109  0.0111  2.6422  
229     15.1303 0.9907  0.8051  0.0005  0.0096  0.0094  2.9276  
130     15.9092 0.9838  0.7947  0.0006  0.0123  0.0133  1.4543  
131     15.7518 0.9246  0.7527  0.0006  0.0116  0.0123  1.5113  
132     15.6142 0.8836  0.7197  0.0005  0.0111  0.0115  1.5684  
133     15.5726 0.8922  0.7312  0.0005  0.0110  0.0113  1.5874  
134     15.3811 0.8225  0.6685  0.0005  0.0103  0.0104  1.6826  
135     15.3807 0.8159  0.6618  0.0005  0.0103  0.0104  1.6826  
136     15.4169 0.8401  0.6850  0.0005  0.0104  0.0105  1.6636  
137     15.3137 0.8181  0.6650  0.0005  0.0101  0.0101  1.7206  
138     15.2488 0.8066  0.6534  0.0005  0.0100  0.0099  1.7587  
239     14.6618 0.8479  0.6827  0.0004  0.0087  0.0081  3.3263  
240     14.6612 0.8351  0.6708  0.0004  0.0087  0.0081  3.3263  
241     14.2918 0.7695  0.6118  0.0004  0.0081  0.0074  3.7740  
242     14.2917 0.7681  0.6105  0.0004  0.0081  0.0074  3.7740  
243     14.5289 0.8209  0.6379  0.0004  0.0085  0.0078  3.4484  
244     14.1744 0.7367  0.5755  0.0003  0.0080  0.0072  3.9037  
145     14.5922 0.7245  0.5582  0.0004  0.0086  0.0080  2.2182  
146     14.3746 0.7017  0.5319  0.0004  0.0083  0.0075  2.3951  
247     13.6218 0.7140  0.5437  0.0003  0.0075  0.0066  4.7895  
148     14.1147 0.6937  0.5247  0.0003  0.0079  0.0071  2.6252  
149     14.1143 0.6858  0.5176  0.0003  0.0079  0.0071  2.6252  
250     13.3547 0.6907  0.5209  0.0003  0.0073  0.0064  5.2135  
151     13.9890 0.6861  0.5165  0.0003  0.0078  0.0070  2.7413  
252     13.0553 0.6836  0.5123  0.0003  0.0072  0.0062  5.8303  
253     12.9408 0.6700  0.4998  0.0003  0.0071  0.0061  6.0423  
254     12.4576 0.6586  0.4862  0.0003  0.0069  0.0059  7.0554  
255     12.3312 0.6463  0.4747  0.0003  0.0069  0.0059  7.3050  
156     12.6886 0.6441  0.4698  0.0003  0.0070  0.0060  4.0668  
157     12.1460 0.6354  0.4595  0.0002  0.0068  0.0059  4.5624  
158     11.7143 0.6391  0.4581  0.0002  0.0068  0.0058  4.8743  
259     8.7258  0.8716  0.6194  0.0002  0.0066  0.0056  10.3651 
