ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
1186,1378.09,1428.76,18.8592,0.0024,0.923,0.895,0.075,0.083,0.91,1
804,1123.61,952.739,18.0611,0.0043,1.059,0.933,0.04,0.046,0.84,1
791,1117.77,1342.9,18.0539,0.0016,1.018,0.926,0.036,0.042,0.82,1
820,1293.27,1212.32,18.0627,0.0016,1.14,0.935,0.041,0.046,0.82,1
884,1263.25,742.635,18.1847,0.0017,1.011,0.834,0.043,0.042,0.82,1
923,872.564,671.59,18.1866,0.0017,1.127,0.931,0.043,0.058,0.82,1
1216,982.989,707.232,18.8744,0.0028,0.978,0.771,0.086,0.088,0.82,1
848,1338.98,1096.95,18.1936,0.0017,0.961,0.776,0.041,0.043,0.81,1
1072,1225.67,922.996,18.4163,0.002,1.091,1.026,0.057,0.064,0.81,1
1024,846.026,754.533,18.4614,0.0022,0.945,0.918,0.055,0.056,0.78,1
1098,1223.25,964.134,18.5128,0.0021,0.999,0.787,0.06,0.06,0.78,1
1020,1025.21,1526.26,18.5142,0.0022,0.934,0.873,0.063,0.062,0.78,1
994,1154.15,753.291,18.2765,0.0018,1.166,0.801,0.052,0.053,0.75,1
1027,977.919,1575.11,18.4621,0.0019,1.069,0.88,0.053,0.058,0.75,1
1168,1062.6,978.361,18.7077,0.0024,1.137,0.897,0.065,0.076,0.71,1
1088,949.075,1188.33,18.5658,0.0023,1.164,0.964,0.06,0.072,0.69,1
1087,645.151,1020.34,18.5873,0.0022,1.116,1.028,0.055,0.063,0.69,1
981,899.636,647.492,18.2665,0.0019,1.155,1.027,0.047,0.053,0.67,1
1049,1297.02,1221.57,18.4988,0.0024,0.992,0.812,0.059,0.062,0.67,1
806,965.989,1388.18,18.0745,0.0015,1.015,0.762,0.037,0.041,0.66,1
846,1109.13,766.701,18.0759,0.0018,0.954,0.775,0.051,0.052,0.66,1
995,783.185,1318.11,18.4041,0.0018,1.054,1.108,0.053,0.062,0.66,1
980,1124.69,1456.02,18.4144,0.0018,0.905,1.01,0.052,0.052,0.66,1
1219,1339.96,1463.17,18.8512,0.0026,1.09,0.972,0.077,0.091,0.66,1
1029,836.815,1015.77,18.4559,0.0019,1.024,1.029,0.051,0.066,0.65,1
1202,1046.8,1287.44,18.7949,0.0029,1.142,0.883,0.067,0.083,0.65,1
