ID x y V Verr BV BVerr UB UBerr VR VRerr VI VIerr ra dec d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000
1 1364.51 1383.14 11.357 0.001 0.436 0.002 -0.571 0.003 0.335 0.01 0.54 0.003 151.09594166769725 -55.38759738825244 0.2630 0.042677 -0.028985 0.031324 317.2 "Gaia DR2 5259913410812653696" 151.09581551852 0.0280 -55.38761160708 0.0295 1635721458409799680 5259913410812653696 131917515 2015.5 0.4853 0.0345 14.0629 -6.389 0.055 2.582 0.054 0.0343 -0.3287 -0.3178 -0.0173 0.2030 0.0694 -0.3171 0.3328 0.0713 0.1929 196 196 189 7 5.1106 299.56 0.000 0 31 0 394.3422 1.6513 0.0086 -0.029 22 16 0.040963 0 34 1 241 6.056e+05 689.2 878.659 11.2330 0.0012 27 3.554e+05 1067 333.068 11.4747 0.0033 27 3.714e+05 639.2 580.958 10.8374 0.0019 1.200 0 0.6372 0.2417 0.3955 "" "" 0 "" "" "" NOT_AVAILABLE 280.70121514759 0.10285526382 188.63111266427 -59.80404875275 100001 6805.00 6575.50 6919.00 1.5980 1.3009 1.7435 0.8067 0.6685 0.8716 200111 7.18 6.94 7.69 99.554 88.721 110.388 151.09586394800 0.8501 -55.38762272420 0.8440
2 2018.69 937.063 11.792 0.003 0.958 0.005 1.033 0.007 0.59 0.011 1.25 0.006 151.0015246914998 -55.42505960855437 0.7644 0.082861 -0.082638 -0.006076 265.8 "Gaia DR2 5260099365731567616" 151.00122135095 0.0300 -55.42493530280 0.0304 1635721458409799680 5260099365731567616 494247709 2015.5 0.7561 0.0375 20.1498 -11.900 0.058 4.271 0.059 0.0925 -0.4773 -0.3901 -0.1681 0.1568 -0.0019 -0.3788 0.3926 0.2266 0.2783 213 213 208 5 5.4135 331.86 0.000 0 31 0 446.3131 1.4945 0.0080 -0.011 24 15 0.045316 0 44 0 306 5.079e+05 274.6 1849.631 11.4239 0.0006 37 2.096e+05 237.3 883.512 12.0477 0.0012 37 4.251e+05 226.1 1879.955 10.6907 0.0006 1.250 0 1.3571 0.6238 0.7332 16.86 0.38 6 5000.0 3.0 0.0 NOT_AVAILABLE 280.68012936446 0.04094564102 188.60548008181 -59.86816991523 100001 4824.25 4694.95 4896.00 0.3243 0.1722 0.5268 0.1552 0.0879 0.2071 200111 9.10 8.84 9.61 40.431 37.441 43.422 151.00131163600 0.9014 -55.42495369030 0.9122
8 1535.02 1845.6 12.141 0.003 1.972 0.004 2.137 0.018 1.097 0.008 2.074 0.006 151.07072422579452 -55.34960542379815 0.4860 0.081835 -0.043398 0.069380 328.0 "Gaia DR2 5260101186797730304" 151.07051439133 0.0304 -55.34954226898 0.0305 1635721458409799680 5260101186797730304 740004880 2015.5 0.4116 0.0353 11.6582 -6.447 0.060 4.728 0.056 0.0329 -0.3349 -0.4423 -0.0201 0.2012 0.0722 -0.3473 0.2878 0.0678 0.2091 204 204 197 7 10.1360 465.78 0.000 0 31 0 367.9281 1.3752 0.0084 0.014 23 16 0.044339 0 42 0 282 5.98e+05 657.1 910.041 11.2467 0.0012 36 1.496e+05 253.5 589.878 12.4145 0.0018 37 6.633e+05 570.2 1163.290 10.2076 0.0009 1.359 0 2.2069 1.1678 1.0391 25.76 0.46 5 4500.0 3.0 0.0 NOT_AVAILABLE 280.66706420042 0.12498518312 188.55811211143 -59.78652098970 100001 3821.69 3612.33 3970.96 "" "" "" "" "" "" 200111 36.92 34.19 41.32 261.938 227.807 296.068 151.07056321500 0.9363 -55.34956262460 0.8708
3 222.478 1029.81 12.216 0.004 0.252 0.006 0.202 0.005 0.15 0.006 0.276 0.008 151.26243560689264 -55.415820955140376 0.2928 0.065631 0.065556 0.003130 87.3 "Gaia DR2 5259912586178954240" 151.26233652512 0.0250 -55.41576220625 0.0269 1635721458409799680 5259912586178954240 876035966 2015.5 0.7268 0.0300 24.2444 -6.799 0.051 3.025 0.052 -0.0551 -0.2332 -0.3075 0.1464 0.2549 0.1954 -0.3404 0.2144 -0.0083 0.0562 220 220 219 1 7.9614 423.53 0.000 0 31 1 328.7983 1.7200 0.0079 -0.028 25 15 0.037453 0 38 0 315 2.558e+05 56.6 4520.031 12.1686 0.0002 36 1.663e+05 207.3 802.427 12.2989 0.0014 35 1.376e+05 123.2 1117.263 11.9153 0.0010 1.188 0 0.3836 0.1303 0.2533 "" "" 0 "" "" "" NOT_AVAILABLE 280.79409242300 0.13612290067 188.80538452974 -59.75888587188 100001 7921.33 7673.00 8427.67 "" "" "" "" "" "" 200111 2.36 2.08 2.51 19.706 18.403 21.010 151.26238810100 0.7868 -55.41577522990 0.8006
4 1936.96 1800.25 12.28 0.003 0.82 0.005 0.296 0.004 0.48 0.006 0.833 0.006 151.0125980748159 -55.35371547936799 1.0368 0.100609 -0.076598 0.065229 310.4 "Gaia DR2 5260101324236675328" 151.01210776627 0.0282 -55.35364309544 0.0278 1635721458409799680 5260101324236675328 1314917556 2015.5 4.5635 0.0327 139.7685 -27.401 0.056 -14.876 0.051 0.0514 -0.3293 -0.4308 -0.0573 0.2733 0.0555 -0.3443 0.2748 0.0921 0.2387 212 212 211 1 -2.2382 163.26 0.000 0 31 0 374.4223 1.5670 0.0076 0.055 24 16 0.042526 0 39 0 318 2.842e+05 52.52 5412.263 12.0542 0.0002 38 1.394e+05 107.5 1297.386 12.4903 0.0008 37 2.061e+05 124.4 1656.289 11.4767 0.0007 1.216 0 1.0136 0.4361 0.5774 -5.17 1.06 4 5500.0 4.5 0.0 NOT_AVAILABLE 280.64276996061 0.10197916617 188.51609130076 -59.81245716671 100001 5149.00 5080.60 5379.07 0.1260 0.0560 0.2530 0.0860 0.0313 0.1668 200111 0.96 0.88 0.98 0.578 0.572 0.585 151.01231528500 0.8707 -55.35357904510 0.7960
5 909.82 1261.94 12.425 0.001 0.381 0.002 0.216 0.003 0.23 0.003 0.4 0.003 151.16210154101245 -55.39720716628992 0.1088 0.023374 0.008644 0.021716 21.7 "Gaia DR2 5259913165986074368" 151.16206471772 0.0258 -55.39722900092 0.0270 1635721458409799680 5259913165986074368 248344756 2015.5 0.7986 0.0319 25.0485 -5.117 0.051 4.803 0.049 -0.0459 -0.3130 -0.2867 0.0941 0.3335 0.1743 -0.2323 0.2586 -0.0300 0.1437 218 218 218 0 5.9684 360.51 0.000 0 31 0 296.2471 1.6735 0.0078 0.012 25 16 0.037461 0 37 0 307 2.156e+05 46.33 4653.808 12.3543 0.0002 34 1.318e+05 130.7 1008.478 12.5518 0.0011 35 1.241e+05 90.66 1368.477 12.0278 0.0008 1.187 0 0.5240 0.1975 0.3265 "" "" 0 "" "" "" NOT_AVAILABLE 280.73722600406 0.11739705398 188.69831098859 -59.78493641049 100001 7099.75 6958.57 7224.00 "" "" "" "" "" "" 200111 2.40 2.32 2.50 13.151 12.327 13.976 151.16210351100 0.7948 -55.39724968260 0.7554
7 853.392 1355.71 12.538 0.002 0.48 0.003 -0.106 0.003 0.305 0.003 0.589 0.003 151.17015988122174 -55.38941993197685 0.1045 0.032330 0.013227 0.029500 24.2 "Gaia DR2 5259913543943195904" 151.17013017693 0.0248 -55.38944354959 0.0267 1635721458409799680 5259913543943195904 479529048 2015.5 0.4537 0.0311 14.5780 -6.551 0.050 2.551 0.048 -0.0510 -0.3113 -0.2787 0.0862 0.3173 0.1679 -0.2532 0.2680 -0.0131 0.1260 222 222 222 0 1.4971 248.97 0.000 0 31 0 288.3957 1.6271 0.0077 0.010 25 16 0.03658 0 36 0 304 2.052e+05 48.59 4222.951 12.4079 0.0003 34 1.178e+05 131.4 896.901 12.6734 0.0012 32 1.309e+05 111.2 1176.885 11.9695 0.0009 1.212 0 0.7038 0.2655 0.4384 "" "" 0 "" "" "" NOT_AVAILABLE 280.73630908469 0.12638344704 188.69416880806 -59.77614723855 100001 6030.00 5843.33 6416.53 "" "" "" "" "" "" 200111 5.71 5.05 6.09 38.901 34.677 43.125 151.17017983700 0.7697 -55.38945453340 0.7517
9 1675.3 1951.38 12.582 0.002 0.568 0.003 0.512 0.004 0.349 0.005 0.693 0.004 151.05032221141747 -55.341014600462884 0.6956 0.095468 -0.055056 0.077993 324.8 "Gaia DR2 5260101251195246336" 151.05003135218 0.0493 -55.34091471221 0.0487 1635721458409799680 5260101251195246336 204535013 2015.5 0.6523 0.0603 10.8253 -6.419 0.104 5.993 0.091 0.1159 -0.2639 -0.3525 -0.0588 0.2113 0.0525 -0.2803 0.3664 0.1050 0.2835 203 203 202 1 23.1594 1104.88 0.192 12 31 0 22.2368 1.6048 0.0139 0.015 23 16 0.066281 0 37 1 325 2.011e+05 121.7 1652.686 12.4299 0.0007 37 1.094e+05 102.6 1065.997 12.7542 0.0010 36 1.389e+05 96.26 1442.670 11.9054 0.0008 1.234 0 0.8488 0.3243 0.5245 "" "" 0 "" "" "" NOT_AVAILABLE 280.65256959865 0.12502170930 188.52953755555 -59.78834815739 100001 5645.50 5534.00 6000.00 "" "" "" "" "" "" 200111 4.54 4.02 4.72 18.834 16.548 21.120 151.05007995000 1.6124 -55.34094051680 1.4162
6 987.672 242.896 12.646 0.002 0.261 0.003 0.21 0.004 0.131 0.004 0.23 0.006 151.15235993490057 -55.48153248000963 0.4702 0.062613 0.003004 -0.062540 177.2 "Gaia DR2 5259910662033569664" 151.15214411558 0.0265 -55.48148660829 0.0289 1635721458409799680 5259910662033569664 493892498 2015.5 0.7358 0.0330 22.2667 -7.044 0.053 2.627 0.051 -0.0622 -0.2735 -0.2923 0.1054 0.3119 0.1962 -0.2675 0.2794 0.0098 0.1043 203 203 203 0 7.5645 388.86 0.000 0 31 1 231.2404 1.7289 0.0085 0.078 23 16 0.03814 0 35 1 290 1.681e+05 42.47 3958.768 12.6243 0.0003 34 1.100e+05 83.31 1320.917 12.7474 0.0008 33 8.885e+04 60.4 1471.048 12.3902 0.0007 1.183 0 0.3572 0.1231 0.2341 "" "" 0 "" "" "" NOT_AVAILABLE 280.78257760120 0.04616326340 188.80638789163 -59.84957805692 100001 7943.67 7803.00 8458.33 "" "" "" "" "" "" 200111 1.88 1.66 1.95 12.664 11.781 13.546 151.15219763600 0.8247 -55.48149792080 0.7956
10 165.203 519.073 12.693 0.005 0.632 0.007 0.321 0.006 0.36 0.007 0.756 0.01 151.2717699715707 -55.45799147262662 0.6174 0.080743 0.070684 -0.039027 118.9 "Gaia DR2 5259909047126052096" 151.27150402520 0.0278 -55.45790976253 0.0321 1635721458409799680 5259909047126052096 556409225 2015.5 0.4196 0.0354 11.8460 -6.141 0.056 4.484 0.059 0.0009 -0.2998 -0.1526 0.2448 0.2794 0.2826 -0.1944 0.2075 -0.1102 0.1574 182 173 181 1 -0.4863 166.39 0.000 0 31 1 265.2176 1.5920 0.0093 -0.090 21 13 0.041856 0 33 0 266 1.864e+05 54.58 3414.877 12.5124 0.0003 32 9.71e+04 118.4 820.017 12.8834 0.0013 30 1.316e+05 113 1165.050 11.9634 0.0009 1.227 0 0.9200 0.3710 0.5490 "" "" 0 "" "" "" NOT_AVAILABLE 280.82318945783 0.10519020399 188.87083754769 -59.78567508280 100001 5343.27 5002.00 5497.67 "" "" "" "" "" "" 200111 7.70 7.27 8.78 43.524 37.863 49.184 151.27155065800 0.8702 -55.45792906760 0.9102
