ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
743,604.479,1365.16,17.9543,0.0022,1.515,1.296,0.04,0.061,0.99,1
710,604.579,1585.7,17.9581,0.0016,1.463,1.295,0.038,0.058,0.99,1
774,654.639,906.967,18.019,0.0021,1.569,1.282,0.047,0.075,0.99,1
547,1626.04,1060.51,17.4866,0.0013,1.47,1.284,0.025,0.043,0.98,1
543,1172.7,1380.34,17.4897,0.0017,1.45,1.246,0.024,0.041,0.98,1
569,1096.68,917.431,17.4932,0.0013,1.554,1.254,0.032,0.052,0.98,1
735,900.928,1617.11,17.9478,0.0017,1.374,1.219,0.039,0.056,0.98,1
726,753.487,1131.65,17.9605,0.0017,1.494,1.263,0.04,0.064,0.98,1
698,1376.05,1670.64,18.1404,0.0035,1.658,1.466,0.043,0.07,0.97,1
762,1303.22,1127.94,18.0141,0.0017,1.674,1.418,0.041,0.086,0.96,1
26,1140.64,1350.44,13.5199,0.0002,0.681,0.573,0.004,0.003,0.951,1
257,1408.01,1785.53,16.3163,0.0007,1.171,0.967,0.011,0.013,0.95,1
603,834.016,1383.27,17.5776,0.0015,1.384,1.197,0.029,0.04,0.95,1
757,717.908,1426.03,18.016,0.0015,1.453,1.245,0.037,0.065,0.95,1
813,1539.49,1358.01,18.1378,0.0019,1.507,1.302,0.043,0.075,0.95,1
35,909.911,1281.17,13.865,0.0002,0.615,0.518,0.004,0.003,0.946,1
39,816.555,1148.85,13.9352,0.0003,0.642,0.533,0.004,0.003,0.946,1
48,1121.07,1124.2,14.0778,0.0003,0.999,0.809,0.004,0.003,0.945,1
43,841.709,1326.3,14.0787,0.0003,0.62,0.479,0.004,0.003,0.945,1
16,1034.22,1328.76,13.0319,0.0011,0.667,0.506,0.003,0.003,0.944,1
5,909.82,1261.94,12.3543,0.0002,0.4,0.381,0.003,0.002,0.943,1
14,855.632,1436.68,12.8623,0.0003,0.577,0.467,0.003,0.003,0.943,1
33,742.996,1064.38,13.8208,0.0002,0.665,0.589,0.004,0.003,0.943,1
7,853.392,1355.71,12.4079,0.0003,0.589,0.48,0.003,0.003,0.942,1
40,1197.68,1285.87,13.9179,0.0003,0.768,0.654,0.004,0.003,0.941,1
63,590.898,1321.45,14.4775,0.0003,0.718,0.592,0.004,0.003,0.94,1
258,694.612,798.263,16.2753,0.0007,1.235,1.012,0.013,0.016,0.94,1
248,539.933,1257.1,16.2763,0.0008,1.291,1.073,0.013,0.013,0.94,1
484,1302.33,1287.29,17.2299,0.001,1.458,1.206,0.02,0.03,0.94,1
475,1278.95,1251.08,17.233,0.001,1.513,1.294,0.023,0.038,0.94,1
595,948.71,1483.55,17.584,0.0017,1.417,1.199,0.03,0.044,0.94,1
814,1117.86,1221.22,18.1644,0.0018,1.641,1.38,0.047,0.091,0.94,1
833,1073.96,1852.09,18.1673,0.0021,1.509,1.299,0.047,0.082,0.94,1
49,1096.22,1019.85,14.1281,0.0002,0.904,0.762,0.004,0.003,0.938,1
36,972.113,1341.15,13.8643,0.0002,0.58,0.523,0.004,0.003,0.937,1
46,995.889,1279.54,14.106,0.0003,0.794,0.671,0.004,0.003,0.937,1
44,1019.24,1631.68,14.0411,0.0003,0.897,0.782,0.005,0.005,0.936,1
50,1667.69,1460.07,14.2434,0.0006,0.82,0.674,0.006,0.004,0.935,1
42,1185.47,1732.76,14.0929,0.0003,0.587,0.488,0.005,0.004,0.934,1
91,1317.35,1084.54,14.7631,0.0003,1.136,0.893,0.006,0.006,0.931,1
346,1098.23,832.543,16.6949,0.0008,1.235,1.017,0.017,0.02,0.93,1
337,1657.69,1550.61,16.6961,0.0008,1.268,1.028,0.015,0.02,0.93,1
516,1697.38,1486.2,17.358,0.0011,1.578,1.327,0.025,0.041,0.93,1
