ID x y V Verr BV BVerr UB UBerr VR VRerr VI VIerr ra dec d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000
2 714.979 550.034 9.617 0.008 0.272 0.011 -0.553 0.006 0.218 0.017 0.392 0.019 150.4111059793314 -55.17626500928755 0.8551 0.045836 0.025973 -0.037768 145.5 "Gaia DR2 5260097682102591104" 150.41091701486 0.0283 -55.17605341028 0.0270 1635721458409799680 5260097682102591104 739762697 2015.5 0.2664 0.0313 8.5211 -8.008 0.057 3.209 0.054 0.0167 -0.2106 -0.2783 0.1053 0.2514 0.1216 -0.3231 0.1639 -0.0369 0.2216 230 230 223 7 12.5743 598.77 0.000 0 31 0 270.7273 1.6693 0.0073 0.061 26 16 0.043034 0 46 0 359 2.917e+06 850.3 3430.474 9.5260 0.0003 45 1.805e+06 1488 1213.615 9.7100 0.0009 43 1.632e+06 1301 1253.588 9.2305 0.0009 1.178 0 0.4796 0.1840 0.2956 "" "" 0 "" "" "" NOT_AVAILABLE 280.26196114830 0.03984040319 187.77842751500 -59.92082166499 100001 7147.00 7079.67 7332.00 "" "" "" "" "" "" 200111 26.10 24.80 26.60 1601.186 1304.154 1898.217 150.41097739100 0.8879 -55.17606722630 0.8411
3 718.116 717.5 10.56 0.006 0.381 0.009 -0.059 0.005 0.26 0.013 0.47 0.02 150.41041048142415 -55.162438875180385 0.6656 0.035085 0.025599 -0.023993 133.1 "Gaia DR2 5260097682102595840" 150.41024794358 0.0387 -55.16227899935 0.0306 1635721458409799680 5260097682102595840 265496433 2015.5 2.9029 0.0398 72.9086 -3.088 0.074 -5.136 0.056 -0.0044 -0.1273 -0.4124 -0.0037 0.3965 0.0583 -0.2039 0.1361 -0.0684 0.1250 170 170 168 2 8.1271 357.05 0.000 0 31 0 248.8194 1.6803 0.0090 0.047 20 14 0.049881 0 25 1 208 1.236e+06 453.9 2722.860 10.4583 0.0004 25 7.369e+05 945.7 779.213 10.6829 0.0014 25 7.219e+05 680.9 1060.267 10.1157 0.0010 1.180 0 0.5671 0.2245 0.3426 6.25 1.60 3 6500.0 3.5 0.0 NOT_AVAILABLE 280.25338158635 0.05062333383 187.75891381904 -59.91111598128 100001 6617.40 6554.00 6728.01 "" "" "" "" "" "" 200111 1.81 1.75 1.85 5.673 5.559 5.787 150.41027121900 1.1493 -55.16225688590 0.8706
4 1260.81 1947.68 11.26 0.007 0.353 0.01 -0.019 0.007 0.238 0.012 0.435 0.013 150.32998871646944 -55.061324289056195 0.8972 0.079810 -0.020230 0.077204 345.3 "Gaia DR2 5260169322161420416" 150.33011163934 0.0278 -55.06108521686 0.0250 1635721458409799680 5260169322161420416 1028531887 2015.5 1.9598 0.0314 62.4034 -29.599 0.056 12.822 0.049 -0.0026 -0.2334 -0.2927 0.0494 0.2641 0.1103 -0.1896 0.2607 -0.0551 0.1620 239 239 226 13 12.8170 613.50 0.000 0.24 31 0 368.8867 1.6702 0.0086 0.079 27 16 0.041029 0 52 0 377 6.507e+05 731.8 889.191 11.1549 0.0012 44 3.953e+05 947.8 417.062 11.3591 0.0026 42 3.711e+05 612 606.330 10.8383 0.0018 1.178 0 0.5208 0.2041 0.3166 10.78 4.99 8 6500.0 3.5 0.0 NOT_AVAILABLE 280.15591977561 0.10393705712 187.55368080443 -59.86939000103 100001 6983.91 6876.00 7157.90 0.7963 0.5082 1.1008 0.4073 0.1719 0.5548 200111 1.75 1.67 1.81 6.575 6.409 6.742 150.33033416600 0.8757 -55.06114042190 0.7643
6 383.237 190.291 11.747 0.005 0.165 0.007 0.145 0.005 0.098 0.008 0.207 0.011 150.4595304615231 -55.20563967271862 0.6399 0.085998 0.053654 -0.067208 141.4 "Gaia DR2 5260097338505206272" 150.45946015879 0.0272 -55.20546651308 0.0250 1635721458409799680 5260097338505206272 648402305 2015.5 0.6296 0.0306 20.5764 -6.674 0.056 4.804 0.050 0.0530 -0.2683 -0.2255 0.0670 0.3018 0.0782 -0.2390 0.1198 -0.0867 0.2898 238 238 236 2 10.6513 542.73 0.000 0 31 0 364.5376 1.7230 0.0069 0.037 27 16 0.042837 0 43 0 344 3.859e+05 106.6 3620.540 11.7221 0.0003 40 2.613e+05 324.1 806.086 11.8087 0.0013 39 1.951e+05 134.4 1451.640 11.5363 0.0007 1.183 1 0.2724 0.0866 0.1859 "" "" 0 "" "" "" NOT_AVAILABLE 280.30178098929 0.03295621957 187.85894407946 -59.92297171011 100002 8835.67 8493.00 9093.50 "" "" "" "" "" "" "" "" "" "" "" "" "" 150.45951051300 0.8755 -55.20548719610 0.7802
7 1029.44 1121.11 11.845 0.002 0.451 0.004 -0.05 0.004 0.29 0.004 0.542 0.004 150.36482241221339 -55.12937781260264 0.8468 0.009148 -0.000430 0.009138 357.3 "Gaia DR2 5260121974416115584" 150.36468321542 0.0289 -55.12915647115 0.0246 1635721458409799680 5260121974416115584 658517952 2015.5 1.2440 0.0285 43.5870 -10.471 0.058 7.827 0.049 -0.0298 -0.1803 -0.5181 0.0519 0.2639 0.0894 -0.3330 0.0616 -0.0267 0.1535 226 226 225 1 3.1997 293.37 0.000 0 31 0 422.0931 1.6452 0.0067 0.055 26 15 0.044005 0 41 0 304 3.801e+05 92.01 4130.747 11.7387 0.0003 38 2.222e+05 175.9 1263.076 11.9847 0.0009 37 2.32e+05 193.5 1199.189 11.3480 0.0009 1.195 0 0.6367 0.2460 0.3907 19.67 4.70 11 6000.0 3.5 0.0 NOT_AVAILABLE 280.21266332734 0.06144923736 187.67574439985 -59.90509347318 100001 6594.50 6397.00 6741.00 "" "" "" "" "" "" 200111 2.36 2.26 2.51 9.498 9.143 9.853 150.36476207000 0.8943 -55.12919017140 0.7535
8 1363.46 1427.43 11.946 0.003 1.829 0.005 1.557 0.008 1.028 0.006 2.031 0.007 150.31608434081176 -55.10431420497209 0.6273 0.044292 -0.028214 0.034143 320.4 "Gaia DR2 5260169184714830976" 150.31611758521 0.0335 -55.10414100001 0.0301 1635721458409799680 5260169184714830976 1388472433 2015.5 0.2836 0.0386 7.3485 -6.955 0.066 5.416 0.051 -0.0551 -0.1839 -0.3601 0.0858 0.4359 0.1858 -0.0425 0.1881 0.1426 0.0350 192 192 185 7 7.7125 368.49 0.000 0 31 0 350.4778 1.3726 0.0092 0.075 22 14 0.044471 0 34 1 241 6.779e+05 333.9 2029.985 11.1105 0.0005 30 1.793e+05 341.8 524.474 12.2176 0.0021 29 7.409e+05 554.1 1337.189 10.0875 0.0008 1.357 1 2.1301 1.1071 1.0230 18.38 0.48 4 5000.0 3.0 0.0 NOT_AVAILABLE 280.17542782579 0.06472737303 187.60122604965 -59.90611854004 100002 4016.18 3883.82 4147.55 "" "" "" "" "" "" 200111 48.47 45.45 51.83 550.714 439.970 661.457 150.31616992800 1.0221 -55.10416432010 0.7910
9 1399.23 657.023 12.053 0.004 0.397 0.005 -0.351 0.004 0.271 0.006 0.554 0.008 150.31210817058164 -55.16792162864087 0.4962 0.042524 -0.030571 -0.029559 226.0 "Gaia DR2 5260098541096028800" 150.31191238411 0.0269 -55.16784106069 0.0242 1635721458409799680 5260098541096028800 792381997 2015.5 0.3582 0.0299 11.9889 -5.538 0.054 3.966 0.047 -0.0318 -0.2552 -0.2816 0.0400 0.3007 0.0899 -0.2618 0.1755 -0.0013 0.1582 221 221 219 2 3.8046 301.92 0.000 0 31 0 385.3888 1.6531 0.0078 0.079 26 16 0.03998 0 41 0 339 3.107e+05 98.77 3145.887 11.9574 0.0003 39 1.853e+05 231.1 801.630 12.1819 0.0014 39 1.904e+05 144.9 1313.949 11.5630 0.0008 1.209 0 0.6189 0.2245 0.3944 "" "" 0 "" "" "" NOT_AVAILABLE 280.21184193369 0.01240634931 187.68543220038 -59.95390244895 100001 6962.50 6173.67 7310.50 1.6300 1.2150 1.8720 0.8345 0.6270 0.9471 200111 6.66 6.04 8.47 93.968 81.386 106.549 150.31195413400 0.8443 -55.16785813850 0.7276
11 1395.54 1894.44 12.277 0.006 0.882 0.008 0.35 0.007 0.512 0.01 0.969 0.011 150.31063488648616 -55.065797272351155 0.7813 0.079098 -0.031254 0.072661 336.7 "Gaia DR2 5260169390880891264" 150.31085624073 0.0261 -55.06562110556 0.0238 1635721458409799680 5260169390880891264 1642408475 2015.5 1.2550 0.0286 43.8300 -13.884 0.050 2.388 0.046 -0.1550 -0.3194 -0.3557 0.1454 0.2049 0.2200 -0.2506 0.1447 0.1051 -0.0225 230 230 229 1 -2.0374 183.00 0.000 0 31 0 366.9936 1.5389 0.0076 0.003 26 16 0.037849 0 41 0 358 2.878e+05 263.7 1091.275 12.0407 0.0010 40 1.336e+05 410.1 325.866 12.5366 0.0033 40 2.196e+05 467.4 469.772 11.4081 0.0023 1.227 0 1.1285 0.4959 0.6326 20.09 1.08 5 5500.0 4.5 0.0 NOT_AVAILABLE 280.14984169231 0.09367908809 187.54397149569 -59.88027221907 100001 4942.75 4903.68 5075.20 "" "" "" "" "" "" 200111 3.87 3.67 3.94 8.071 7.771 8.371 150.31096063000 0.7825 -55.06563138580 0.7165
12 1801.51 50.087 12.297 0.004 0.369 0.006 -0.128 0.005 0.241 0.006 0.51 0.012 150.25478608927594 -55.218180602757606 0.7100 0.102037 -0.063290 -0.080037 218.3 "Gaia DR2 5260096578273691904" 150.25448799900 0.0249 -55.21828050087 0.0239 1635721458409799680 5260096578273691904 687645041 2015.5 0.4687 0.0282 16.6503 -6.754 0.051 3.906 0.047 0.0193 -0.2498 -0.3526 0.0518 0.2506 0.1028 -0.3081 0.2091 -0.0118 0.1774 231 231 231 0 2.4989 282.62 0.000 0 31 0 350.0512 1.6602 0.0068 0.098 26 16 0.039178 0 40 0 343 2.487e+05 64.58 3850.800 12.1992 0.0003 40 1.502e+05 150.6 997.335 12.4096 0.0011 40 1.490e+05 111.4 1337.714 11.8286 0.0008 1.203 0 0.5810 0.2104 0.3706 "" "" 0 "" "" "" NOT_AVAILABLE 280.21604344984 -0.04760131317 187.70767188303 -60.01301926436 100001 6985.00 6745.00 7152.00 "" "" "" "" "" "" 200111 4.53 4.32 4.85 43.926 39.603 48.249 150.25453897500 0.7922 -55.21829731870 0.7300
13 1685.75 728.377 12.402 0.004 0.239 0.006 0.168 0.005 0.156 0.007 0.302 0.008 150.27062171675414 -55.16215274472656 0.3700 0.059301 -0.054263 -0.023920 246.2 "Gaia DR2 5260145167263924864" 150.27044704191 0.8903 -55.16217732525 0.9308 1635721458409799680 5260145167263924864 902917235 2015.5 2.7454 0.9871 2.7813 -10.066 1.831 -1.792 1.829 0.1438 -0.1756 -0.1411 -0.0478 0.2164 -0.0017 -0.1729 0.1940 0.0002 0.1446 238 229 223 15 527.6721 1239075.50 6.764 1.5e+04 31 0 0.0165 1.9982 0.4068 0.079 27 16 0.97683 0 41 0 347 2.117e+05 74.67 2834.586 12.3743 0.0004 38 1.38e+05 157.8 874.284 12.5017 0.0012 37 1.141e+05 103.4 1104.026 12.1183 0.0010 1.191 0 0.3834 0.1274 0.2560 "" "" 0 "" "" "" NOT_AVAILABLE 280.18952008550 0.00266870486 187.64338433101 -59.96615039359 100001 7790.00 7488.50 8177.50 0.0170 0.0067 0.0681 0.0080 0.0026 0.0360 "" "" "" "" "" "" "" 150.27052291000 28.3906 -55.16216960920 28.3711
